population	metric	contrast	value	ci_2.5	ci_97.5	classification
repair_full29	success	R_repaired-K_raw	0.1354679803	0.0504926108	0.2364839901	exploratory
repair_full29	survival_s	R_repaired-K_raw	0.2625862069	0.1208115764	0.4237690887	exploratory
repair_full29	success	R_raw-K_raw	0.0233990148	-0.0123152709	0.0825123153	exploratory
repair_full29	survival_s	R_raw-K_raw	0.0546551724	-0.0161336207	0.1495818966	exploratory
repair_full29	success	K_repaired-K_raw	0.0960591133	0.0319889163	0.1773399015	exploratory
repair_over_budget11	success	R_repaired-K_raw	0.2629870130	NA	NA	descriptive
repair_certified11	success	R_repaired-K_raw	0.0844155844	NA	NA	descriptive
repair_residual_full7	success	R_repaired-K_raw	0.0153061224	NA	NA	descriptive
clean_raw12	success	R_raw-K_raw	0.0208333333	0.0000000000	0.0625000000	exploratory
clean_raw12	survival_s	R_raw-K_raw	0.0148809524	-0.0453571429	0.0900000000	exploratory
repair_four_way_survivors	common_root_relative_mpkpe_m	R_repaired-K_raw	-0.0013161100	NA	NA	descriptive
repair_four_way_survivors	common_anchor_position_error_m	R_repaired-K_raw	0.0154020600	NA	NA	descriptive
repair_four_way_survivors	absolute_mechanical_work_per_actuator_j	R_repaired-K_raw	0.6441802800	NA	NA	descriptive
sampler_cap_audit	randomized_certificates	pass	4000	NA	NA	verification
sampler_scale_10k_units_1k_clips	latency_s	fixed_clock_projection	0.0546	NA	NA	verification
segment_v2_smoke_table	admissible_units	count	42	NA	NA	measured
segment_v2_smoke_table	legal_50_step_starts	count	4679	NA	NA	measured
focused_verification	tests_passed	count	37	NA	NA	verification
