arm,seed,iteration,tv,effective_units,saturation,sampler_clock,completed_trials
U,21,0,0.0,624.0341112730893,0.0,0,437
U,21,100,0.0,624.0341112730893,0.2626689189189189,48,50307
U,21,200,0.0,624.0341112730893,0.1579391891891892,96,88120
U,21,300,0.0,624.0341112730893,0.09375,144,122223
U,21,400,0.0,624.0341112730893,0.08445945945945946,192,153857
U,21,500,0.0,624.0341112730893,0.07179054054054054,240,183007
U,21,600,0.0,624.0341112730893,0.06756756756756757,288,210653
U,21,700,0.0,624.0341112730893,0.06503378378378379,336,237709
U,21,800,0.0,624.0341112730893,0.06672297297297297,384,264423
U,21,900,0.0,624.0341112730893,0.06925675675675676,432,290931
U,21,1000,0.0,624.0341112730893,0.07432432432432433,480,317162
U,21,1100,0.0,624.0341112730893,0.10304054054054054,528,343288
U,21,1200,0.0,624.0341112730893,0.17060810810810811,576,369193
U,21,1300,0.0,624.0341112730893,0.24577702702702703,624,395093
U,21,1400,0.0,624.0341112730893,0.3158783783783784,672,421124
U,21,1500,0.0,624.0341112730893,0.39864864864864863,720,447005
U,21,1600,0.0,624.0341112730893,0.45861486486486486,768,472796
U,21,1700,0.0,624.0341112730893,0.5008445945945946,816,498543
U,21,1800,0.0,624.0341112730893,0.512668918918919,864,524375
U,21,1900,0.0,624.0341112730893,0.5472972972972973,912,550115
U,21,2000,0.0,624.0341112730893,0.5591216216216216,960,575886
U,21,2100,0.0,624.0341112730893,0.5920608108108109,1008,601548
U,21,2200,0.0,624.0341112730893,0.6114864864864865,1056,627265
U,21,2300,0.0,624.0341112730893,0.629222972972973,1104,652910
U,21,2400,0.0,624.0341112730893,0.6266891891891891,1152,678585
U,21,2500,0.0,624.0341112730893,0.6469594594594594,1200,704159
U,21,2600,0.0,624.0341112730893,0.6545608108108109,1248,729844
U,21,2700,0.0,624.0341112730893,0.6630067567567568,1296,755410
U,21,2800,0.0,624.0341112730893,0.6722972972972973,1344,781051
U,21,2900,0.0,624.0341112730893,0.6849662162162162,1392,806595
U,21,3000,0.0,624.0341112730893,0.6900337837837838,1440,832098
U,21,3100,0.0,624.0341112730893,0.6883445945945946,1488,857649
U,21,3200,0.0,624.0341112730893,0.7027027027027027,1536,883165
U,21,3300,0.0,624.0341112730893,0.7204391891891891,1584,908634
U,21,3400,0.0,624.0341112730893,0.71875,1632,934134
U,21,3500,0.0,624.0341112730893,0.7162162162162162,1680,959626
U,21,3600,0.0,624.0341112730893,0.7271959459459459,1728,985038
U,21,3700,0.0,624.0341112730893,0.7255067567567568,1776,1010519
U,21,3800,0.0,624.0341112730893,0.7263513513513513,1824,1035961
U,21,3900,0.0,624.0341112730893,0.7364864864864865,1872,1061432
U,21,3999,0.0,624.0341112730893,0.7331081081081081,1920,1086702
A,21,0,0.0,624.0341112730893,0.0,0,437
A,21,100,0.050764025303004515,647.0656241395503,0.2829391891891892,48,49783
A,21,200,0.046370322484901375,635.7209233381965,0.16047297297297297,96,87693
A,21,300,0.049380123972411955,636.085976801855,0.11233108108108109,144,121323
A,21,400,0.05404271167849584,629.5327557697547,0.09037162162162163,192,152691
A,21,500,0.05840868710012422,625.3997300118291,0.07516891891891891,240,181807
A,21,600,0.05581149510756907,622.162513967953,0.08023648648648649,288,209347
A,21,700,0.04920638147782089,622.7390583007618,0.07179054054054054,336,236223
A,21,800,0.0449414747930793,629.5629237258745,0.07010135135135136,384,262753
A,21,900,0.03852043749190229,631.4916629653372,0.07094594594594594,432,289018
A,21,1000,0.03592772887983675,635.3346286162054,0.07516891891891891,480,315194
