clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
KIT_572_wave_left10_poses_100_jpos,1.0,2.396,0.02745,16,10.0,random
KIT_1747_displace_tilt_side_13_poses_100_jpos,1.0,4.782,0.03286,16,10.0,random
KIT_1226_Trial_45_poses_100_jpos,1.0,3.494,0.03489,16,10.0,random
KIT_572_violin_left08_poses_100_jpos,1.0,3.429,0.03461,16,10.0,random
BMLmovi_Subject_76_F_MoSh_Subject_76_F_7_poses_120_jpos,1.0,2.479,0.02758,16,10.0,random
KIT_950_Wipe_Head_Horizontal_01_poses_100_jpos,0.875,4.293,0.1255,16,10.0,random
GRAB_s8_fryingpan_cook_2,1.0,3.906,0.03595,16,10.0,random
KIT_883_wipe_leg_bigcircle01_poses_100_jpos,0.875,4.091,0.15091,16,10.0,random
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,1.0,2.871,0.03971,16,10.0,random
GRAB_s2_stanfordbunny_pick_all,1.0,8.65,0.04593,16,10.0,random
KIT_3_wave_left05_poses_100_jpos,1.0,1.759,0.03515,16,10.0,random
BMLmovi_Subject_3_F_MoSh_Subject_3_F_10_poses_120_jpos,1.0,1.833,0.04169,16,10.0,random
BMLmovi_Subject_81_F_MoSh_Subject_81_F_20_poses_120_jpos,1.0,3.101,0.03837,16,10.0,random
GRAB_s4_banana_pass_1,1.0,3.419,0.04262,16,10.0,random
KIT_551_mixing_bowl_big03_poses_100_jpos,1.0,3.672,0.03617,16,10.0,random
KIT_9_LeftTurn06_poses_100_jpos,1.0,2.5,0.0394,16,10.0,random
Eyes_Japan_Dataset_hamada_gesture_etc-02-set_2-hamada_poses_120_jpos,1.0,8.386,0.04791,16,10.0,random
GRAB_s5_cylinderlarge_inspect_1,1.0,5.327,0.0397,16,10.0,random
Eyes_Japan_Dataset_kaiwa_accident-05-damage_right_arm-kaiwa_poses_120_jpos,1.0,8.164,0.05094,16,10.0,random
GRAB_s6_alarmclock_see_1,1.0,2.801,0.04122,16,10.0,random
Eyes_Japan_Dataset_hamada_gesture_etc-14-apologize-hamada_poses_120_jpos,1.0,9.22,0.0522,16,10.0,random
GRAB_s10_lightbulb_pass_1,1.0,3.235,0.05113,16,10.0,random
KIT_3_stomp_right02_poses_100_jpos,1.0,2.175,0.03782,16,10.0,random
CMU_74_74_10_poses_60_jpos,1.0,2.223,0.06535,16,10.0,random
Eyes_Japan_Dataset_kudo_greeting-09-certificate-kudo_poses_250_jpos,1.0,8.66,0.05325,16,10.0,random
CMU_79_79_55_poses_60_jpos,1.0,6.681,0.03934,16,10.0,random
KIT_674_dry_front02_poses_100_jpos,1.0,4.588,0.05364,16,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-48-medium_drum-kaiwa_poses_120_jpos,1.0,7.756,0.05097,16,10.0,random
KIT_3_walk_with_support04_poses_100_jpos,1.0,3.221,0.05928,16,10.0,random
GRAB_s6_hammer_use_2,1.0,4.803,0.04792,16,10.0,random
GRAB_s3_mug_drink_2,1.0,2.784,0.05202,16,10.0,random
BMLmovi_Subject_8_F_MoSh_Subject_8_F_8_poses_120_jpos,1.0,1.674,0.0364,16,10.0,random
GRAB_s3_mug_drink_3,1.0,4.165,0.05393,16,10.0,random
KIT_359_walking_medium03_poses_100_jpos,1.0,2.018,0.04724,16,10.0,random
CMU_35_35_03_poses_120_jpos,1.0,2.21,0.04572,16,10.0,random
KIT_3_golf_drive02_poses_100_jpos,1.0,2.724,0.04811,16,10.0,random
Eyes_Japan_Dataset_kaiwa_walk-29-look_down-kaiwa_poses_120_jpos,1.0,8.731,0.05891,16,10.0,random
CMU_30_30_02_poses_120_jpos,1.0,6.886,0.04026,16,10.0,random
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,1.0,6.945,0.06425,16,10.0,random
CMU_118_118_19_poses_120_jpos,1.0,2.186,0.04138,16,10.0,random
Eyes_Japan_Dataset_hamada_sitdown_standup-05-straight-hamada_poses_120_jpos,0.3125,2.828,0.12831,16,10.0,random
KIT_167_turn_right05_poses_100_jpos,1.0,3.84,0.06024,16,10.0,random
BMLmovi_Subject_8_F_MoSh_Subject_8_F_15_poses_120_jpos,1.0,1.8,0.05528,16,10.0,random
Eyes_Japan_Dataset_takiguchi_walk-07-moonwalk-takiguchi_poses_250_jpos,1.0,8.271,0.0545,16,10.0,random
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,0.3125,1.144,0.13968,16,10.0,random
CMU_54_54_24_poses_120_jpos,1.0,6.444,0.07218,16,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_5_poses_120_jpos,1.0,1.56,0.05188,16,10.0,random
CMU_18_19_Justin_18_11_poses_120_jpos,1.0,6.803,0.05472,16,10.0,random
Eyes_Japan_Dataset_takiguchi_accident-11-fall_down-takiguchi_poses_120_jpos,0.8125,8.732,0.07343,16,10.0,random
CMU_76_76_02_poses_120_jpos,1.0,5.89,0.05355,16,10.0,random
Eyes_Japan_Dataset_kawaguchi_gesture_etc-39-giant_baba-kawaguchi_poses_120_jpos,0.1875,1.713,0.096,16,10.0,random
CMU_131_131_01_poses_120_jpos,0.25,3.115,0.09091,16,10.0,random
ACCAD_MartialArtsWalksTurns_c3d_E7_-_super_fast_advance_poses_120_jpos,0.875,2.244,0.06007,16,10.0,random
DFaust_67_50007_50007_running_on_spot_poses_60_jpos,1.0,4.74,0.05575,16,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Rasopoulos_poses_120_jpos,1.0,9.909,0.06864,16,10.0,random
CMU_18_19_Justin_18_04_poses_120_jpos,1.0,1.425,0.05152,16,10.0,random
BMLmovi_Subject_3_F_MoSh_Subject_3_F_18_poses_120_jpos,1.0,2.462,0.06524,16,10.0,random
BMLmovi_Subject_58_F_MoSh_Subject_58_F_1_poses_120_jpos,1.0,2.844,0.05311,16,10.0,random
BMLmovi_Subject_5_F_MoSh_Subject_5_F_6_poses_120_jpos,1.0,1.626,0.07867,16,10.0,random
ACCAD_Male2Walking_c3d_B27_-__skip_to_walk_a_poses_120_jpos,0.9375,1.723,0.06116,16,10.0,random
ACCAD_Male2Walking_c3d_B20_-__Walk_with_box_poses_120_jpos,1.0,3.334,0.06088,16,10.0,random
CMU_20_21_Justin1_20_09_poses_120_jpos,0.875,2.019,0.09095,16,10.0,random
ACCAD_s011_walkdog_poses_120_jpos,0.875,6.833,0.07894,16,10.0,random
CMU_108_108_24_poses_120_jpos,0.8125,1.886,0.1173,16,10.0,random
Eyes_Japan_Dataset_kudo_jump-04-horizontal-kudo_poses_250_jpos,1.0,8.527,0.07316,16,10.0,random
CMU_135_135_02_poses_120_jpos,0.125,4.947,0.10391,16,10.0,random
DFaust_67_50025_50025_one_leg_jump_poses_60_jpos,0.3125,0.698,0.08354,16,10.0,random
BMLmovi_Subject_3_F_MoSh_Subject_3_F_20_poses_120_jpos,0.6875,1.031,0.07086,16,10.0,random
Eyes_Japan_Dataset_kawaguchi_accident-02-dodge_fast-kawaguchi_poses_120_jpos,1.0,7.594,0.05741,16,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_4_poses_120_jpos,0.875,2.375,0.06943,16,10.0,random
DFaust_67_50025_50025_light_hopping_loose_poses_60_jpos,1.0,1.56,0.0677,16,10.0,random
CMU_91_91_43_poses_120_jpos,1.0,0.853,0.05211,16,10.0,random
DFaust_67_50027_50027_one_leg_jump_poses_60_jpos,0.4375,0.935,0.0786,16,10.0,random
BMLmovi_Subject_6_F_MoSh_Subject_6_F_13_poses_120_jpos,1.0,1.649,0.09098,16,10.0,random
ACCAD_Male2Running_c3d_C18_-_run_to_hop_to_walk_poses_120_jpos,0.9375,1.264,0.05481,16,10.0,random
ACCAD_Male2Running_c3d_C24_-_quick_sidestep_left_poses_120_jpos,1.0,1.357,0.05474,16,10.0,random
BMLmovi_Subject_6_F_MoSh_Subject_6_F_19_poses_120_jpos,0.9375,3.631,0.06098,16,10.0,random
CMU_55_55_15_poses_120_jpos,0.75,8.454,0.05265,16,10.0,random
CMU_75_75_12_poses_60_jpos,0.25,0.744,0.09953,16,10.0,random
CMU_127_127_15_poses_120_jpos,0.9375,0.51,0.08002,16,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_10_poses_120_jpos,1.0,4.135,0.05357,16,10.0,random
Transitions_mocap_mazen_c3d_twistdance_walk_poses_120_jpos,1.0,2.611,0.04445,16,10.0,random
CMU_78_78_35_poses_120_jpos,0.9375,0.958,0.0899,16,10.0,random
CMU_127_127_10_poses_120_jpos,1.0,0.53,0.06937,16,10.0,random
BMLmovi_Subject_34_F_MoSh_Subject_34_F_9_poses_120_jpos,0.9375,4.655,0.0631,16,10.0,random
CMU_35_35_25_poses_120_jpos,1.0,0.659,0.07834,16,10.0,random
Eyes_Japan_Dataset_kawaguchi_turn-05-turn-kawaguchi_poses_120_jpos,0.3125,1.956,0.10102,16,10.0,random
CMU_127_127_16_poses_120_jpos,0.75,1.076,0.08919,16,10.0,random
ACCAD_Male2Running_c3d_C4_-_run_to_walk_poses_120_jpos,1.0,1.883,0.05836,16,10.0,random
ACCAD_Male2Running_c3d_C4_-_run_to_walk_a_poses_120_jpos,1.0,2.058,0.06002,16,10.0,random
CMU_108_108_15_poses_120_jpos,0.375,0.927,0.0894,16,10.0,random
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,1.0,1.676,0.06415,16,10.0,random
DFaust_67_50022_50022_shake_hips_poses_60_jpos,1.0,2.593,0.04696,16,10.0,random
ACCAD_Male2Running_c3d_C5_-_walk_to_run_poses_120_jpos,1.0,1.772,0.08956,16,10.0,random
CMU_35_35_21_poses_120_jpos,1.0,0.855,0.08282,16,10.0,random
Eyes_Japan_Dataset_hamada_jump-07-rope_double-hamada_poses_120_jpos,0.375,3.904,0.0737,16,10.0,random
Eyes_Japan_Dataset_hamada_jump-12-boxer_step-hamada_poses_120_jpos,1.0,8.741,0.05427,16,10.0,random
CMU_64_64_09_poses_120_jpos,1.0,1.97,0.09642,16,10.0,random
CMU_75_75_11_poses_60_jpos,0.3125,0.955,0.11185,16,10.0,random
BMLmovi_Subject_5_F_MoSh_Subject_5_F_12_poses_120_jpos,1.0,2.268,0.06105,16,10.0,random
