clip,offset_s,survival,mean_survival_s,n,window_s
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,0.0,0.25,1.84,8,3.0
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,1.0,0.0,0.522,8,3.0
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,2.0,0.0,2.232,8,3.0
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,3.0,0.0,1.388,8,2.08
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,4.0,0.0,0.535,8,1.06
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,mean,0.3214,,56,3.0
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,1.0,0.75,2.852,8,3.0
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,2.0,0.5,1.918,8,2.26
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,3.0,0.875,1.192,8,1.26
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,4.0,1.0,0.26,8,0.26
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,mean,0.875,,56,3.0
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,0.0,0.0,0.352,8,3.0
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,3.0,1.0,2.32,8,2.32
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,4.0,1.0,1.32,8,1.32
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,mean,0.8571,,56,3.0
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,3.0,0.875,3.0,8,3.0
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,4.0,1.0,3.0,8,3.0
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,6.0,0.625,1.207,8,1.48
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,mean,0.9286,,56,3.0
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,0.0,0.375,2.148,8,3.0
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,1.0,0.5,1.692,8,2.08
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,2.0,1.0,1.1,8,1.1
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,3.0,1.0,0.08,8,0.08
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,mean,0.8393,,56,3.0
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,0.0,0.0,1.252,8,3.0
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,1.0,0.125,0.863,8,3.0
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,2.0,0.5,1.48,8,2.38
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,3.0,1.0,1.4,8,1.4
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,4.0,1.0,0.38,8,0.38
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,mean,0.6607,,56,3.0
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,0.0,0.0,0.575,8,2.3
