clip,offset_s,survival,mean_survival_s,n,window_s
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,3.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,4.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,6.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,8.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,3.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,4.0,1.0,3.0,8,3.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,6.0,1.0,1.88,8,1.88
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,1.0,0.875,2.885,8,3.0
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,2.0,0.0,0.255,8,3.0
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,3.0,0.0,0.167,8,3.0
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,4.0,0.0,0.48,8,3.0
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,6.0,0.0,2.773,8,3.0
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,8.0,0.0,0.797,8,3.0
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,mean,0.2679,,56,3.0
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,0.0,0.5,2.965,8,3.0
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,1.0,0.0,1.977,8,3.0
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,2.0,0.0,0.912,8,3.0
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,3.0,0.125,0.88,8,3.0
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,4.0,0.875,2.3,8,2.6
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,6.0,1.0,0.58,8,0.58
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,mean,0.5,,56,3.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,0.0,0.875,2.075,8,2.34
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,1.0,0.625,0.912,8,1.36
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,2.0,0.75,0.312,8,0.36
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,3.0,1.0,0.04,8,0.04
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,mean,0.8929,,56,3.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,0.0,0.875,2.645,8,3.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,2.0,0.875,2.642,8,3.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,3.0,1.0,3.0,8,3.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,4.0,1.0,3.0,8,3.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,6.0,0.875,2.013,8,2.28
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,8.0,1.0,0.28,8,0.28
