clip,offset_s,survival,mean_survival_s,n,window_s
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,3.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,4.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,6.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,8.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,mean,1.0,,56,3.0
CMU_102_102_29_poses_120_jpos,0.0,0.875,2.975,8,3.0
CMU_102_102_29_poses_120_jpos,1.0,0.625,2.415,8,3.0
CMU_102_102_29_poses_120_jpos,2.0,0.0,0.73,8,3.0
CMU_102_102_29_poses_120_jpos,3.0,0.25,2.23,8,3.0
CMU_102_102_29_poses_120_jpos,4.0,0.375,1.678,8,2.66
CMU_102_102_29_poses_120_jpos,6.0,1.0,0.66,8,0.66
CMU_102_102_29_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_102_102_29_poses_120_jpos,mean,0.5893,,56,3.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,3.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,4.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,6.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,8.0,0.875,2.997,8,3.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,mean,0.9821,,56,3.0
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.0,2.74,8,2.74
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,2.0,1.0,1.74,8,1.74
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,3.0,1.0,0.74,8,0.74
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,4.0,1.0,0.04,8,0.04
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,6.0,1.0,0.04,8,0.04
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,8.0,1.0,0.04,8,0.04
