clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,2.0,0.875,2.658,8,3.0,0.00807,0.02155,0.00431
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0002,0.01293,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,4.0,0.75,2.435,8,3.0,0.00831,0.0431,0.00431
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,6.0,1.0,3.0,8,3.0,9e-05,0.00862,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,8.0,0.0,2.108,8,3.0,0.00012,0.01293,0.01293
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,mean,0.8036,,56,3.0,0.0024,,
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.00078,0.03448,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.00034,0.02155,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.00121,0.03448,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,8.0,0.75,3.0,8,3.0,0.00014,0.00862,0.00431
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,mean,0.9643,,56,3.0,0.00035,,
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,1.0,1.0,3.0,8,3.0,6e-05,0.00862,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,2.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.00014,0.01293,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.00034,0.02155,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.00017,0.00862,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,mean,1.0,,56,3.0,0.00011,,
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.0,0.0,1.377,8,3.0,0.00013,0.00862,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,1.0,0.0,0.837,8,3.0,0.00206,0.02155,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,2.0,0.0,1.09,8,2.08,0.00125,0.01724,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,3.0,1.0,1.1,8,1.1,0.00063,0.01293,0.01293
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,4.0,1.0,0.08,8,0.08,0.0,0.0,0.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,6.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,8.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,mean,0.5714,,56,3.0,0.00243,,
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.0,0.0,1.412,8,3.0,0.01108,0.10776,0.01724
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,1.0,0.0,0.615,8,3.0,0.00436,0.03879,0.00862
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.00075,0.03017,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,6.0,0.625,2.438,8,3.0,0.00165,0.03448,0.01724
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,8.0,0.375,2.727,8,3.0,0.00153,0.03879,0.01293
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,mean,0.5714,,56,3.0,0.00277,,
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,1.0,0.0,2.812,8,3.0,0.00043,0.02155,0.02155
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,2.0,0.0,1.812,8,3.0,0.00124,0.03448,0.00862
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,3.0,0.0,0.732,8,2.5,0.00375,0.03448,0.00862
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,4.0,1.0,1.5,8,1.5,0.00201,0.0431,0.02586
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,mean,0.5714,,56,3.0,0.00291,,
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,1.0,0.875,2.65,8,3.0,0.00776,0.01293,0.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.00029,0.01293,0.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.00138,0.03448,0.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,mean,0.9821,,56,3.0,0.00135,,
CMU_88_88_10_poses_60_jpos,0.0,0.0,1.615,8,3.0,0.00011,0.00862,0.00431
CMU_88_88_10_poses_60_jpos,1.0,0.0,0.86,8,3.0,0.00203,0.03879,0.03017
CMU_88_88_10_poses_60_jpos,2.0,0.0,1.04,8,3.0,0.00088,0.02155,0.01293
CMU_88_88_10_poses_60_jpos,3.0,0.0,1.167,8,3.0,0.00199,0.03879,0.01724
CMU_88_88_10_poses_60_jpos,4.0,0.0,0.778,8,3.0,0.00069,0.02586,0.02586
CMU_88_88_10_poses_60_jpos,6.0,1.0,1.78,8,1.78,0.00034,0.03017,0.03017
CMU_88_88_10_poses_60_jpos,8.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
CMU_88_88_10_poses_60_jpos,mean,0.2857,,56,3.0,0.00179,,
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.00029,0.01293,0.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,1.0,0.0,2.8,8,3.0,0.00028,0.02586,0.01293
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,2.0,0.0,1.773,8,3.0,0.00223,0.03879,0.02155
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,3.0,0.0,0.757,8,2.5,0.00427,0.03879,0.02155
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,4.0,1.0,1.5,8,1.5,0.00247,0.03448,0.01724
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,mean,0.5714,,56,3.0,0.00352,,
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.00055,0.02586,0.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.00109,0.03448,0.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,4.0,0.875,2.903,8,3.0,0.00219,0.03879,0.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.00293,0.03448,0.00431
