clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.00011,0.01293,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,2.0,0.875,2.648,8,3.0,0.00623,0.01293,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,3.0,1.0,3.0,8,3.0,9e-05,0.00862,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.00032,0.01724,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.00014,0.00862,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,8.0,0.875,2.99,8,3.0,0.00055,0.03448,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,mean,0.9643,,56,3.0,0.00106,,
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.00011,0.00862,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0008,0.03448,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.00075,0.02586,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,mean,1.0,,56,3.0,0.00025,,
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,1.0,1.0,3.0,8,3.0,9e-05,0.00862,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,2.0,1.0,3.0,8,3.0,9e-05,0.00862,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.00011,0.01293,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.0006,0.02586,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,6.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.0002,0.00431,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,mean,1.0,,56,3.0,0.00017,,
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.0,0.0,1.523,8,3.0,0.00028,0.02155,0.02155
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,1.0,0.0,1.095,8,3.0,0.00394,0.02155,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,2.0,0.375,1.595,8,2.08,0.0006,0.02155,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,3.0,1.0,1.1,8,1.1,0.00086,0.01724,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,4.0,1.0,0.08,8,0.08,0.0,0.0,0.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,6.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,mean,0.625,,56,3.0,0.00112,,
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.0,0.25,1.935,8,3.0,0.00265,0.03879,0.00431
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,1.0,0.0,0.695,8,3.0,0.00063,0.02155,0.02155
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,4.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,6.0,0.625,2.375,8,3.0,0.00091,0.02586,0.01293
