iter,top1_prob
0,0.0673
1,0.0478
2,0.0488
3,0.0490
4,0.0513
5,0.0528
6,0.0525
7,0.0530
8,0.0544
9,0.0548
10,0.0548
11,0.0533
12,0.0526
13,0.0529
14,0.0529
15,0.0528
16,0.0519
17,0.0522
18,0.0535
19,0.0528
20,0.0509
21,0.0502
22,0.0509
23,0.0518
24,0.0526
25,0.0549
26,0.0550
27,0.0548
28,0.0552
29,0.0557
30,0.0575
31,0.0585
32,0.0587
33,0.0589
34,0.0590
35,0.0605
36,0.0612
37,0.0611
38,0.0616
39,0.0609
40,0.0605
41,0.0604
42,0.0603
43,0.0603
44,0.0605
45,0.0614
46,0.0622
47,0.0633
48,0.0641
49,0.0643
50,0.0644
51,0.0640
52,0.0643
53,0.0666
54,0.0669
55,0.0668
56,0.0682
57,0.0700
58,0.0699
59,0.0706
60,0.0702
61,0.0711
62,0.0706
63,0.0719
64,0.0721
65,0.0710
66,0.0708
67,0.0705
68,0.0698
69,0.0700
70,0.0699
71,0.0702
72,0.0710
73,0.0703
74,0.0694
75,0.0682
76,0.0690
77,0.0700
78,0.0697
79,0.0709
80,0.0716
81,0.0728
82,0.0734
83,0.0737
84,0.0741
85,0.0758
86,0.0767
87,0.0780
88,0.0787
89,0.0784
90,0.0773
91,0.0773
92,0.0792
93,0.0800
94,0.0812
95,0.0825
96,0.0828
97,0.0834
98,0.0857
99,0.0872
100,0.0881
101,0.0893
102,0.0895
103,0.0896
104,0.0885
105,0.0867
106,0.0867
107,0.0865
108,0.0870
109,0.0873
110,0.0869
111,0.0878
112,0.0876
113,0.0887
114,0.0899
115,0.0909
116,0.0918
117,0.0925
118,0.0927
119,0.0931
120,0.0956
121,0.0959
122,0.0952
123,0.0948
124,0.0967
125,0.0986
126,0.0996
127,0.0998
128,0.0993
129,0.0988
130,0.0970
131,0.0975
132,0.0988
133,0.0987
134,0.0992
135,0.0980
136,0.0983
137,0.0984
138,0.0999
139,0.0996
140,0.1003
141,0.1003
142,0.1000
143,0.1008
144,0.1019
145,0.1013
146,0.1023
147,0.1029
148,0.1033
149,0.1052
150,0.1063
151,0.1071
152,0.1059
153,0.1065
154,0.1074
155,0.1077
156,0.1094
157,0.1100
158,0.1097
159,0.1099
160,0.1096
161,0.1110
162,0.1113
163,0.1123
164,0.1114
165,0.1131
166,0.1140
167,0.1141
168,0.1145
169,0.1145
170,0.1144
171,0.1148
172,0.1141
173,0.1140
174,0.1149
175,0.1139
176,0.1166
177,0.1172
178,0.1180
179,0.1181
180,0.1171
181,0.1156
182,0.1154
183,0.1154
184,0.1154
185,0.1150
186,0.1151
187,0.1161
188,0.1154
189,0.1139
190,0.1144
191,0.1145
192,0.1142
193,0.1137
194,0.1137
195,0.1136
196,0.1131
197,0.1134
198,0.1143
199,0.1138
200,0.1135
201,0.1132
202,0.1130
203,0.1146
204,0.1168
205,0.1178
206,0.1179
207,0.1180
208,0.1187
209,0.1183
210,0.1183
211,0.1200
212,0.1201
213,0.1206
214,0.1224
215,0.1223
216,0.1244
217,0.1266
218,0.1259
219,0.1270
220,0.1274
221,0.1293
222,0.1316
223,0.1301
224,0.1294
225,0.1281
226,0.1278
227,0.1272
228,0.1275
229,0.1285
230,0.1283
231,0.1286
232,0.1295
233,0.1288
234,0.1305
235,0.1329
236,0.1330
237,0.1326
238,0.1339
239,0.1365
240,0.1385
241,0.1406
242,0.1409
243,0.1423
244,0.1440
245,0.1436
246,0.1444
247,0.1457
248,0.1473
249,0.1475
250,0.1474
251,0.1471
252,0.1470
253,0.1476
254,0.1466
255,0.1465
256,0.1468
257,0.1450
258,0.1450
259,0.1450
260,0.1453
261,0.1458
262,0.1464
263,0.1483
264,0.1492
265,0.1486
266,0.1488
267,0.1485
268,0.1488
269,0.1482
270,0.1470
271,0.1475
272,0.1469
273,0.1476
274,0.1473
275,0.1476
276,0.1476
277,0.1482
278,0.1496
279,0.1489
280,0.1495
281,0.1493
282,0.1491
283,0.1476
284,0.1489
285,0.1481
286,0.1493
287,0.1476
288,0.1473
289,0.1465
290,0.1467
291,0.1471
292,0.1491
293,0.1497
294,0.1500
295,0.1505
296,0.1505
297,0.1486
298,0.1497
299,0.1497
300,0.1513
301,0.1518
302,0.1510
303,0.1505
304,0.1507
305,0.1514
306,0.1510
307,0.1490
308,0.1502
309,0.1521
310,0.1542
311,0.1554
312,0.1562
313,0.1581
314,0.1586
315,0.1583
316,0.1577
317,0.1613
318,0.1618
319,0.1621
320,0.1630
321,0.1635
322,0.1635
323,0.1649
324,0.1647
325,0.1655
326,0.1661
327,0.1659
328,0.1676
329,0.1675
330,0.1678
331,0.1671
332,0.1704
333,0.1718
334,0.1730
335,0.1745
336,0.1770
337,0.1773
338,0.1780
339,0.1799
340,0.1776
341,0.1768
342,0.1779
343,0.1786
344,0.1773
345,0.1801
346,0.1824
347,0.1846
348,0.1865
349,0.1864
350,0.1881
