clip,offset_s,survival,mean_survival_s,n,window_s
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,0.0,0.5,2.827,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,1.0,0.0,1.672,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,2.0,0.125,1.54,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,3.0,0.0,0.805,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,4.0,0.0,1.035,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,6.0,0.0,1.165,8,3.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,8.0,1.0,1.96,8,1.96
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,mean,0.2321,,56,3.0
CMU_76_76_02_poses_120_jpos,0.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,1.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,2.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,3.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,4.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,6.0,1.0,3.0,8,3.0
CMU_76_76_02_poses_120_jpos,8.0,1.0,1.7,8,1.7
CMU_76_76_02_poses_120_jpos,mean,1.0,,56,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,6.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,8.0,1.0,3.0,8,3.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,mean,1.0,,56,3.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,0.0,0.125,2.595,8,3.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,1.0,0.0,1.565,8,3.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,2.0,0.0,0.392,8,3.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,3.0,0.375,1.507,8,2.26
KIT_3_kneel_down_to_crawl02_poses_100_jpos,4.0,0.75,1.13,8,1.26
KIT_3_kneel_down_to_crawl02_poses_100_jpos,6.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl02_poses_100_jpos,8.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl02_poses_100_jpos,mean,0.4643,,56,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,0.0,0.375,2.845,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,1.0,0.0,1.832,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,2.0,0.0,0.62,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,3.0,0.0,0.632,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,4.0,0.0,0.9,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,6.0,0.0,0.772,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,8.0,1.0,1.0,8,1.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,mean,0.1964,,56,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,3.0,0.0,2.402,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,4.0,0.0,1.42,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,6.0,0.0,0.623,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,8.0,0.0,0.733,8,3.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,mean,0.4286,,56,3.0
