clip,offset_s,mode,gain_scale,survival,mean_survival_s,mean_body_pos_err,causes,r_motion_global_root_pos,r_motion_global_root_ori,r_motion_body_pos,r_motion_body_ori,r_motion_body_lin_vel,r_motion_body_ang_vel,r_action_rate_l2,r_joint_limit,r_self_collisions
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,0.0,follow,3.0,0.0,0.97,0.0892,ee_body_pos:8,0.3989,0.3237,0.9002,0.7679,0.7974,0.8476,-0.021,-0.1318,-4.0874
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,2.0,follow,3.0,0.0,1.25,0.1097,anchor_pos:7;anchor_ori:1,0.2443,0.1697,0.8301,0.3976,0.4772,0.5017,-0.1594,-0.5532,-4.7295
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,3.0,follow,3.0,0.0,1.41,0.1105,anchor_pos:7;anchor_ori:1,0.2596,0.1416,0.8211,0.4382,0.5792,0.6195,-0.1205,-0.4826,-8.7611
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,4.0,follow,3.0,0.0,0.79,0.1273,anchor_pos:8,0.3411,0.2253,0.8057,0.4841,0.6599,0.5587,-0.2704,-0.52,-2.8254
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,6.0,follow,3.0,0.0,0.91,0.1263,anchor_pos:8,0.3363,0.195,0.7962,0.3668,0.6507,0.559,-0.2727,-0.6087,-1.157
CMU_76_76_02_poses_120_jpos,0.0,follow,3.0,0.0,1.11,0.1067,ee_body_pos:8;anchor_pos:3,0.3205,0.3297,0.8403,0.6762,0.7007,0.8859,-0.0107,0.0,-0.4494
CMU_76_76_02_poses_120_jpos,2.0,follow,3.0,0.0,0.71,0.0995,ee_body_pos:8,0.3883,0.2581,0.8666,0.6052,0.5649,0.6093,-0.0142,0.0,0.0
CMU_76_76_02_poses_120_jpos,3.0,follow,3.0,0.0,1.4,0.1121,ee_body_pos:8;anchor_pos:1,0.4039,0.1792,0.8639,0.6362,0.7738,0.8172,-0.0081,0.0,0.0
CMU_76_76_02_poses_120_jpos,4.0,follow,3.0,0.0,1.13,0.0884,ee_body_pos:8,0.391,0.3764,0.9119,0.8133,0.8045,0.8985,-0.0164,-0.0046,0.0
CMU_76_76_02_poses_120_jpos,6.0,follow,3.0,0.0,0.75,0.1143,ee_body_pos:8,0.3879,0.267,0.8678,0.7509,0.6213,0.7227,-0.0416,-0.0379,0.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,0.0,follow,3.0,0.0,0.41,0.1045,ee_body_pos:8,0.4522,0.4037,0.9008,0.7819,0.6772,0.8447,-0.1275,0.0,0.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,2.0,follow,3.0,0.0,0.36,0.0983,ee_body_pos:8,0.487,0.3687,0.9193,0.7321,0.7719,0.778,-0.1352,0.0,0.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,3.0,follow,3.0,0.0,0.76,0.1202,ee_body_pos:8,0.4082,0.1821,0.8329,0.5031,0.7166,0.8125,-0.0962,-0.1691,-3.6634
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,4.0,follow,3.0,0.0,0.64,0.106,ee_body_pos:8,0.4215,0.3018,0.8886,0.6899,0.7624,0.8518,-0.08,-0.4376,0.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,6.0,follow,3.0,0.0,0.55,0.111,ee_body_pos:8,0.4224,0.3891,0.8773,0.7338,0.6959,0.7662,-0.0706,-0.3343,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,0.0,follow,3.0,0.0,0.8,0.1126,ee_body_pos:8,0.3367,0.3734,0.8156,0.659,0.6661,0.7025,-0.0295,-0.1166,-0.0313
KIT_3_kneel_down_to_crawl02_poses_100_jpos,2.0,follow,3.0,0.0,0.34,0.0929,ee_body_pos:8,0.4755,0.3137,0.9232,0.5965,0.6799,0.6446,-0.4546,-1.1515,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,3.0,follow,3.0,0.875,2.25,0.0743,anchor_ori:1,0.4172,0.2192,0.9104,0.57,0.9489,0.9346,-0.072,-0.4974,-0.0222
KIT_3_kneel_down_to_crawl02_poses_100_jpos,4.0,follow,3.0,1.0,1.26,0.0404,,0.4839,0.413,0.9755,0.86,0.982,0.9738,-0.1323,-0.5627,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,6.0,follow,3.0,1.0,0.04,0.0151,,0.4987,0.4953,0.9975,0.9905,0.7849,0.7664,-4.0693,-0.4958,0.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,0.0,follow,3.0,0.0,1.44,0.1057,ee_body_pos:8,0.3704,0.233,0.867,0.7673,0.7584,0.809,-0.0103,-0.0358,-2.5391
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,2.0,follow,3.0,0.0,0.63,0.1191,anchor_pos:8,0.3238,0.2326,0.8347,0.432,0.3704,0.4397,-0.3078,-3.7266,-20.8661
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,3.0,follow,3.0,0.0,1.78,0.0892,anchor_ori:1;anchor_pos:1;ee_body_pos:6,0.278,0.1729,0.8689,0.5216,0.5504,0.488,-0.1223,-0.8026,-6.5823
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,4.0,follow,3.0,0.0,1.83,0.0969,anchor_pos:5;ee_body_pos:2;anchor_ori:1,0.3848,0.085,0.8685,0.4339,0.6463,0.5371,-0.0948,-0.7766,-0.7934
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,6.0,follow,3.0,0.0,0.76,0.1316,anchor_pos:8,0.2864,0.1835,0.8005,0.4276,0.541,0.4979,-0.2367,-0.6173,-0.0984
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,0.0,follow,3.0,0.0,0.94,0.1091,ee_body_pos:8,0.3582,0.3835,0.8571,0.723,0.7258,0.8897,-0.0566,0.0,0.0
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,2.0,follow,3.0,0.0,1.06,0.1184,ee_body_pos:7;anchor_pos:2,0.3187,0.3275,0.8225,0.66,0.6623,0.8012,-0.0513,0.0,-2.4292
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,3.0,follow,3.0,0.0,0.64,0.1253,ee_body_pos:8,0.3846,0.346,0.8296,0.6678,0.6693,0.7216,-0.0314,-0.0135,-2.8405
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,4.0,follow,3.0,0.0,1.72,0.1161,anchor_pos:8;ee_body_pos:2,0.4112,0.2981,0.8587,0.5669,0.7606,0.7513,-0.0215,-3.3971,-32.1512
