clip,offset_s,mode,gain_scale,survival,mean_survival_s,mean_body_pos_err,causes,r_motion_global_root_pos,r_motion_global_root_ori,r_motion_body_pos,r_motion_body_ori,r_motion_body_lin_vel,r_motion_body_ang_vel,r_action_rate_l2,r_joint_limit,r_self_collisions
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,0.0,playback,1.0,1.0,3.0,0.01,,0.4997,0.4957,0.9987,0.9907,0.9426,0.8843,-0.0111,-0.1081,-4.6
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,2.0,playback,1.0,1.0,3.0,0.0113,,0.4998,0.4947,0.9984,0.9911,0.9131,0.8402,-0.0686,-0.0392,-2.1583
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,3.0,playback,1.0,1.0,3.0,0.0108,,0.4999,0.4933,0.9984,0.9888,0.9373,0.8812,-0.0589,-0.0426,-2.3417
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,4.0,playback,1.0,1.0,3.0,0.0105,,0.4999,0.4935,0.9985,0.9899,0.9492,0.8889,-0.0742,-0.0373,0.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,6.0,playback,1.0,1.0,3.0,0.0122,,0.4997,0.4941,0.9982,0.9915,0.9398,0.8664,-0.0873,-0.0496,-1.9
CMU_76_76_02_poses_120_jpos,0.0,playback,1.0,1.0,3.0,0.0066,,0.4998,0.4993,0.9995,0.9981,0.9745,0.9493,-0.0063,0.0,-8.7167
CMU_76_76_02_poses_120_jpos,2.0,playback,1.0,1.0,3.0,0.0077,,0.4998,0.4993,0.9994,0.9978,0.9737,0.9641,-0.0048,0.0,0.0
CMU_76_76_02_poses_120_jpos,3.0,playback,1.0,1.0,3.0,0.0045,,0.4999,0.4996,0.9998,0.9987,0.9768,0.983,-0.0046,0.0,0.0
CMU_76_76_02_poses_120_jpos,4.0,playback,1.0,1.0,3.0,0.0042,,0.5,0.4997,0.9999,0.9985,0.9755,0.974,-0.0086,0.0,0.0
CMU_76_76_02_poses_120_jpos,6.0,playback,1.0,1.0,3.0,0.0059,,0.4999,0.499,0.9996,0.9956,0.9702,0.943,-0.0152,-0.0002,0.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,0.0,playback,1.0,1.0,3.0,0.0036,,0.5,0.5,0.9999,0.9996,0.9779,0.9899,-0.0179,0.0,-1.4833
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,2.0,playback,1.0,1.0,3.0,0.0053,,0.4999,0.4994,0.9998,0.9976,0.9742,0.9496,-0.0182,0.0,-6.3167
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,3.0,playback,1.0,1.0,3.0,0.0072,,0.5,0.497,0.9993,0.9931,0.972,0.9079,-0.029,-0.0068,-5.35
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,4.0,playback,1.0,1.0,3.0,0.0086,,0.5,0.4953,0.999,0.9893,0.9684,0.8485,-0.0283,-0.0093,-0.5417
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,6.0,playback,1.0,1.0,3.0,0.007,,0.5,0.498,0.9995,0.994,0.9715,0.8862,-0.0203,-0.0021,-0.6917
KIT_3_kneel_down_to_crawl02_poses_100_jpos,0.0,playback,1.0,1.0,3.0,0.0097,,0.4999,0.4961,0.999,0.9909,0.946,0.883,-0.0111,-0.1638,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,2.0,playback,1.0,1.0,3.0,0.0109,,0.4998,0.4967,0.9986,0.9915,0.8709,0.807,-0.0531,-0.2126,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,3.0,playback,1.0,1.0,2.26,0.0112,,0.4998,0.4976,0.9985,0.9924,0.8453,0.8004,-0.0716,-0.25,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,4.0,playback,1.0,1.0,1.26,0.0116,,0.4997,0.4978,0.9985,0.9924,0.8247,0.7743,-0.1323,-0.2467,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,6.0,playback,1.0,1.0,0.04,0.0124,,0.4997,0.4976,0.9983,0.9908,0.8128,0.7804,-4.0693,-0.2925,0.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,0.0,playback,1.0,1.0,3.0,0.0096,,0.4997,0.495,0.9987,0.9878,0.9578,0.9011,-0.0088,-0.1892,-8.4583
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,2.0,playback,1.0,1.0,3.0,0.0128,,0.4998,0.4927,0.9977,0.9827,0.9558,0.8443,-0.0711,-0.2343,-1.575
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,3.0,playback,1.0,1.0,3.0,0.0121,,0.4999,0.4929,0.9981,0.9855,0.9518,0.8313,-0.0759,-0.1362,-0.1333
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,4.0,playback,1.0,1.0,3.0,0.0117,,0.4999,0.4928,0.9982,0.9862,0.9383,0.8324,-0.0597,-0.1275,-0.1333
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,6.0,playback,1.0,1.0,3.0,0.0091,,0.4999,0.4945,0.999,0.9925,0.9502,0.8961,-0.0635,-0.1009,-3.8417
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,0.0,playback,1.0,1.0,3.0,0.0037,,0.5,0.4999,0.9999,0.9992,0.9776,0.9715,-0.0189,0.0,-0.625
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,2.0,playback,1.0,1.0,3.0,0.0092,,0.4998,0.4972,0.9991,0.9902,0.9387,0.7525,-0.0213,-0.1319,-11.3167
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,3.0,playback,1.0,1.0,3.0,0.0107,,0.4998,0.4968,0.9984,0.9835,0.9298,0.6947,-0.0104,-0.3256,-15.1917
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,4.0,playback,1.0,1.0,3.0,0.0094,,0.4998,0.4965,0.9985,0.9832,0.9119,0.6487,-0.0129,-0.4207,-16.6167
Eyes_Japan_Dataset_hamada_pose-11-bended_knees-hamada_poses_120_jpos,6.0,playback,1.0,1.0,3.0,0.0068,,0.4998,0.4989,0.9997,0.9963,0.8467,0.6812,-0.0566,-0.1195,-20.9167
