clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.00026,0.01293,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.00075,0.03448,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.00011,0.00862,0.0
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,mean,1.0,,56,3.0,0.00016,,
CMU_102_102_29_poses_120_jpos,0.0,0.75,2.898,8,3.0,0.00142,0.03879,0.01293
CMU_102_102_29_poses_120_jpos,1.0,0.625,2.515,8,3.0,0.0046,0.06034,0.00431
CMU_102_102_29_poses_120_jpos,2.0,0.375,2.303,8,3.0,0.00385,0.06034,0.01293
CMU_102_102_29_poses_120_jpos,3.0,0.0,1.93,8,3.0,0.00171,0.03879,0.00431
CMU_102_102_29_poses_120_jpos,4.0,0.0,1.033,8,2.66,0.00024,0.01293,0.01293
CMU_102_102_29_poses_120_jpos,6.0,1.0,0.66,8,0.66,0.00052,0.01724,0.01724
CMU_102_102_29_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
CMU_102_102_29_poses_120_jpos,mean,0.5357,,56,3.0,0.00176,,
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.00089,0.03448,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,6.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,8.0,0.75,2.995,8,3.0,3e-05,0.00431,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,mean,0.9643,,56,3.0,0.00014,,
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.0,2.74,8,2.74,0.00031,0.0431,0.0431
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,2.0,1.0,1.74,8,1.74,0.00035,0.03017,0.03017
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,3.0,1.0,0.74,8,0.74,0.00047,0.01724,0.01724
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,4.0,1.0,0.04,8,0.04,0.0,0.0,0.0
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.0,0.0,0.0
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,mean,1.0,,56,3.0,0.00047,,
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.00034,0.00862,0.0
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.00132,0.03448,0.0
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,6.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.00106,0.03448,0.0
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,mean,1.0,,56,3.0,0.0004,,
CMU_35_35_24_poses_120_jpos,0.0,0.25,1.053,8,1.26,0.00343,0.03879,0.00862
CMU_35_35_24_poses_120_jpos,1.0,1.0,0.26,8,0.26,0.01989,0.04741,0.03879
CMU_35_35_24_poses_120_jpos,2.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
CMU_35_35_24_poses_120_jpos,3.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
CMU_35_35_24_poses_120_jpos,4.0,1.0,0.04,8,0.04,0.0,0.0,0.0
CMU_35_35_24_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
CMU_35_35_24_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
CMU_35_35_24_poses_120_jpos,mean,0.8929,,56,3.0,0.0058,,
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,2.0,1.0,3.0,8,3.0,6e-05,0.00862,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,3.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,mean,1.0,,56,3.0,1e-05,,
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.0,0.0,1.023,8,3.0,0.00041,0.02155,0.02155
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,1.0,0.0,0.79,8,3.0,0.0,0.0,0.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,2.0,0.0,0.32,8,2.08,0.00027,0.00431,0.00431
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,3.0,0.0,0.252,8,1.1,0.00069,0.00862,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,4.0,1.0,0.08,8,0.08,0.0,0.0,0.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,6.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,8.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,mean,0.4286,,56,3.0,0.00081,,
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,1.0,0.0,0.397,8,3.0,0.00569,0.03448,0.00862
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,2.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,6.0,0.0,1.072,8,3.0,0.00105,0.03448,0.02586
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.00026,0.01724,0.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,mean,0.7143,,56,3.0,0.00101,,
CMU_127_127_13_poses_120_jpos,0.0,0.75,1.35,8,1.54,0.00288,0.04741,0.03448
CMU_127_127_13_poses_120_jpos,1.0,1.0,0.52,8,0.52,0.00729,0.03448,0.0
CMU_127_127_13_poses_120_jpos,2.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
CMU_127_127_13_poses_120_jpos,3.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
CMU_127_127_13_poses_120_jpos,4.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
CMU_127_127_13_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
CMU_127_127_13_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
CMU_127_127_13_poses_120_jpos,mean,0.9643,,56,3.0,0.00484,,
CMU_35_35_20_poses_120_jpos,0.0,0.5,1.1,8,1.36,0.00316,0.03879,0.01724
CMU_35_35_20_poses_120_jpos,1.0,1.0,0.36,8,0.36,0.01269,0.03879,0.03448
CMU_35_35_20_poses_120_jpos,2.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
CMU_35_35_20_poses_120_jpos,3.0,1.0,0.04,8,0.04,0.0,0.0,0.0
CMU_35_35_20_poses_120_jpos,4.0,1.0,0.04,8,0.04,0.0,0.0,0.0
CMU_35_35_20_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.01293,0.02586,0.02586
CMU_35_35_20_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
