clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
KIT_572_squat05_poses_100_jpos,0.0,0.75,2.905,8,3.0,7e-05,0.00862,0.00862
KIT_572_squat05_poses_100_jpos,1.0,0.875,2.825,8,3.0,0.0,0.0,0.0
KIT_572_squat05_poses_100_jpos,2.0,1.0,2.92,8,2.92,0.0,0.0,0.0
KIT_572_squat05_poses_100_jpos,3.0,1.0,1.94,8,1.94,0.00044,0.03879,0.03879
KIT_572_squat05_poses_100_jpos,4.0,1.0,0.94,8,0.94,0.00083,0.03879,0.03879
KIT_572_squat05_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
KIT_572_squat05_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
KIT_572_squat05_poses_100_jpos,mean,0.9464,,56,3.0,0.00204,,
KIT_200_Kniebeuge06_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,2.0,1.0,2.38,8,2.38,7e-05,0.00862,0.0
KIT_200_Kniebeuge06_poses_100_jpos,3.0,1.0,1.4,8,1.4,0.00049,0.03448,0.03448
KIT_200_Kniebeuge06_poses_100_jpos,4.0,1.0,0.38,8,0.38,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
KIT_200_Kniebeuge06_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
KIT_200_Kniebeuge06_poses_100_jpos,mean,1.0,,56,3.0,0.00224,,
KIT_3_seesaw_backwards07_poses_100_jpos,0.0,0.0,2.76,8,3.0,0.00012,0.01724,0.01724
KIT_3_seesaw_backwards07_poses_100_jpos,1.0,0.0,1.76,8,3.0,5e-05,0.00431,0.00431
KIT_3_seesaw_backwards07_poses_100_jpos,2.0,0.0,0.76,8,3.0,0.00011,0.00431,0.00431
KIT_3_seesaw_backwards07_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_seesaw_backwards07_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_seesaw_backwards07_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_seesaw_backwards07_poses_100_jpos,8.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_seesaw_backwards07_poses_100_jpos,mean,0.5714,,56,3.0,4e-05,,
KIT_200_Kniebeuge04_poses_100_jpos,0.0,0.875,2.967,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge04_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge04_poses_100_jpos,2.0,0.75,1.892,8,2.34,0.00017,0.00431,0.0
KIT_200_Kniebeuge04_poses_100_jpos,3.0,1.0,1.36,8,1.36,0.00032,0.02155,0.02155
KIT_200_Kniebeuge04_poses_100_jpos,4.0,1.0,0.36,8,0.36,0.00096,0.01724,0.01724
KIT_200_Kniebeuge04_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
KIT_200_Kniebeuge04_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
KIT_200_Kniebeuge04_poses_100_jpos,mean,0.9464,,56,3.0,0.00052,,
KIT_3_squat05_poses_100_jpos,0.0,0.75,2.822,8,3.0,0.00013,0.01293,0.01293
KIT_3_squat05_poses_100_jpos,1.0,0.25,1.537,8,3.0,0.00015,0.00862,0.00862
KIT_3_squat05_poses_100_jpos,2.0,0.375,1.46,8,3.0,0.00176,0.05172,0.01293
KIT_3_squat05_poses_100_jpos,3.0,1.0,2.5,8,2.5,0.00017,0.02155,0.02155
KIT_3_squat05_poses_100_jpos,4.0,1.0,1.5,8,1.5,0.00029,0.02155,0.02155
KIT_3_squat05_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.01078,0.02155,0.02155
KIT_3_squat05_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.01724,0.03448,0.03448
KIT_3_squat05_poses_100_jpos,mean,0.7679,,56,3.0,0.00436,,
KIT_424_seesaw01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw01_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw01_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw01_poses_100_jpos,3.0,0.875,2.76,8,3.0,8e-05,0.00431,0.00431
KIT_424_seesaw01_poses_100_jpos,4.0,0.625,1.945,8,3.0,0.0019,0.02155,0.01724
KIT_424_seesaw01_poses_100_jpos,6.0,1.0,2.74,8,2.74,0.00013,0.01724,0.01724
KIT_424_seesaw01_poses_100_jpos,8.0,1.0,0.74,8,0.74,0.00058,0.02155,0.02155
KIT_424_seesaw01_poses_100_jpos,mean,0.9286,,56,3.0,0.00038,,
KIT_424_seesaw_backwards03_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw_backwards03_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw_backwards03_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw_backwards03_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw_backwards03_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw_backwards03_poses_100_jpos,6.0,1.0,2.76,8,2.76,0.00016,0.02155,0.02155
KIT_424_seesaw_backwards03_poses_100_jpos,8.0,1.0,0.76,8,0.76,0.00091,0.03448,0.03448
KIT_424_seesaw_backwards03_poses_100_jpos,mean,1.0,,56,3.0,0.00015,,
KIT_3_go_over_beam01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
