clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.00374,0.09052,0.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0033,0.10345,0.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,2.0,0.875,2.653,8,3.0,0.01178,0.07328,0.00862
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.00445,0.07328,0.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,4.0,0.75,2.29,8,3.0,0.00247,0.0431,0.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,6.0,1.0,3.0,8,3.0,6e-05,0.00862,0.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.00026,0.02586,0.0
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,mean,0.9464,,56,3.0,0.00372,,
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.00681,0.07759,0.01724
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.01684,0.07328,0.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.01106,0.0819,0.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.00158,0.06897,0.0
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,4.0,0.75,2.347,8,3.0,0.00042,0.00862,0.00431
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,6.0,0.875,1.67,8,1.88,0.00087,0.07759,0.07759
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.02802,0.05172,0.03448
