clip,tax_fraction
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.0000
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,0.3649
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,0.5778
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.0000
ACCAD_Male2Running_c3d_C18_-_run_to_hop_to_walk_poses_120_jpos,0.0442
ACCAD_Male2Running_c3d_C24_-_quick_sidestep_left_poses_120_jpos,0.0600
ACCAD_Male2Running_c3d_C4_-_run_to_walk_a_poses_120_jpos,0.0928
ACCAD_Male2Running_c3d_C4_-_run_to_walk_poses_120_jpos,0.0928
ACCAD_Male2Running_c3d_C5_-_walk_to_run_poses_120_jpos,0.1236
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.2319
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.2319
ACCAD_Male2Walking_c3d_B20_-__Walk_with_box_poses_120_jpos,0.0000
ACCAD_Male2Walking_c3d_B27_-__skip_to_walk_a_poses_120_jpos,0.0877
ACCAD_MartialArtsWalksTurns_c3d_E7_-_super_fast_advance_poses_120_jpos,0.0000
ACCAD_s007_QkWalk1_poses_120_jpos,0.1875
ACCAD_s011_walkdog_poses_120_jpos,0.0907
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,0.1712
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.3196
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.1485
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,0.1528
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.1795
BMLmovi_Subject_32_F_MoSh_Subject_32_F_4_poses_120_jpos,0.1784
