clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.375,3.397,0.08111,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.25,1.657,0.11141,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.125,4.97,0.10107,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.58,0.05902,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,7.415,0.0663,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.75,0.302,0.09886,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.75,6.978,0.07424,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.305,0.10251,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.0,5.022,0.12445,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.625,0.647,0.13365,8,10.0,random
CMU_35_35_20_poses_120_jpos,0.75,0.515,0.1091,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.5,1.948,0.10422,8,10.0,random
CMU_16_16_35_poses_120_jpos,0.625,0.625,0.11386,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.125,1.975,0.08721,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.0,1.28,0.14485,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.125,1.87,0.0963,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.0,2.54,0.12832,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.81,0.0746,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.75,1.518,0.07177,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.5,1.448,0.13818,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.375,2.835,0.0987,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.125,4.438,0.0813,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,3.22,0.06343,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.25,1.828,0.08567,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.625,3.23,0.09111,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.415,0.07626,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.875,3.27,0.07111,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.875,3.02,0.08626,8,10.0,random
CMU_35_35_18_poses_120_jpos,0.875,0.72,0.11089,8,10.0,random
CMU_35_35_26_poses_120_jpos,0.875,0.618,0.11568,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.5,0.615,0.08087,8,10.0,random
CMU_108_108_18_poses_120_jpos,0.875,0.62,0.09943,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.125,2.735,0.12456,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,0.875,2.402,0.0881,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.375,2.488,0.06931,8,10.0,random
CMU_91_91_04_poses_120_jpos,0.5,5.545,0.09249,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.125,2.225,0.09756,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,1.75,0.07933,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.25,0.415,0.10947,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.5,1.6,0.06849,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.375,0.315,0.11121,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.25,4.75,0.11009,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,0.875,1.25,0.0823,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,3.94,0.05899,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,1.0,1.47,0.09475,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.125,1.565,0.1075,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.375,1.438,0.12513,8,10.0,random
