clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.5,4.94,0.08498,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.125,2.167,0.1173,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.25,2.89,0.08478,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.35,0.05092,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,8.945,0.08734,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.875,0.55,0.10469,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.5,7.968,0.09283,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.355,0.08732,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.125,4.107,0.11568,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.875,0.542,0.10031,8,10.0,random
CMU_35_35_20_poses_120_jpos,0.875,0.325,0.09418,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.125,1.387,0.11913,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.432,0.0782,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.5,1.255,0.09876,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.5,2.195,0.09216,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,1.867,0.11473,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.375,5.697,0.10666,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.838,0.0847,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.875,1.155,0.07213,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.5,1.135,0.09397,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.375,6.848,0.09395,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.125,3.78,0.08309,8,10.0,random
CMU_93_93_08_poses_60_jpos,0.875,5.37,0.07454,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.375,1.04,0.11143,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.875,3.925,0.07101,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.24,0.0697,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,4.11,0.07184,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.75,4.39,0.08676,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.58,0.08322,8,10.0,random
CMU_35_35_26_poses_120_jpos,0.75,0.503,0.0967,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.625,0.52,0.06519,8,10.0,random
CMU_108_108_18_poses_120_jpos,0.5,0.912,0.11272,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.375,2.718,0.11681,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,1.445,0.08819,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.0,3.52,0.1063,8,10.0,random
CMU_91_91_04_poses_120_jpos,0.5,2.252,0.1014,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.0,2.607,0.11251,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,3.292,0.0923,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.25,0.338,0.13002,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.625,1.913,0.08105,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.125,0.292,0.16808,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.25,4.77,0.1006,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,1.688,0.08173,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,4.15,0.05937,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,0.875,1.195,0.09232,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.0,1.103,0.12878,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.25,1.103,0.09022,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,6.51,0.05613,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.875,8.105,0.077,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.625,0.733,0.10879,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.875,9.672,0.08198,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,1.0,1.012,0.05591,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,2.033,0.0479,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,1.0,8.25,0.07693,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.875,8.197,0.07746,8,10.0,random
CMU_139_139_11_poses_60_jpos,0.875,2.965,0.07286,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.75,3.085,0.0963,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,0.625,1.765,0.06876,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,2.685,0.05999,8,10.0,random
CMU_144_144_04_poses_120_jpos,0.5,6.76,0.08127,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,6.833,0.06439,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,0.75,2.922,0.06931,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,1.688,0.04604,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.625,2.56,0.09853,8,10.0,random
CMU_122_122_15_poses_120_jpos,0.375,1.195,0.08547,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.625,2.147,0.05419,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,5.385,0.04783,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.375,1.47,0.12745,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,2.042,0.0547,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.55,0.05174,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,3.725,0.05952,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.125,1.765,0.06509,8,10.0,random
GRAB_s3_waterbottle_pick_all,0.875,5.65,0.05566,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,0.875,2.605,0.08185,8,10.0,random
KIT_3_seesaw07_poses_100_jpos,1.0,3.468,0.06224,8,10.0,random
CMU_137_137_36_poses_120_jpos,0.75,4.88,0.08044,8,10.0,random
KIT_8_RightTurn03_poses_100_jpos,1.0,2.828,0.05485,8,10.0,random
KIT_424_seesaw04_poses_100_jpos,0.625,4.288,0.05902,8,10.0,random
KIT_3_walking_medium08_poses_100_jpos,1.0,2.67,0.05283,8,10.0,random
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,5.61,0.0522,8,10.0,random
GRAB_s6_mouse_pick_all,1.0,7.34,0.04806,8,10.0,random
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,2.255,0.04712,8,10.0,random
CMU_106_106_13_poses_60_jpos,0.75,1.895,0.06437,8,10.0,random
GRAB_s4_apple_pick_all,0.625,4.982,0.06615,8,10.0,random
GRAB_s6_spherelarge_pick_all,1.0,8.062,0.04649,8,10.0,random
KIT_572_throw_left04_poses_100_jpos,1.0,1.698,0.03538,8,10.0,random
GRAB_s5_spherelarge_pick_all,1.0,8.675,0.05298,8,10.0,random
GRAB_s8_toruslarge_inspect_1,1.0,2.845,0.0509,8,10.0,random
GRAB_s9_stapler_pass_1,1.0,3.18,0.05923,8,10.0,random
GRAB_s1_toothpaste_pick_all,0.875,8.967,0.06788,8,10.0,random
KIT_3_wave_left01_poses_100_jpos,0.875,1.155,0.04171,8,10.0,random
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,0.875,7.295,0.06896,8,10.0,random
