clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.125,3.212,0.09616,8,10.0,random,0.00047,0.02586,0.00431
CMU_102_102_29_poses_120_jpos,0.125,1.1,0.11036,8,10.0,random,0.00339,0.02586,0.0
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.125,4.915,0.09556,8,10.0,random,0.00093,0.03017,0.02155
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,2.218,0.06748,8,10.0,random,0.0003,0.02586,0.02586
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.875,6.958,0.07195,8,10.0,random,0.00031,0.03448,0.02155
CMU_35_35_24_poses_120_jpos,0.5,0.487,0.14343,8,10.0,random,0.0101,0.03879,0.01293
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.75,6.365,0.07598,8,10.0,random,0.00035,0.02155,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.85,0.09253,8,10.0,random,0.00226,0.00862,0.00862
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.0,4.505,0.11231,8,10.0,random,0.00254,0.0431,0.00431
CMU_127_127_13_poses_120_jpos,0.75,0.33,0.11484,8,10.0,random,0.00669,0.03448,0.01724
CMU_35_35_20_poses_120_jpos,0.75,0.435,0.12103,8,10.0,random,0.00673,0.03017,0.01293
CMU_18_19_Justin_18_03_poses_120_jpos,0.75,2.343,0.10018,8,10.0,random,0.00318,0.03879,0.00862
CMU_16_16_35_poses_120_jpos,0.75,0.835,0.11687,8,10.0,random,0.00676,0.03879,0.01724
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.25,2.07,0.08069,8,10.0,random,0.00075,0.03017,0.01724
CMU_20_21_rory1_20_10_poses_120_jpos,0.5,1.482,0.11406,8,10.0,random,0.0038,0.02155,0.01293
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.375,2.445,0.08678,8,10.0,random,0.00022,0.02586,0.02155
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.0,3.805,0.10847,8,10.0,random,0.00123,0.0431,0.03448
CMU_138_138_25_poses_120_jpos,1.0,1.877,0.07412,8,10.0,random,0.00088,0.03017,0.02155
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.875,1.323,0.07778,8,10.0,random,0.00085,0.01724,0.01724
CMU_88_88_10_poses_60_jpos,0.625,0.44,0.05474,8,10.0,random,0.00954,0.03017,0.02155
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.5,7.365,0.1068,8,10.0,random,0.00114,0.03448,0.00431
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.375,5.125,0.08847,8,10.0,random,0.00046,0.03879,0.00862
CMU_93_93_08_poses_60_jpos,0.875,3.04,0.06371,8,10.0,random,0.00058,0.03017,0.02586
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.25,1.74,0.0978,8,10.0,random,0.0013,0.02586,0.01724
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.75,4.025,0.07145,8,10.0,random,0.00137,0.03017,0.01293
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.593,0.0749,8,10.0,random,0.00037,0.02586,0.02155
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.875,4.395,0.07015,8,10.0,random,0.00092,0.03448,0.01724
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.875,3.375,0.07771,8,10.0,random,0.00112,0.0431,0.02155
CMU_35_35_18_poses_120_jpos,0.875,0.552,0.10575,8,10.0,random,0.00968,0.04741,0.02155
CMU_35_35_26_poses_120_jpos,0.625,0.36,0.14706,8,10.0,random,0.01638,0.03879,0.01724
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.625,0.71,0.08974,8,10.0,random,0.00103,0.03017,0.03017
CMU_108_108_18_poses_120_jpos,1.0,0.72,0.09096,8,10.0,random,0.00886,0.03448,0.01293
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.125,3.962,0.10452,8,10.0,random,0.00088,0.02155,0.00431
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,1.978,0.08751,8,10.0,random,0.00075,0.01724,0.01724
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,1.595,0.08196,8,10.0,random,0.0002,0.01293,0.00862
CMU_91_91_04_poses_120_jpos,0.625,6.668,0.09677,8,10.0,random,0.00065,0.04741,0.03017
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.0,3.5,0.097,8,10.0,random,0.00429,0.03879,0.01724
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,3.9,0.08951,8,10.0,random,0.00046,0.01724,0.01293
CMU_138_138_10_poses_120_jpos,0.25,0.603,0.12985,8,10.0,random,0.0028,0.03017,0.01293
CMU_106_106_04_poses_60_jpos,0.125,1.863,0.11869,8,10.0,random,0.0054,0.0431,0.01293
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.75,0.81,0.06913,8,10.0,random,0.00158,0.01293,0.01293
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.625,8.217,0.0972,8,10.0,random,0.00115,0.03017,0.00431
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,0.875,1.19,0.0837,8,10.0,random,0.001,0.03017,0.01724
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,3.647,0.06322,8,10.0,random,0.00163,0.03017,0.01724
ACCAD_s007_QkWalk1_poses_120_jpos,0.75,1.022,0.12006,8,10.0,random,0.00308,0.03017,0.00862
CMU_78_78_31_poses_120_jpos,0.25,1.703,0.12809,8,10.0,random,0.00183,0.02586,0.00431
CMU_76_76_03_poses_120_jpos,0.75,1.667,0.08592,8,10.0,random,0.00064,0.03448,0.02586
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,4.765,0.05312,8,10.0,random,0.00013,0.01724,0.01724
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.75,7.203,0.08837,8,10.0,random,0.00082,0.0431,0.03879
CMU_108_108_16_poses_120_jpos,0.5,0.8,0.09803,8,10.0,random,0.00819,0.0431,0.01724
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.375,4.97,0.09286,8,10.0,random,0.00222,0.04741,0.00862
DFaust_67_50020_50020_punching_poses_60_jpos,0.875,1.63,0.06745,8,10.0,random,7e-05,0.00862,0.00431
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,2.718,0.05349,8,10.0,random,5e-05,0.00862,0.00862
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.625,5.293,0.07648,8,10.0,random,0.00031,0.02586,0.02586
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.75,6.205,0.07719,8,10.0,random,0.00191,0.03017,0.00431
CMU_139_139_11_poses_60_jpos,0.75,2.765,0.07108,8,10.0,random,0.00119,0.0431,0.03448
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.875,3.395,0.06999,8,10.0,random,0.00086,0.03448,0.02586
KIT_379_push_recovery_left05_poses_100_jpos,0.75,1.883,0.05792,8,10.0,random,0.00067,0.03017,0.02155
CMU_122_122_55_poses_120_jpos,1.0,3.368,0.0669,8,10.0,random,0.00026,0.02155,0.01724
CMU_144_144_04_poses_120_jpos,0.875,6.663,0.07506,8,10.0,random,0.00049,0.05172,0.03448
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,0.75,6.545,0.06457,8,10.0,random,0.0002,0.02586,0.01724
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.533,0.06673,8,10.0,random,5e-05,0.00862,0.00431
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,0.875,1.877,0.05347,8,10.0,random,0.00022,0.01724,0.01293
