clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.75,4.295,0.06403,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.25,1.258,0.11997,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.625,5.81,0.08267,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,2.382,0.06288,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.875,8.555,0.07371,8,10.0,random
CMU_35_35_24_poses_120_jpos,1.0,0.527,0.09131,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.875,6.565,0.07358,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.845,0.10632,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.375,6.52,0.09765,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.875,0.782,0.09843,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,1.052,0.097,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.25,1.983,0.09016,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.973,0.09474,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.625,1.407,0.07277,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.5,1.272,0.1101,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.375,2.9,0.0801,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.125,4.59,0.10387,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.643,0.06631,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.875,1.575,0.08323,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.375,1.005,0.10165,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.75,5.13,0.08352,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.125,2.132,0.1067,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,2.905,0.06407,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.375,1.843,0.08243,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.875,4.503,0.06676,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.74,0.08127,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,2.763,0.05502,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,4.237,0.07248,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.598,0.09022,8,10.0,random
CMU_35_35_26_poses_120_jpos,0.875,0.537,0.10151,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.625,0.573,0.08202,8,10.0,random
CMU_108_108_18_poses_120_jpos,1.0,1.105,0.07944,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.75,8.408,0.09611,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,1.97,0.08345,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.375,2.23,0.10846,8,10.0,random
CMU_91_91_04_poses_120_jpos,0.75,5.29,0.0854,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.25,3.692,0.08124,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,4.83,0.08967,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.25,0.625,0.11808,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.5,1.988,0.10298,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.375,0.515,0.09729,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.875,6.208,0.07466,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,0.5,0.858,0.10517,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,4.708,0.06377,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,0.75,1.31,0.10417,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.5,1.353,0.09232,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.25,1.103,0.0858,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,3.71,0.04188,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.5,8.537,0.08774,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.25,0.88,0.10256,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.75,9.53,0.08136,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,0.875,0.858,0.05677,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,1.815,0.05291,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.75,5.873,0.06753,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.875,8.185,0.06811,8,10.0,random
CMU_139_139_11_poses_60_jpos,0.75,2.5,0.09052,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.375,2.558,0.09163,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,0.875,2.395,0.06421,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,3.11,0.0669,8,10.0,random
CMU_144_144_04_poses_120_jpos,1.0,8.5,0.0681,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,9.037,0.0797,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.41,0.06084,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,2.127,0.05682,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.75,1.028,0.07096,8,10.0,random
CMU_122_122_15_poses_120_jpos,0.375,1.49,0.10459,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.625,1.673,0.06291,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,6.143,0.05169,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.375,1.48,0.12209,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,3.185,0.05981,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.607,0.05811,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,3.198,0.05964,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.5,1.458,0.10389,8,10.0,random
GRAB_s3_waterbottle_pick_all,1.0,7.183,0.05516,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,0.875,3.252,0.07393,8,10.0,random
KIT_3_seesaw07_poses_100_jpos,1.0,4.147,0.07298,8,10.0,random
CMU_137_137_36_poses_120_jpos,1.0,7.508,0.07485,8,10.0,random
KIT_8_RightTurn03_poses_100_jpos,1.0,2.688,0.05094,8,10.0,random
KIT_424_seesaw04_poses_100_jpos,0.875,3.815,0.0636,8,10.0,random
KIT_3_walking_medium08_poses_100_jpos,1.0,1.647,0.04421,8,10.0,random
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,4.4,0.05001,8,10.0,random
GRAB_s6_mouse_pick_all,1.0,6.788,0.04719,8,10.0,random
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,4.048,0.05487,8,10.0,random
CMU_106_106_13_poses_60_jpos,0.625,1.373,0.05729,8,10.0,random
GRAB_s4_apple_pick_all,1.0,8.205,0.07267,8,10.0,random
GRAB_s6_spherelarge_pick_all,1.0,7.65,0.04249,8,10.0,random
KIT_572_throw_left04_poses_100_jpos,0.75,1.045,0.04749,8,10.0,random
GRAB_s5_spherelarge_pick_all,1.0,7.993,0.04686,8,10.0,random
GRAB_s8_toruslarge_inspect_1,1.0,3.315,0.04803,8,10.0,random
GRAB_s9_stapler_pass_1,1.0,3.355,0.05784,8,10.0,random
GRAB_s1_toothpaste_pick_all,1.0,9.412,0.05718,8,10.0,random
KIT_3_wave_left01_poses_100_jpos,1.0,2.485,0.0525,8,10.0,random
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,1.0,9.085,0.07068,8,10.0,random
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,1.0,8.81,0.0626,8,10.0,random
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,0.625,3.545,0.14682,8,10.0,random
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,1.0,4.235,0.04202,8,10.0,random
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,1.0,1.278,0.0312,8,10.0,random
KIT_969_Trial_30_poses_100_jpos,1.0,4.87,0.04791,8,10.0,random
KIT_572_wipe_circular_left07_poses_100_jpos,1.0,3.053,0.03637,8,10.0,random
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,1.0,2.305,0.03857,8,10.0,random
KIT_291_shake_hand05_poses_100_jpos,1.0,3.15,0.04135,8,10.0,random
