clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.375,7.36,0.06279,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.375,1.525,0.12174,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.5,4.478,0.05975,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,2.022,0.06596,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,7.168,0.06758,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.375,0.52,0.14407,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.75,7.505,0.07035,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.0,0.31,0.11261,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.375,6.138,0.12768,8,10.0,random
CMU_127_127_13_poses_120_jpos,1.0,0.635,0.09755,8,10.0,random
CMU_35_35_20_poses_120_jpos,0.375,0.532,0.13392,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.625,1.742,0.10012,8,10.0,random
CMU_16_16_35_poses_120_jpos,0.75,0.6,0.10688,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.125,1.34,0.15599,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,1.0,1.768,0.08452,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.375,2.593,0.09724,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.5,5.575,0.14856,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.863,0.06994,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.5,1.4,0.1096,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.375,1.347,0.10119,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.625,6.668,0.08435,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.5,3.913,0.0828,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,5.365,0.06295,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.25,1.89,0.08126,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,3.49,0.05493,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,0.875,1.427,0.06523,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,2.765,0.05874,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,4.067,0.06164,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.92,0.09134,8,10.0,random
CMU_35_35_26_poses_120_jpos,0.25,0.42,0.16695,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.5,0.562,0.09842,8,10.0,random
CMU_108_108_18_poses_120_jpos,0.75,0.515,0.07397,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.75,5.71,0.082,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,2.027,0.07507,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.375,2.303,0.08173,8,10.0,random
CMU_91_91_04_poses_120_jpos,1.0,6.42,0.0609,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.375,3.01,0.07356,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,3.955,0.07392,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.25,0.615,0.10358,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.25,3.13,0.11332,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.125,0.357,0.09441,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,1.0,6.365,0.06285,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,0.753,0.05899,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,3.775,0.06697,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,0.75,1.245,0.103,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.25,2.468,0.10487,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.625,1.26,0.08057,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,4.208,0.04676,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.875,9.072,0.07361,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.625,0.807,0.08523,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,1.0,10.0,0.07598,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,1.0,2.115,0.05118,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,1.39,0.0383,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.875,5.865,0.05747,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,1.0,8.19,0.05956,8,10.0,random
CMU_139_139_11_poses_60_jpos,1.0,1.515,0.06424,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.625,2.525,0.05879,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,1.0,2.913,0.04209,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,3.045,0.05471,8,10.0,random
CMU_144_144_04_poses_120_jpos,1.0,7.298,0.05779,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,8.467,0.05147,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.355,0.05676,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,1.723,0.04171,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.875,4.475,0.06113,8,10.0,random
CMU_122_122_15_poses_120_jpos,1.0,2.073,0.04113,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.75,1.45,0.04829,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,6.133,0.03945,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.125,0.95,0.15818,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,2.393,0.04933,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.708,0.04424,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,4.39,0.04559,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.25,1.785,0.09047,8,10.0,random
GRAB_s3_waterbottle_pick_all,1.0,5.865,0.05259,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,1.0,2.882,0.06819,8,10.0,random
KIT_3_seesaw07_poses_100_jpos,1.0,4.145,0.05417,8,10.0,random
CMU_137_137_36_poses_120_jpos,1.0,7.188,0.06761,8,10.0,random
KIT_8_RightTurn03_poses_100_jpos,1.0,3.045,0.04585,8,10.0,random
KIT_424_seesaw04_poses_100_jpos,0.875,4.588,0.05916,8,10.0,random
KIT_3_walking_medium08_poses_100_jpos,1.0,3.373,0.04564,8,10.0,random
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,4.413,0.03664,8,10.0,random
GRAB_s6_mouse_pick_all,1.0,5.433,0.04132,8,10.0,random
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,4.168,0.04714,8,10.0,random
CMU_106_106_13_poses_60_jpos,1.0,3.178,0.04594,8,10.0,random
GRAB_s4_apple_pick_all,1.0,8.145,0.05218,8,10.0,random
GRAB_s6_spherelarge_pick_all,1.0,7.447,0.04029,8,10.0,random
KIT_572_throw_left04_poses_100_jpos,1.0,2.442,0.03572,8,10.0,random
GRAB_s5_spherelarge_pick_all,1.0,6.655,0.03543,8,10.0,random
GRAB_s8_toruslarge_inspect_1,1.0,3.783,0.03974,8,10.0,random
GRAB_s9_stapler_pass_1,1.0,1.998,0.03979,8,10.0,random
GRAB_s1_toothpaste_pick_all,1.0,7.765,0.04373,8,10.0,random
KIT_3_wave_left01_poses_100_jpos,1.0,1.713,0.03122,8,10.0,random
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,1.0,9.005,0.04172,8,10.0,random
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,1.0,9.518,0.03174,8,10.0,random
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,0.75,4.688,0.1252,8,10.0,random
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,1.0,3.643,0.03344,8,10.0,random
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,1.0,2.823,0.02934,8,10.0,random
KIT_969_Trial_30_poses_100_jpos,1.0,4.748,0.03455,8,10.0,random
KIT_572_wipe_circular_left07_poses_100_jpos,1.0,2.895,0.02496,8,10.0,random
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,1.0,1.68,0.0284,8,10.0,random
KIT_291_shake_hand05_poses_100_jpos,1.0,2.127,0.03358,8,10.0,random
