clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.0,2.172,0.10378,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.125,1.333,0.11254,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.5,5.668,0.10218,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,2.112,0.07073,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,6.593,0.07598,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.125,0.182,0.44948,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.875,6.595,0.08161,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.155,0.13765,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.25,6.402,0.09011,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.75,0.74,0.13235,8,10.0,random
CMU_35_35_20_poses_120_jpos,0.125,0.352,0.22694,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.125,1.94,0.1151,8,10.0,random
CMU_16_16_35_poses_120_jpos,0.25,0.38,0.16189,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.5,1.323,0.08658,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.375,1.617,0.13635,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.125,2.257,0.1086,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.5,3.865,0.11449,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.83,0.06892,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.625,0.605,0.10194,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.25,1.15,0.13128,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.25,4.607,0.12019,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.125,3.6,0.11865,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,5.718,0.07052,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.0,1.867,0.09698,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.875,5.1,0.07534,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,0.875,1.343,0.06939,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,4.475,0.06963,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.875,2.635,0.07028,8,10.0,random
CMU_35_35_18_poses_120_jpos,0.625,0.557,0.11982,8,10.0,random
CMU_35_35_26_poses_120_jpos,0.125,0.29,0.22259,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.625,0.305,0.08449,8,10.0,random
CMU_108_108_18_poses_120_jpos,0.75,0.975,0.11337,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.625,4.29,0.09505,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,2.325,0.09455,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,2.22,0.08351,8,10.0,random
CMU_91_91_04_poses_120_jpos,0.875,5.018,0.08047,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.375,2.683,0.08377,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,1.203,0.07687,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.0,0.238,0.20807,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.375,1.315,0.0943,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.375,0.155,0.06689,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.625,7.333,0.09164,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,1.505,0.07506,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,4.725,0.06464,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,0.375,1.252,0.17889,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.125,0.647,0.18625,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.125,0.787,0.10708,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,5.112,0.0505,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.875,6.737,0.07493,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.5,0.71,0.09708,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.75,9.433,0.0795,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,0.625,0.795,0.07135,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,2.152,0.05202,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,1.0,8.295,0.07015,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.5,6.96,0.07018,8,10.0,random
CMU_139_139_11_poses_60_jpos,0.875,1.748,0.08772,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,1.0,3.825,0.06117,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,1.0,2.39,0.04942,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,3.243,0.06222,8,10.0,random
CMU_144_144_04_poses_120_jpos,1.0,9.125,0.06782,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,9.12,0.06909,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.96,0.06106,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,2.6,0.04986,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,1.0,3.643,0.0693,8,10.0,random
CMU_122_122_15_poses_120_jpos,0.5,1.215,0.09085,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.625,2.203,0.05329,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,5.86,0.04214,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.0,0.603,0.1707,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,0.875,1.94,0.06917,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.575,0.0489,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,4.34,0.04901,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.375,0.93,0.09658,8,10.0,random
GRAB_s3_waterbottle_pick_all,1.0,6.14,0.05647,8,10.0,random
