clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.0,0.573,0.17617,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.375,0.385,0.1085,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.0,0.672,0.16079,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,0.0,0.29,0.09347,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.0,0.843,0.15323,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.125,0.133,0.38907,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.0,0.535,0.19971,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.205,0.10363,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.0,0.32,0.24826,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.125,0.283,0.24985,8,10.0,random
CMU_35_35_20_poses_120_jpos,0.0,0.203,0.27869,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.125,0.283,0.14292,8,10.0,random
CMU_16_16_35_poses_120_jpos,0.0,0.212,0.23778,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.125,0.575,0.1941,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.0,0.168,0.17557,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,0.463,0.1289,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.0,0.398,0.16303,8,10.0,random
CMU_138_138_25_poses_120_jpos,0.0,0.6,0.18596,8,10.0,random
