clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.5,5.025,0.067,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.0,1.23,0.11561,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.125,5.58,0.09663,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,2.192,0.06804,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,9.47,0.07397,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.75,0.7,0.11508,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.875,7.42,0.08119,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.203,0.18102,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.25,5.85,0.10033,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.75,0.63,0.1097,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.618,0.09799,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.5,1.958,0.10635,8,10.0,random
CMU_16_16_35_poses_120_jpos,0.875,0.708,0.09671,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.375,1.14,0.12476,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.75,1.66,0.11052,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.25,2.312,0.08089,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.25,5.027,0.09648,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.522,0.0667,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.375,0.85,0.15459,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.25,1.107,0.11674,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.375,5.225,0.11317,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.375,5.01,0.08122,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,2.458,0.06709,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.375,1.885,0.08649,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.75,2.835,0.07895,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,1.818,0.06938,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.875,3.695,0.07377,8,10.0,random
