clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.625,7.14,0.05786,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.375,1.46,0.08928,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.5,6.248,0.06902,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.6,0.05771,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,8.098,0.06553,8,10.0,random
CMU_35_35_24_poses_120_jpos,1.0,0.547,0.08621,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.875,8.168,0.08544,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.0,0.185,0.08995,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.875,8.162,0.08641,8,10.0,random
CMU_127_127_13_poses_120_jpos,1.0,0.797,0.1035,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.568,0.08488,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.75,2.178,0.08677,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.92,0.09082,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.0,1.62,0.12102,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.5,1.538,0.11926,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.25,2.765,0.08278,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.25,4.782,0.09627,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.738,0.06367,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.625,0.693,0.09576,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.375,1.335,0.12176,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.75,6.07,0.07834,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.125,3.502,0.07686,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,3.065,0.06075,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.375,1.963,0.07751,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,3.44,0.05291,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,1.953,0.06014,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,4.06,0.05647,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,4.425,0.06843,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.925,0.0767,8,10.0,random
CMU_35_35_26_poses_120_jpos,1.0,0.655,0.0952,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.375,0.253,0.07738,8,10.0,random
CMU_108_108_18_poses_120_jpos,1.0,1.365,0.0901,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.875,7.765,0.08885,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,2.047,0.07827,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,4.18,0.06116,8,10.0,random
CMU_91_91_04_poses_120_jpos,1.0,8.12,0.06973,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.25,5.09,0.07555,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,2.348,0.0768,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.25,0.445,0.11506,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.625,3.712,0.06656,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.25,0.3,0.09582,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.875,7.075,0.08221,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,0.5,1.343,0.08385,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,3.812,0.05486,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,0.75,0.968,0.09958,8,10.0,random
