clip,frames,fps,infeasible_frac,severe_frac,n_bins,n_elig_g0,elig_frac_g0,soft_frac_g0,n_elig_g1,elig_frac_g1,soft_frac_g1
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,314,50.0,0.20382165605095542,0.20382165605095542,7,5,0.714286,0.817143,3,0.428571,0.531429
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,115,50.0,0.1565217391304348,0.1565217391304348,3,2,0.666667,0.706667,0,0.0,0.0
ACCAD_Male2MartialArtsStances_c3d_D15_-_switch_stance_poses_120_jpos,153,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
ACCAD_Male2MartialArtsStances_c3d_D16_-_switch_stance_and_bounce_poses_120_jpos,245,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
ACCAD_Male2MartialArtsStances_c3d_D5_-_ready_to_walk_away_poses_120_jpos,223,50.0,0.013452914798206279,0.013452914798206279,5,4,0.8,0.973913,3,0.6,0.68
ACCAD_MartialArtsWalksTurns_c3d_E16_-_block_right_middle_poses_120_jpos,125,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
ACCAD_MartialArtsWalksTurns_c3d_E17_-_block_middle_high_poses_120_jpos,127,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
ACCAD_MartialArtsWalksTurns_c3d_E1_-_Turn_around_right_poses_120_jpos,718,50.0,0.0,0.0,15,15,1.0,1.0,15,1.0,1.0
ACCAD_MartialArtsWalksTurns_c3d_E2_-_Turn_around_left_poses_120_jpos,654,50.0,0.0,0.0,14,14,1.0,1.0,14,1.0,1.0
ACCAD_MartialArtsWalksTurns_c3d_E3_-_advance_poses_120_jpos,318,50.0,0.0031446540880503146,0.0031446540880503146,7,6,0.857143,0.997143,4,0.571429,0.711429
BMLhandball_S02_Novice_Trial_upper_left_012_poses_120_jpos,338,50.0,0.0,0.0,7,7,1.0,1.0,7,1.0,1.0
BMLhandball_S05_Novice_Trial_upper_left_061_poses_120_jpos,265,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLhandball_S05_Novice_Trial_upper_left_right_007_poses_120_jpos,347,50.0,0.069164265129683,0.069164265129683,7,5,0.714286,0.768571,3,0.428571,0.442857
BMLhandball_S05_Novice_Trial_upper_left_right_013_poses_120_jpos,345,50.0,0.008695652173913044,0.008695652173913044,7,6,0.857143,0.991429,4,0.571429,0.705714
