clip,frames,fps,infeasible_frac,severe_frac,n_bins,n_elig_g0,elig_frac_g0,soft_frac_g0,n_elig_g1,elig_frac_g1,soft_frac_g1
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,148,50.0,0.2905405405405405,0.2905405405405405,3,0,0.0,0.0,0,0.0,0.0
ACCAD_Male2Running_c3d_C18_-_run_to_hop_to_walk_poses_120_jpos,226,50.0,0.05309734513274336,0.05309734513274336,5,2,0.4,0.612308,0,0.0,0.0
ACCAD_Male2Running_c3d_C24_-_quick_sidestep_left_poses_120_jpos,100,50.0,0.03,0.03,2,1,0.5,0.84,0,0.0,0.0
ACCAD_Male2Running_c3d_C4_-_run_to_walk_a_poses_120_jpos,193,50.0,0.10880829015544041,0.10880829015544041,4,1,0.25,0.525,0,0.0,0.0
ACCAD_Male2Running_c3d_C4_-_run_to_walk_poses_120_jpos,193,50.0,0.10880829015544041,0.10880829015544041,4,1,0.25,0.525,0,0.0,0.0
ACCAD_Male2Running_c3d_C5_-_walk_to_run_poses_120_jpos,178,50.0,0.15168539325842698,0.15168539325842698,4,1,0.25,0.48,0,0.0,0.0
ACCAD_Male2Walking_c3d_B20_-__Walk_with_box_poses_120_jpos,322,50.0,0.19254658385093168,0.19254658385093168,7,1,0.142857,0.425714,0,0.0,0.0
ACCAD_Male2Walking_c3d_B27_-__skip_to_walk_a_poses_120_jpos,228,50.0,0.05263157894736842,0.05263157894736842,5,2,0.4,0.820857,0,0.0,0.0
ACCAD_MartialArtsWalksTurns_c3d_E7_-_super_fast_advance_poses_120_jpos,212,50.0,0.2688679245283019,0.2688679245283019,5,2,0.4,0.476,0,0.0,0.0
ACCAD_s011_walkdog_poses_120_jpos,815,50.0,0.06257668711656442,0.06257668711656442,17,11,0.647059,0.805882,6,0.352941,0.511765
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,666,50.0,0.012012012012012012,0.012012012012012012,14,13,0.928571,0.944286,11,0.785714,0.801429
BMLmovi_Subject_32_F_MoSh_Subject_32_F_4_poses_120_jpos,369,50.0,0.23577235772357724,0.24661246612466126,8,2,0.25,0.3575,1,0.125,0.2325
BMLmovi_Subject_34_F_MoSh_Subject_34_F_9_poses_120_jpos,349,50.0,0.025787965616045846,0.025787965616045846,7,4,0.571429,0.794286,2,0.285714,0.34
BMLmovi_Subject_3_F_MoSh_Subject_3_F_10_poses_120_jpos,164,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_3_F_MoSh_Subject_3_F_18_poses_120_jpos,224,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_3_F_MoSh_Subject_3_F_20_poses_120_jpos,149,50.0,0.08053691275167785,0.08053691275167785,3,1,0.333333,0.56,0,0.0,0.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_5_poses_120_jpos,167,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_47_F_MoSh_Subject_47_F_10_poses_120_jpos,397,50.0,0.005037783375314861,0.005037783375314861,8,7,0.875,0.995,5,0.625,0.745
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,300,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLmovi_Subject_58_F_MoSh_Subject_58_F_1_poses_120_jpos,272,50.0,0.011029411764705883,0.014705882352941176,6,5,0.833333,0.963333,3,0.5,0.616667
BMLmovi_Subject_5_F_MoSh_Subject_5_F_12_poses_120_jpos,230,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_5_F_MoSh_Subject_5_F_6_poses_120_jpos,175,50.0,0.0,0.005714285714285714,4,3,0.75,0.905,2,0.5,0.655
