clip,policy,frames,fps,n_bins,n_bins_eligible,bin_eligible_frac,bin_score_mean,infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,screened,314,50.0,7,5,0.7142857142857143,0.8171428571428573,0.20382165605095542,0.20382165605095542,0.20382165605095542,0.7961783439490446,1,torque_limited,0.06
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,screened,115,50.0,3,2,0.6666666666666666,0.7066666666666667,0.1565217391304348,0.1565217391304348,0.1565217391304348,0.6173913043478261,1,torque_limited,0.06
ACCAD_Male2MartialArtsStances_c3d_D15_-_switch_stance_poses_120_jpos,assumed_eligible,153,50.0,4,4,1.0,1.0,0.0,,,,,assumed,
ACCAD_Male2MartialArtsStances_c3d_D16_-_switch_stance_and_bounce_poses_120_jpos,assumed_eligible,245,50.0,5,5,1.0,1.0,0.0,,,,,assumed,
ACCAD_Male2MartialArtsStances_c3d_D5_-_ready_to_walk_away_poses_120_jpos,assumed_eligible,223,50.0,5,5,1.0,1.0,0.013452914798206279,,,,,assumed,
ACCAD_MartialArtsWalksTurns_c3d_E16_-_block_right_middle_poses_120_jpos,assumed_eligible,125,50.0,3,3,1.0,1.0,0.0,,,,,assumed,
ACCAD_MartialArtsWalksTurns_c3d_E17_-_block_middle_high_poses_120_jpos,assumed_eligible,127,50.0,3,3,1.0,1.0,0.0,,,,,assumed,
ACCAD_MartialArtsWalksTurns_c3d_E1_-_Turn_around_right_poses_120_jpos,assumed_eligible,718,50.0,15,15,1.0,1.0,0.0,,,,,assumed,
ACCAD_MartialArtsWalksTurns_c3d_E2_-_Turn_around_left_poses_120_jpos,assumed_eligible,654,50.0,14,14,1.0,1.0,0.0,,,,,assumed,
ACCAD_MartialArtsWalksTurns_c3d_E3_-_advance_poses_120_jpos,assumed_eligible,318,50.0,7,7,1.0,1.0,0.0031446540880503146,,,,,assumed,
BMLhandball_S02_Novice_Trial_upper_left_012_poses_120_jpos,assumed_eligible,338,50.0,7,7,1.0,1.0,0.0,,,,,assumed,
BMLhandball_S05_Novice_Trial_upper_left_061_poses_120_jpos,assumed_eligible,265,50.0,6,6,1.0,1.0,0.0,,,,,assumed,
BMLhandball_S05_Novice_Trial_upper_left_right_007_poses_120_jpos,assumed_eligible,347,50.0,7,7,1.0,1.0,0.069164265129683,,,,,assumed,
BMLhandball_S05_Novice_Trial_upper_left_right_013_poses_120_jpos,assumed_eligible,345,50.0,7,7,1.0,1.0,0.008695652173913044,,,,,assumed,
BMLhandball_S06_Novice_Trial_upper_left_right_123_poses_120_jpos,assumed_eligible,543,50.0,11,11,1.0,1.0,0.06445672191528545,,,,,assumed,
BMLhandball_S06_Novice_Trial_upper_right_217_poses_120_jpos,assumed_eligible,411,50.0,9,9,1.0,1.0,0.0267639902676399,,,,,assumed,
BMLhandball_S07_Expert_Trial_upper_left_082_poses_120_jpos,assumed_eligible,441,50.0,9,9,1.0,1.0,0.022675736961451247,,,,,assumed,
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,assumed_eligible,666,50.0,14,14,1.0,1.0,0.012012012012012012,,,,,assumed,
BMLhandball_S07_Expert_Trial_upper_right_210_poses_120_jpos,screened,582,50.0,12,8,0.6666666666666666,0.6983333333333333,0.19072164948453607,0.19072164948453607,0.19072164948453607,0.6890034364261168,4,torque_limited,0.06
