clip,policy,frames,fps,n_bins,n_bins_eligible,bin_eligible_frac,bin_score_mean,infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,screened,148,50.0,3,0,0.0,0.0,0.2905405405405405,0.2905405405405405,0.2905405405405405,0.0,2,torque_limited,0.06
ACCAD_Male2Running_c3d_C18_-_run_to_hop_to_walk_poses_120_jpos,assumed_eligible,226,50.0,5,5,1.0,1.0,0.05309734513274336,,,,,assumed,
ACCAD_Male2Running_c3d_C24_-_quick_sidestep_left_poses_120_jpos,assumed_eligible,100,50.0,2,2,1.0,1.0,0.03,,,,,assumed,
ACCAD_Male2Running_c3d_C4_-_run_to_walk_a_poses_120_jpos,screened,193,50.0,4,1,0.25,0.5249999999999999,0.10880829015544041,0.10880829015544041,0.10880829015544041,0.5440414507772021,7,torque_limited,0.06
ACCAD_Male2Running_c3d_C4_-_run_to_walk_poses_120_jpos,screened,193,50.0,4,1,0.25,0.5249999999999999,0.10880829015544041,0.10880829015544041,0.10880829015544041,0.5440414507772021,7,torque_limited,0.06
ACCAD_Male2Running_c3d_C5_-_walk_to_run_poses_120_jpos,screened,178,50.0,4,1,0.25,0.48,0.15168539325842698,0.15168539325842698,0.15168539325842698,0.5393258426966292,6,torque_limited,0.06
ACCAD_Male2Walking_c3d_B20_-__Walk_with_box_poses_120_jpos,screened,322,50.0,7,1,0.14285714285714285,0.4257142857142857,0.19254658385093168,0.19254658385093168,0.19254658385093168,0.46273291925465837,6,torque_limited,0.06
ACCAD_Male2Walking_c3d_B27_-__skip_to_walk_a_poses_120_jpos,assumed_eligible,228,50.0,5,5,1.0,1.0,0.05263157894736842,,,,,assumed,
ACCAD_MartialArtsWalksTurns_c3d_E7_-_super_fast_advance_poses_120_jpos,screened,212,50.0,5,2,0.4,0.476,0.2688679245283019,0.2688679245283019,0.2688679245283019,0.38207547169811323,7,torque_limited,0.06
ACCAD_s011_walkdog_poses_120_jpos,assumed_eligible,815,50.0,17,17,1.0,1.0,0.06257668711656442,,,,,assumed,
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,assumed_eligible,666,50.0,14,14,1.0,1.0,0.012012012012012012,,,,,assumed,
BMLmovi_Subject_32_F_MoSh_Subject_32_F_4_poses_120_jpos,screened,369,50.0,8,2,0.25,0.3575,0.23577235772357724,0.24661246612466126,0.24661246612466126,0.3035230352303523,9,torque_limited,0.06
BMLmovi_Subject_34_F_MoSh_Subject_34_F_9_poses_120_jpos,assumed_eligible,349,50.0,7,7,1.0,1.0,0.025787965616045846,,,,,assumed,
BMLmovi_Subject_3_F_MoSh_Subject_3_F_10_poses_120_jpos,assumed_eligible,164,50.0,4,4,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_3_F_MoSh_Subject_3_F_18_poses_120_jpos,assumed_eligible,224,50.0,5,5,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_3_F_MoSh_Subject_3_F_20_poses_120_jpos,assumed_eligible,149,50.0,3,3,1.0,1.0,0.08053691275167785,,,,,assumed,
BMLmovi_Subject_45_F_MoSh_Subject_45_F_5_poses_120_jpos,assumed_eligible,167,50.0,4,4,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_47_F_MoSh_Subject_47_F_10_poses_120_jpos,assumed_eligible,397,50.0,8,8,1.0,1.0,0.005037783375314861,,,,,assumed,
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,assumed_eligible,300,50.0,6,6,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_58_F_MoSh_Subject_58_F_1_poses_120_jpos,assumed_eligible,272,50.0,6,6,1.0,1.0,0.011029411764705883,,,,,assumed,
BMLmovi_Subject_5_F_MoSh_Subject_5_F_12_poses_120_jpos,assumed_eligible,230,50.0,5,5,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_5_F_MoSh_Subject_5_F_6_poses_120_jpos,assumed_eligible,175,50.0,4,4,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,screened,499,50.0,10,7,0.7,0.7979999999999999,0.13026052104208416,0.13026052104208416,0.13026052104208416,0.7975951903807615,2,torque_limited,0.06
BMLmovi_Subject_6_F_MoSh_Subject_6_F_13_poses_120_jpos,assumed_eligible,149,50.0,3,3,1.0,1.0,0.006711409395973154,,,,,assumed,
BMLmovi_Subject_6_F_MoSh_Subject_6_F_19_poses_120_jpos,assumed_eligible,345,50.0,7,7,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_76_F_MoSh_Subject_76_F_7_poses_120_jpos,assumed_eligible,204,50.0,5,5,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_81_F_MoSh_Subject_81_F_20_poses_120_jpos,assumed_eligible,322,50.0,7,7,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_8_F_MoSh_Subject_8_F_15_poses_120_jpos,assumed_eligible,197,50.0,4,4,1.0,1.0,0.0,,,,,assumed,
BMLmovi_Subject_8_F_MoSh_Subject_8_F_8_poses_120_jpos,assumed_eligible,220,50.0,5,5,1.0,1.0,0.0,,,,,assumed,
CMU_108_108_15_poses_120_jpos,assumed_eligible,148,50.0,3,3,1.0,1.0,0.07432432432432433,,,,,assumed,
CMU_108_108_24_poses_120_jpos,screened,221,50.0,5,0,0.0,0.0,0.28054298642533937,0.28054298642533937,0.28054298642533937,0.0,6,torque_limited,0.06
CMU_118_118_19_poses_120_jpos,assumed_eligible,255,50.0,6,6,1.0,1.0,0.03137254901960784,,,,,assumed,
CMU_127_127_10_poses_120_jpos,screened,70,50.0,2,0,0.0,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.0,5,torque_limited,0.06
CMU_127_127_15_poses_120_jpos,screened,68,50.0,2,0,0.0,0.0,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.0,3,torque_limited,0.06
CMU_127_127_16_poses_120_jpos,screened,108,50.0,3,0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,4,torque_limited,0.06
CMU_131_131_01_poses_120_jpos,screened,414,50.0,9,3,0.3333333333333333,0.6177777777777779,0.2584541062801932,0.2584541062801932,0.2584541062801932,0.5845410628019324,7,torque_limited,0.06
CMU_135_135_02_poses_120_jpos,screened,2168,50.0,44,11,0.25,0.5181818181818182,0.2878228782287823,0.29289667896678967,0.29289667896678967,0.511070110701107,57,torque_limited,0.06
CMU_18_19_Justin_18_04_poses_120_jpos,screened,169,50.0,4,0,0.0,0.0,0.24260355029585798,0.24260355029585798,0.24260355029585798,0.0,12,torque_limited,0.06
CMU_18_19_Justin_18_11_poses_120_jpos,assumed_eligible,796,50.0,16,16,1.0,1.0,0.007537688442211055,,,,,assumed,
CMU_20_21_Justin1_20_09_poses_120_jpos,assumed_eligible,272,50.0,6,6,1.0,1.0,0.01838235294117647,,,,,assumed,
CMU_30_30_02_poses_120_jpos,assumed_eligible,993,50.0,20,20,1.0,1.0,0.005035246727089627,,,,,assumed,
CMU_35_35_03_poses_120_jpos,assumed_eligible,178,50.0,4,4,1.0,1.0,0.0,,,,,assumed,
CMU_35_35_21_poses_120_jpos,screened,67,50.0,2,0,0.0,0.0,0.14925373134328357,0.14925373134328357,0.14925373134328357,0.0,4,torque_limited,0.06
CMU_35_35_25_poses_120_jpos,screened,69,50.0,2,0,0.0,0.0,0.15942028985507245,0.15942028985507245,0.15942028985507245,0.0,4,torque_limited,0.06
CMU_54_54_24_poses_120_jpos,assumed_eligible,1120,50.0,23,23,1.0,1.0,0.05803571428571429,,,,,assumed,
CMU_55_55_15_poses_120_jpos,assumed_eligible,4039,50.0,81,81,1.0,1.0,0.04134686803664273,,,,,assumed,
CMU_64_64_09_poses_120_jpos,assumed_eligible,188,50.0,4,4,1.0,1.0,0.06382978723404255,,,,,assumed,
CMU_74_74_10_poses_60_jpos,assumed_eligible,279,50.0,6,6,1.0,1.0,0.0,,,,,assumed,
CMU_75_75_11_poses_60_jpos,assumed_eligible,146,50.0,3,3,1.0,1.0,0.0821917808219178,,,,,assumed,
CMU_75_75_12_poses_60_jpos,assumed_eligible,385,50.0,8,8,1.0,1.0,0.05974025974025974,,,,,assumed,
CMU_76_76_02_poses_120_jpos,assumed_eligible,485,50.0,10,10,1.0,1.0,0.0,,,,,assumed,
CMU_78_78_35_poses_120_jpos,screened,92,50.0,2,1,0.5,0.6785714285714286,0.20652173913043478,0.20652173913043478,0.20652173913043478,0.7065217391304348,2,torque_limited,0.06
CMU_79_79_55_poses_60_jpos,assumed_eligible,533,50.0,11,11,1.0,1.0,0.0,,,,,assumed,
CMU_91_91_43_poses_120_jpos,assumed_eligible,95,50.0,2,2,1.0,1.0,0.010526315789473684,,,,,assumed,
