clip,policy,frames,fps,n_bins,n_bins_eligible,bin_eligible_frac,bin_score_mean,infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,screened,148,50.0,3,0,0.0,0.0,0.2905405405405405,0.2905405405405405,1.0,0.0,2,torque_limited,0.06
ACCAD_Male2Running_c3d_C18_-_run_to_hop_to_walk_poses_120_jpos,screened,226,50.0,5,0,0.0,0.0,0.05309734513274336,0.05309734513274336,0.8141592920353983,0.0,5,torque_limited,0.06
ACCAD_Male2Running_c3d_C24_-_quick_sidestep_left_poses_120_jpos,screened,100,50.0,2,0,0.0,0.0,0.03,0.03,0.66,0.0,2,torque_limited,0.06
ACCAD_Male2Running_c3d_C4_-_run_to_walk_a_poses_120_jpos,screened,193,50.0,4,0,0.0,0.0,0.10880829015544041,0.10880829015544041,0.9740932642487047,0.0,7,torque_limited,0.06
ACCAD_Male2Running_c3d_C4_-_run_to_walk_poses_120_jpos,screened,193,50.0,4,0,0.0,0.0,0.10880829015544041,0.10880829015544041,0.9740932642487047,0.0,7,torque_limited,0.06
ACCAD_Male2Running_c3d_C5_-_walk_to_run_poses_120_jpos,screened,178,50.0,4,0,0.0,0.0,0.15168539325842698,0.15168539325842698,0.7415730337078652,0.0,6,torque_limited,0.06
ACCAD_Male2Walking_c3d_B20_-__Walk_with_box_poses_120_jpos,screened,322,50.0,7,0,0.0,0.0,0.19254658385093168,0.19254658385093168,1.0,0.0,6,torque_limited,0.06
ACCAD_Male2Walking_c3d_B27_-__skip_to_walk_a_poses_120_jpos,screened,228,50.0,5,0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.8289473684210527,0.0,5,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E7_-_super_fast_advance_poses_120_jpos,screened,212,50.0,5,0,0.0,0.0,0.2688679245283019,0.2688679245283019,0.8537735849056604,0.0,7,torque_limited,0.06
ACCAD_s011_walkdog_poses_120_jpos,screened,815,50.0,17,6,0.35294117647058826,0.511764705882353,0.06257668711656442,0.06257668711656442,0.4662576687116564,0.5337423312883436,11,torque_limited,0.06
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,screened,666,50.0,14,11,0.7857142857142857,0.8014285714285715,0.012012012012012012,0.012012012012012012,0.2087087087087087,0.7912912912912913,3,torque_limited,0.06
BMLmovi_Subject_32_F_MoSh_Subject_32_F_4_poses_120_jpos,screened,369,50.0,8,1,0.125,0.23249999999999998,0.23577235772357724,0.24661246612466126,0.8319783197831978,0.16802168021680217,9,torque_limited,0.06
