clip,frames,fps,gap,airborne_frac,infeasible_frac,unsupported_impulse_Ns,unsupported_impulse_per_weight_s,torque_infeasible_frac,max_tau_ratio_p95,sim_infeasible_frac
ACCAD_Female1General_c3d_A10_-_lie_to_crouch_poses_120_jpos,218,50.0,0.06,0.536697247706422,0.536697247706422,786.3180000000001,2.4040790222831028,0.0,3.0829999999999997,0.5504587155963303
ACCAD_Female1General_c3d_A11_-_crawl_forward_poses_120_jpos,1000,50.0,0.06,0.366,0.948,5682.96,17.37501229842631,0.0,3.1304999999999996,0.972
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,1103,50.0,0.06,0.0,0.0,0.0,0.0,0.0,5.4689999999999985,0.0
ACCAD_Female1General_c3d_A14_-_stand_to_skip_poses_120_jpos,258,50.0,0.06,0.3333333333333333,0.1937984496124031,519.462,1.588196756367303,0.0,1.135999999999999,0.1937984496124031
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,213,50.0,0.06,0.24413145539906103,0.15023474178403756,348.14,1.064398971939647,0.0,1.1819999999999982,0.15023474178403756
ACCAD_Female1General_c3d_A1_-_Stand_poses_120_jpos,150,50.0,0.06,0.0,0.0,0.0,0.0,0.0,0.62,0.0
ACCAD_Female1General_c3d_A2_-_Sway_poses_120_jpos,601,50.0,0.06,0.0,0.0,0.43000000000000005,0.0013146767333085776,0.0,0.57,0.0
ACCAD_Female1General_c3d_A2_-_Sway_t2_poses_120_jpos,798,50.0,0.06,0.0,0.0,23.096000000000004,0.07061342751743001,0.0,0.53,0.0
ACCAD_Female1General_c3d_A3_-_Swing_poses_120_jpos,725,50.0,0.06,0.0,0.0,6.464,0.019762954428154983,0.0,0.39,0.0
ACCAD_Female1General_c3d_A3_-_Swing_t2_poses_120_jpos,407,50.0,0.06,0.0,0.0,36.58800000000001,0.11186370306580057,0.0,0.39,0.0
ACCAD_Female1General_c3d_A4_-_look_poses_120_jpos,1064,50.0,0.06,0.0,0.0,0.016,4.891820403008661e-05,0.0,0.55,0.0
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,314,50.0,0.06,0.20382165605095542,0.20382165605095542,456.05400000000003,1.3943339137960695,0.0,0.7734999999999996,0.20382165605095542
ACCAD_Female1General_c3d_A6-_lift_box_t2_poses_120_jpos,354,50.0,0.06,0.0,0.0,12.744,0.03896334950996398,0.0,0.5,0.0
