clip,frames,fps,gap,airborne_frac,infeasible_frac,unsupported_impulse_Ns,unsupported_impulse_per_weight_s,torque_infeasible_frac,max_tau_ratio_p95,sim_infeasible_frac
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,213,50.0,0.06,0.24413145539906103,0.15023474178403756,348.14,1.064398971939647,0.0,1.1819999999999982,0.15023474178403756
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,314,50.0,0.06,0.20382165605095542,0.20382165605095542,456.05400000000003,1.3943339137960695,0.0,0.7734999999999996,0.20382165605095542
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,148,50.0,0.06,0.3108108108108108,0.2905405405405405,365.49800000000005,1.117469108536787,0.0,0.6565000000000001,0.2905405405405405
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,179,50.0,0.06,0.0,0.0,21.524,0.065807213971474,0.0,0.5409999999999999,0.0
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,115,50.0,0.06,0.1565217391304348,0.1565217391304348,124.98800000000001,0.382136780332029,0.0,0.5259999999999999,0.1565217391304348
ACCAD_Male2MartialArtsStances_c3d_D15_-_switch_stance_poses_120_jpos,153,50.0,0.06,0.0,0.0,28.009999999999998,0.08563743093017037,0.0,0.39,0.0
ACCAD_Male2MartialArtsStances_c3d_D16_-_switch_stance_and_bounce_poses_120_jpos,245,50.0,0.06,0.0,0.0,20.608,0.06300664679075155,0.0,0.49,0.0
ACCAD_Male2MartialArtsStances_c3d_D5_-_ready_to_walk_away_poses_120_jpos,223,50.0,0.06,0.0,0.013452914798206279,46.67,0.14268828638025885,0.0,0.73,0.013452914798206279
ACCAD_Male2Running_c3d_C18_-_run_to_hop_to_walk_poses_120_jpos,226,50.0,0.06,0.10619469026548672,0.05309734513274336,203.198,0.6212550764065962,0.0,1.0175,0.05309734513274336
ACCAD_Male2Running_c3d_C24_-_quick_sidestep_left_poses_120_jpos,100,50.0,0.06,0.03,0.03,51.898,0.1586723095470897,0.0,0.5369999999999996,0.03
ACCAD_Male2Running_c3d_C4_-_run_to_walk_a_poses_120_jpos,193,50.0,0.06,0.08290155440414508,0.10880829015544041,248.84599999999998,0.7608187125044332,0.0,0.98,0.10880829015544041
ACCAD_Male2Running_c3d_C4_-_run_to_walk_poses_120_jpos,193,50.0,0.06,0.08290155440414508,0.10880829015544041,248.84599999999998,0.7608187125044332,0.0,0.98,0.10880829015544041
