source,severity_quantile,clip,screen_infeasible_frac,screen_airborne_frac,source_flagged_count,frames,fps,duration_s,clearance_m_p50,clearance_m_p90,clearance_m_max,geometry_airborne_frac,longest_airborne_start_s,longest_airborne_stop_s,longest_airborne_duration_s,representative_frame,representative_time_s,representative_clearance_m,root_z_m_p50,root_z_m_min,root_z_m_max,root_xy_path_m,verdict,verdict_note,motion_sha256
CNRS,0.0,CNRS_283_03_L_2,0.3583061889250814,0.3322475570032573,79,307,50.0,6.14,0.050635040297833375,0.09932243192632807,0.13218764826022303,0.3322475570032573,4.8,6.12,1.34,273,5.46,0.10764869271713005,0.8158382177352905,0.7540954351425171,0.8899001479148865,6.61472066044497,ingest,Ordinary fast walk; clearance rises late and the longest 1.34 s window floats without any scene object.,a1c391b9a66533d6ff4bc008933999d6f76e42fe7ae346831478fb5c23960fa6
CNRS,0.25,CNRS_283_-01_L_2,0.569672131147541,0.5245901639344263,79,244,50.0,4.88,0.061130352084771744,0.1065797027385644,0.13447109973144022,0.5245901639344263,3.28,4.86,1.6,203,4.06,0.08922342136266442,0.8124683499336243,0.7496453523635864,0.8881467580795288,6.942052195838727,ingest,Ordinary fast walk; median clearance is already above the 6 cm contact gap and the final 1.60 s floats.,d2cb55f2c657ca079103ea96f37c7fa89c80289e4616f9e5b632306a9c14f332
CNRS,0.5,CNRS_283_SW_B_3,0.6470588235294118,0.6176470588235294,79,272,50.0,5.44,0.073906953902412,0.12345656969513512,0.14456404932831618,0.6176470588235294,2.92,5.42,2.52,208,4.16,0.10776350057614188,0.8308762311935425,0.7638483643531799,0.9028053283691406,7.026252507514819,ingest,"Ordinary walking stride; whole-reference clearance drifts upward, with 61.8% geometry-airborne frames.",1afddc46570bb725caec3fd3a64738118b068ab1248c8112e47902b927418d6c
CNRS,0.75,CNRS_288_03_L_2,0.7147540983606557,0.6950819672131148,79,305,50.0,6.1,0.08396070005331932,0.1422228882931467,0.190073017048523,0.6950819672131148,2.96,6.08,3.14,226,4.52,0.1084472842368998,0.843529462814331,0.7512591481208801,0.9414938688278198,8.843520276609445,ingest,Ordinary fast walk; median clearance 8.4 cm and a continuous 3.14 s floating tail indicate root-height drift.,d0e25ee840bc1ac945f32b17e8692be3a8fb0e8c84dcff936fd6e610f0447e49
CNRS,1.0,CNRS_288_03_R_2,0.801829268292683,0.7713414634146342,79,328,50.0,6.56,0.09723106270524544,0.1610553632313932,0.19978558710867045,0.7713414634146342,2.8,6.54,3.76,233,4.66,0.12737701542072505,0.8573125004768372,0.7626950144767761,0.953091025352478,9.376662409104904,ingest,"Ordinary fast walk; median clearance 9.7 cm and a continuous 3.76 s floating tail, with no scene dependency.",cc1a3e5fdcccd2cd6c9f0adbcc7bfb423d9e6e98f8d76580de03be6bfd04c494
Transitions,0.0,Transitions_mocap_mazen_c3d_walksideways_running_poses_120_jpos,0.10109289617486339,0.10382513661202186,95,366,50.0,7.32,0.028276696957625934,0.06019653064907796,0.07551838594299894,0.10382513661202186,3.4,3.6,0.22,175,3.5,0.07502883283028738,0.7537054717540741,0.6322798728942871,0.7834579944610596,6.166214191050104,ingest,"Ordinary sideways running; only short clearance spikes cross 6 cm, with no object or terrain requirement.",aff4c8c5b88bf592489d427a147c4c786e679595454ad5e4ff8f472f51df10ef
Transitions,0.25,Transitions_mocap_mazen_c3d_airkick_walkbackwards_poses_120_jpos,0.17307692307692307,0.16923076923076924,95,520,50.0,10.4,0.036506479572206374,0.072155121491371,0.1356864473500265,0.16923076923076924,2.46,3.44,1.0,147,2.94,0.12872676883241738,0.787142813205719,0.682154655456543,0.8138561248779297,5.340851136774994,content,The named air-kick is visible in the inspected pose and accounts for the concentrated elevated window.,5a2dc7094ed98375f63676c3132010e2e57984d19ecf3836b7e6970f6d4af159
Transitions,0.5,Transitions_mocap_mazen_c3d_walksideways_runbackwards_poses_120_jpos,0.2630057803468208,0.2658959537572254,95,346,50.0,6.92,0.03877563069320958,0.07712866866640392,0.10733083861822774,0.2658959537572254,1.32,1.76,0.46,77,1.54,0.07988949377844239,0.779035747051239,0.6591626405715942,0.8068870306015015,5.89063198727538,ingest,Ordinary sideways/backward locomotion shows repeated floating spikes; no missing scene support is implied.,8fa25193f7c84363422f15e5525d02a8f2c844aad03656016c30ddcf1a85165d
Transitions,0.75,Transitions_mocap_mazen_c3d_turntwist_jumpingtwist3602_poses_120_jpos,0.3401360544217687,0.3707482993197279,95,294,50.0,5.88,0.04765926324011635,0.08572827485253161,0.20430146190397525,0.3707482993197279,1.5,2.42,0.94,98,1.96,0.07968226684379737,0.7953091561794281,0.6951079368591309,0.9948136806488037,1.0896175591277242,content,"The named jumping 360-degree twist is visible, including the panel's largest 20.4 cm clearance peak.",d4e188ff9681b591bfabbed03dc0d5961b6ad035ef01755c2c19058803f6b3df
Transitions,1.0,Transitions_mocap_mazen_c3d_punchkarate_stand_poses_120_jpos,1.0,0.8779661016949153,95,295,50.0,5.9,0.08658994359735656,0.12213043038660598,0.13595464969280294,0.8779661016949153,1.98,5.88,3.92,196,3.92,0.08215570630259592,0.8499613404273987,0.5403016805648804,0.871232807636261,1.2800610969849617,ingest,"Standing punch/karate motion, yet 87.8% of frames are geometry-airborne and median clearance is 8.7 cm.",1c5a81b8cd459defb272da067e3ece1a0c94ef14349630df158f4ae0baa2a224
