motion_key,num_frames,fps,airborne_frac,infeasible_frac,unsupported_force_N_p50,unsupported_force_N_p95,unsupported_force_N_max,unsupported_impulse_per_weight_s,max_tau_ratio_p95,torque_infeasible_frac,schema_version,robot_sha256,source_sha256,num_evaluable_frames,num_contact_free_frames,duration_s,body_weight_N,foot_gap_m_p50,foot_gap_m_p05,mean_contacts,max_tau_ratio_max,torque_saturated_frac,mjcf_path,thr_gap_m,thr_mu,thr_unsupported_force_frac
Idle_Right_001__A020,3137,50,0.0,0.0,0.0,0.0,0.0,0.0,0.6293070116854661,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,87406bdd3711c2dc8ace12405740a3bb18831c0c2eb50ffafb90dcccec158875,3137,0,62.74,327.07660302000005,-0.007426895311623496,-0.00834119967368243,12.0,0.6710938215176288,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Jump_002__A018,1965,50,0.09923664122137404,0.0,0.0,26.509563625420057,123.30998058345882,0.5619204593471565,0.9869679258013098,0.013740458015267175,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,e30ca5bcd56f868aafc6c99bf398800c80ae1fca8f9aea642b175b88410ae4ca,1938,195,39.300000000000004,327.07660302000005,-0.005303626292332077,-0.01041883441519403,10.363358778625955,1.4864553132955158,0.04631043256997455,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Jump_Right_002__A018,2474,50,0.021422797089733225,0.0,0.0,43.60852178038887,146.11843592455162,0.8122449451801101,0.8645106592219526,0.0004042037186742118,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,ccb3d6add5be42757d816cdb35f001e4278bc6017ee8b8386b9bd3bf42ef1838,2473,53,49.480000000000004,327.07660302000005,-0.003269215889608593,-0.009157129620224405,10.74858528698464,1.43950340065576,0.02667744543249798,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Loop_Forward_Walk_001__A019_M,215,50,0.0,0.0,0.0,7.646536559890019,13.402519862097499,0.011262252463184868,0.7303220926034085,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,25b7c002471d86458862a4b7095157c9acaf75d6dbcd3709939d6551bf23f7f7,215,0,4.3,327.07660302000005,-0.0040840339381311664,-0.016791413417962593,10.590697674418605,1.0812587508581595,0.009302325581395349,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Neutral_kick_trash_004__A057_M,399,50,0.0,0.0,0.0,15.473025035539226,35.91778157606887,0.04846727084032843,0.81063454371547,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,7247e6e21e26726f39cca6cbdd9b4b30ff4656c934c608774ad51651e8551da8,399,0,7.98,327.07660302000005,-0.009334737122200055,-0.021135344684002043,10.441102756892231,1.274493092102013,0.02756892230576441,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Neutral_throw_ball_001__A057_M,144,50,0.0,0.006944444444444444,0.0,107.92162237208878,170.44975655193875,0.12930205164408284,0.814572832276479,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,628398fb0c668dab0b82383088e9d49a2b6bddfb6d283f82e0a146b500b40ff0,144,0,2.88,327.07660302000005,-0.005381590903483919,-0.009453039938916507,10.180555555555555,0.9738903550973416,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Neutral_throw_ball_003__A057,177,50,0.0,0.02824858757062147,0.0,129.7255408009302,188.87091542025274,0.2192221091822075,0.7911412740822765,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,cca1cf12ddc6d53979627fd92d034bba943618be83db6e1f09433cdb327565c8,177,0,3.54,327.07660302000005,-0.004766550912092274,-0.012184353047286165,9.63276836158192,0.9639852970585394,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Relaxed_throw_ball_003__A057_M,420,50,0.0,0.0,0.0,10.797171302749458,142.64028418973265,0.08318901905304019,0.676047595881985,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,00f8435e91595272c720d29f6c22c983450a43b9ec64aa2834dfdfad960112aa,420,0,8.4,327.07660302000005,-0.008502219186815325,-0.011126873880586745,10.073809523809524,0.8412240604502528,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Sideway_Jog_Right_002__A019_M,1874,50,0.0,0.0,0.0,22.101687057268652,51.4085800003528,0.36479634807758815,0.7459206445928663,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,03d502f6bc51d6960c997a892aa662581ed88d81b97d206e0c88759c2149eb06,1874,0,37.480000000000004,327.07660302000005,-0.01118864768525038,-0.01617051043808407,10.327641408751335,1.0981915376808185,0.0005336179295624333,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
Sideway_Walk_Left_001__A020,5582,50,0.0,0.0,0.0,1.247005255512691,57.362739975106315,0.22631067693656803,0.9043158873738231,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,235bc834331993b3a7b6188c04e289cc85fc6fb3594e13f1d2f785f283d70880,5582,0,111.64,327.07660302000005,-0.007392691959889708,-0.022443378521098015,10.243998566821928,1.2775421368734339,0.0313507703332139,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
