bank,stratum,clip,native_impl,native_infeasible_frac,native_airborne_frac,source_path,source_sha256,adapted_path,adapted_sha256
BONES-SEED,flagged,burpee_002__A362_M,sonic,0.13636363636363635,0.17721518987341772,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/burpee_002__A362_M.pkl,854553b24c5efcc1221f7a1d5b86ae59672c7e696d848c1869ea0b14c26e9c8f,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/burpee_002__A362_M.npz,d17c30c9d8ca7e9cd9e28ddb0553912704435308222c5aab07b76ba73c7e011b
BONES-SEED,flagged,high_jump_R_003__A367_M,sonic,0.13829787234042554,0.21904761904761905,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/high_jump_R_003__A367_M.pkl,461596e22962cadfbd76f091307266086266acdcb0aa159185ca061ceaf4eb7c,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/high_jump_R_003__A367_M.npz,c0a4006d7043680916f29e46b7c7f84275e65510739aeb23ab5ab83c1f2bede7
BONES-SEED,flagged,jump_off_50cm_R_001__A415_M,sonic,0.3656716417910448,0.4253731343283582,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/jump_off_50cm_R_001__A415_M.pkl,a320c02ce0a9166f57c2f3f3abf98a2be2b9ad8b3a93cb1bac82e7b74f6091fe,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/jump_off_50cm_R_001__A415_M.npz,9bd84d401f4fe90e180c71a450cf48f823e0a1abdc9d305c941b40a59808bddc
BONES-SEED,flagged,jump_off_front_50cm_001__A416_M,sonic,0.3533834586466165,0.49295774647887325,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/jump_off_front_50cm_001__A416_M.pkl,3f730b67057c920ff8ddfbc6ab7b90338448c04a9cc58fdca2b9fcb23e430cdd,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/jump_off_front_50cm_001__A416_M.npz,4bfc25425af216c73cf02af230bb47d855080d9464d6b8a0a2038ae2c7d8cdcd
BONES-SEED,flagged,jump_off_front_50cm_R_002__A416_M,sonic,0.37943262411347517,0.425531914893617,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/jump_off_front_50cm_R_002__A416_M.pkl,955bde653ae3d663548eeb51794bc094ee13a2d0500bb8bb1689d887500776d7,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/jump_off_front_50cm_R_002__A416_M.npz,397df32355b3360dcb2e5506e2116a3679c00bf9c9a4f04eaf9d90825967b086
BONES-SEED,flagged,jump_on_50cm_002__A415,sonic,0.6577181208053692,0.7207792207792207,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/jump_on_50cm_002__A415.pkl,1b805ee8f15ea047d21ce5fd3ba2e1b89d0a60b92d7f9120e66dbbcea80d9262,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/jump_on_50cm_002__A415.npz,cb0a592ffb22a83935075e3598726ee30e45d0fa8c8712f4f437b93ee577be04
BONES-SEED,flagged,kick_back_001__A495_M,sonic,0.4724220623501199,0.0815347721822542,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/kick_back_001__A495_M.pkl,5481cdc7da657907318815ff10cdb69f3f546b0e307dfea5c421fc6c402ba84a,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/kick_back_001__A495_M.npz,2183fc34b8e041e0793fd2aeca625035fa5badf2ca09389355d825462cd0d9f1
BONES-SEED,feasible,door_knob_right_side_open_R_001__A509_M,sonic,0.0,0.0,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/door_knob_right_side_open_R_001__A509_M.pkl,22bf404f2326786856c3359f02f8446d94677c8b98f981f7aa76c29d8dde6f81,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/door_knob_right_side_open_R_001__A509_M.npz,725556bdae4141c3b7d2153b9af13bf1a226b003e4215dc1f89e60b123b429f7
BONES-SEED,feasible,greetings_hat_R_003__A261,sonic,0.0,0.0,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/greetings_hat_R_003__A261.pkl,da2ca7de2582adbb4aae803be01c86b321d8365fa3cd3da68e9a40947f1a8acb,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/greetings_hat_R_003__A261.npz,331d168f0a0f5f85bebedfee393225f39797cd577ff0692fb8ec6384c57bd386
BONES-SEED,feasible,injured_R_leg_idle_right_R_002__A326,sonic,0.0,0.0,/data/robotixx/groot-wbc-sonic-research/datasets/bones_seed_official_headline_scale4950/robot_filtered/injured_R_leg_idle_right_R_002__A326.pkl,7ae7f6d8f3f825f5c727720855d4364a45a7e9e79b1de32cfdb2b859b39a3c46,/data/robotixx/climb/reports/feasibility_xcheck/_adapted/bones_as_npz/injured_R_leg_idle_right_R_002__A326.npz,9cd46706ccb80916dae48fd2252a0e304d777448392ab0ed5d7d42692eb48a3f
