name,frames,duration_s,fps,com_speed_mean,com_speed_p95,com_height_range,com_height_std,angmom_mean,angmom_peak,joint_vel_p95,joint_vel_max,jerk_p95,flight_phase_frac,nonfoot_contact_frac,nonfoot_ground_frac,double_support_frac,foot_clearance_p1,foot_clearance_p50,foot_penetration_max,body_penetration_max,contact_switch_rate,support_margin_mean,support_margin_min,required_mu_p50,required_mu_p95,vert_force_bw_p95,vert_force_bw_max,cop_margin_mean,cop_margin_min
ACCAD_Female1General_c3d_A10_-_lie_to_crouch_poses_120_jpos,218,4.36,50.0,0.1174,0.4966,0.3745,0.1415,0.8075,6.4567,1.9403,9.8658,2303.33,0.5413,0.3578,0.4587,0.0826,0.0,0.07915,0.00055,0.18894,0.9174,-0.5143,-0.6601,0.0568,0.4913,1.2542,1.4234,-0.6042,-0.6591
ACCAD_Female1General_c3d_A11_-_crawl_forward_poses_120_jpos,1000,20.0,50.0,0.1333,0.31,0.1023,0.0289,0.6643,2.5106,1.8113,18.1144,2024.05,0.852,0.096,0.096,0.0,-0.00013,0.12838,0.01804,0.04095,0.4,-0.4926,-0.5,0.0803,0.2305,1.1525,1.4573,-0.366,-0.4452
ACCAD_Female1General_c3d_A12_-_crawl_backwards_poses_120_jpos,1103,22.06,50.0,0.147,0.2768,0.1586,0.0449,0.663,2.1389,1.4668,7.9306,1848.28,0.0,0.835,1.0,0.0553,0.00018,0.04763,0.00444,0.16661,0.3626,-0.5301,-0.7017,0.081,0.2295,1.1203,1.2683,-0.6877,-0.7512
ACCAD_Female1General_c3d_A14_-_stand_to_skip_poses_120_jpos,258,5.16,50.0,0.8743,1.6479,0.2314,0.0542,0.9608,2.7628,3.4396,14.0916,3638.08,0.9457,0.0,0.0,0.0078,-0.0,0.05149,0.00445,0.00445,1.5504,-0.4848,-0.5,0.2135,0.746,1.9883,2.6678,-0.2911,-0.788
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,213,4.26,50.0,0.8663,1.7652,0.2258,0.0549,0.9272,2.829,3.1271,13.1896,2707.26,0.8779,0.0,0.0,0.0,-0.0,0.03924,0.00157,0.00157,1.6432,-0.4745,-0.5,0.1715,0.6695,2.0347,2.4359,-0.2824,-0.6023
ACCAD_Female1General_c3d_A1_-_Stand_poses_120_jpos,150,3.0,50.0,0.0109,0.019,0.0056,0.0007,0.0521,0.9442,0.1525,7.3853,608.91,0.0,0.0,0.0,1.0,0.0,0.0006,4e-05,4e-05,0.0,-0.0335,-0.0392,0.0216,0.052,1.0404,1.2209,-0.0392,-0.2227
ACCAD_Female1General_c3d_A2_-_Sway_poses_120_jpos,601,12.02,50.0,0.0542,0.1381,0.0435,0.0116,0.1561,0.7754,0.4314,8.7346,841.94,0.2579,0.0,0.0,0.0,0.0,0.01379,0.00059,0.00059,0.6656,-0.1953,-0.5,0.0249,0.065,1.0385,1.1483,-0.0898,-0.1878
ACCAD_Female1General_c3d_A2_-_Sway_t2_poses_120_jpos,798,15.96,50.0,0.0598,0.1326,0.0529,0.0134,0.1922,0.5343,0.5493,5.6499,1145.23,0.6353,0.0,0.0,0.0,-0.0,0.02935,0.00049,0.00049,0.7519,-0.3503,-0.5,0.0312,0.0846,1.0388,1.1454,-0.0842,-0.1512
ACCAD_Female1General_c3d_A3_-_Swing_poses_120_jpos,725,14.5,50.0,0.0432,0.1086,0.0426,0.0113,0.2562,0.9625,0.5216,20.5845,988.39,0.1476,0.0,0.0,0.24,0.0,0.01538,0.00054,0.00054,0.8276,-0.1178,-0.5,0.0296,0.0787,1.0373,1.1613,-0.0581,-0.1487
ACCAD_Female1General_c3d_A3_-_Swing_t2_poses_120_jpos,407,8.14,50.0,0.0435,0.132,0.0309,0.0067,0.1597,0.8114,1.1445,13.4326,1185.03,0.0,0.0,0.0,1.0,-0.0,0.0024,0.00018,0.00018,0.0,-0.0433,-0.0702,0.0389,0.1069,1.0866,1.1603,-0.0573,-0.1952
