name,frames,duration_s,fps,com_speed_mean,com_speed_p95,com_height_range,com_height_std,angmom_mean,angmom_peak,joint_vel_p95,joint_vel_max,jerk_p95,flight_phase_frac,nonfoot_contact_frac,nonfoot_ground_frac,double_support_frac,foot_clearance_p1,foot_clearance_p50,foot_penetration_max,body_penetration_max,contact_switch_rate,support_margin_mean,support_margin_min,required_mu_p50,required_mu_p95,vert_force_bw_p95,vert_force_bw_max,cop_margin_mean,cop_margin_min
dance1_subject1,6574,131.48,50.0,0.6037,1.2484,0.4941,0.0443,1.4278,13.4758,4.5163,25.3643,2158.23,0.0254,0.0002,0.0003,0.4331,-0.01021,0.00419,0.0163,0.0163,3.5367,-0.1206,-0.5,0.1224,0.4366,1.5703,2.148,-0.1212,-0.4945
dance1_subject2,6574,131.48,50.0,0.3595,0.8321,0.3908,0.0437,1.476,8.1278,6.2231,30.015,3735.1,0.0132,0.0,0.0,0.4912,-0.01362,0.00104,0.03659,0.03659,3.2552,-0.1004,-0.5,0.1411,0.5104,1.3842,2.1343,-0.132,-0.7598
dance1_subject3,6574,131.48,50.0,0.3684,0.8492,0.2103,0.0335,0.8958,4.023,3.341,15.83,1592.0,0.0094,0.0,0.0,0.6047,-0.01334,0.00381,0.03239,0.03239,2.6012,-0.0865,-0.5,0.0962,0.3471,1.4138,1.9998,-0.091,-0.4401
dance2_subject1,11284,225.68,50.0,0.5026,1.1599,0.4849,0.0489,1.5622,6.1751,4.9474,26.6527,2620.63,0.0499,0.0,0.0,0.4282,-0.00969,0.00419,0.01834,0.01834,3.8196,-0.1257,-0.5124,0.1393,0.59,1.6517,2.2328,-0.1348,-0.8953
dance2_subject2,11284,225.68,50.0,0.4279,0.8537,0.3333,0.0465,1.253,5.7796,4.9945,26.447,2646.62,0.0311,0.0,0.0017,0.4773,-0.01583,0.00137,0.04331,0.04331,3.3011,-0.1046,-0.5,0.1178,0.4735,1.5147,4.4331,-0.1097,-0.6854
dance2_subject3,11284,225.68,50.0,0.2873,0.6568,0.2681,0.031,0.8998,4.0939,3.5753,23.3219,1632.08,0.0295,0.0,0.0,0.6491,-0.01267,0.00308,0.0199,0.0199,3.4651,-0.0911,-0.5,0.0939,0.2818,1.7374,4.0102,-0.0984,-0.8252
dance2_subject4,11284,225.68,50.0,0.2889,0.6918,0.6837,0.0595,1.1283,8.0457,4.5547,24.7897,2598.02,0.062,0.0066,0.0084,0.5641,-0.01188,0.00343,0.02581,0.06847,4.8609,-0.122,-0.5,0.1303,0.5968,1.7237,2.6253,-0.1078,-0.5334
dance2_subject5,11284,225.68,50.0,0.4979,0.9763,0.2594,0.0371,1.0837,5.842,3.6786,25.1191,1749.96,0.0225,0.0,0.0,0.562,-0.00898,0.00463,0.01896,0.01896,4.0012,-0.113,-0.5,0.1035,0.562,1.7553,2.5801,-0.1222,-0.8238
fallAndGetUp1_subject1,8410,168.2,50.0,0.5532,1.8358,0.6793,0.2497,1.2498,8.1042,3.3836,13.6512,1442.53,0.0326,0.1073,0.3756,0.4942,-0.02047,0.00328,0.03254,0.10711,3.264,-0.269,-0.7266,0.0994,0.3998,1.419,2.5761,-0.22,-0.7902
fallAndGetUp1_subject4,8410,168.2,50.0,0.4537,1.9107,0.6627,0.2337,1.031,6.4936,2.8069,16.8004,1357.02,0.0421,0.1109,0.4502,0.5254,-0.02494,-0.00067,0.03724,0.16659,2.6754,-0.2452,-0.6818,0.0759,0.4155,1.3184,2.9163,-0.1857,-0.6663
fallAndGetUp1_subject5,8410,168.2,50.0,0.6519,2.1699,0.6185,0.1915,1.3132,6.4324,3.5628,28.7014,1654.1,0.024,0.0766,0.3337,0.4673,-0.03309,0.0032,0.06084,0.16238,3.3115,-0.1944,-0.7075,0.1045,0.4707,1.3484,1.8165,-0.1737,-1.0391
fallAndGetUp2_subject2,8195,163.9,50.0,0.4942,2.5894,0.6752,0.2372,1.0496,8.0394,2.9367,15.3768,1385.7,0.0338,0.1038,0.4786,0.517,-0.02304,-0.00041,0.03593,0.11953,2.8615,-0.2555,-0.7307,0.0593,0.3948,1.3117,2.3484,-0.226,-1.0472
fallAndGetUp2_subject3,8195,163.9,50.0,0.2413,0.6728,0.7394,0.2416,0.8237,5.152,1.9993,12.3333,726.43,0.0542,0.0944,0.5297,0.6193,-0.0249,-0.00056,0.02949,0.13857,1.7206,-0.3217,-0.7195,0.056,0.2185,1.2134,2.5595,-0.2889,-0.7148
fallAndGetUp3_subject1,5109,102.18,50.0,0.4465,1.1438,0.6086,0.1832,1.1029,6.2472,3.1572,20.4621,1444.98,0.0153,0.0393,0.1625,0.5962,-0.01312,0.00437,0.03088,0.11453,3.1219,-0.1461,-0.7078,0.0833,0.4139,1.3377,1.8086,-0.1407,-2.4216
fight1_subject2,12244,244.88,50.0,0.8655,1.9658,0.4815,0.0544,1.6161,8.9502,3.8949,30.3879,2262.53,0.0541,0.0,0.002,0.4279,-0.01675,0.00295,0.02353,0.02353,4.5655,-0.142,-0.556,0.1625,0.7522,1.6886,2.2493,-0.1312,-0.9794
fight1_subject3,12244,244.88,50.0,0.6076,1.6746,0.695,0.0667,1.3306,8.9681,3.2616,30.7812,1975.67,0.0536,0.0004,0.0068,0.5147,-0.01062,0.00398,0.03755,0.07637,4.2756,-0.1474,-0.5112,0.1525,1.1167,1.6497,2.5327,-0.1384,-2.0486
fight1_subject5,12244,244.88,50.0,0.7878,1.4862,0.3323,0.041,1.355,6.205,3.3461,30.8448,1680.91,0.0186,0.0,0.0,0.4112,-0.00927,0.00429,0.02275,0.02275,4.6717,-0.1418,-0.5,0.171,0.4691,1.4526,2.3242,-0.1343,-0.7189
fightAndSports1_subject1,12257,245.14,50.0,0.7168,1.8505,0.5494,0.0781,1.3641,7.6837,3.5817,22.8525,1909.38,0.0648,0.0,0.0011,0.4724,-0.01526,0.00324,0.02507,0.02507,4.8217,-0.1504,-0.5,0.1733,0.9457,1.7263,2.8399,-0.171,-9.0563
fightAndSports1_subject4,12257,245.14,50.0,0.4667,1.1025,0.4882,0.0573,1.1945,9.2174,3.4251,26.8569,1609.17,0.0134,0.0,0.0023,0.7078,-0.01525,0.00081,0.02352,0.02352,2.574,-0.0951,-0.5,0.1103,0.4592,1.3869,2.3536,-0.0961,-1.8411
