name,frames,duration_s,fps,com_speed_mean,com_speed_p95,com_height_range,com_height_std,angmom_mean,angmom_peak,joint_vel_p95,joint_vel_max,jerk_p95,flight_phase_frac,nonfoot_contact_frac,nonfoot_ground_frac,double_support_frac,foot_clearance_p1,foot_clearance_p50,foot_penetration_max,body_penetration_max,contact_switch_rate,support_margin_mean,support_margin_min,required_mu_p50,required_mu_p95,vert_force_bw_p95,vert_force_bw_max,cop_margin_mean,cop_margin_min
aiming1_subject1,11972,239.44,50.0,0.5487,1.0633,0.2577,0.0473,0.8518,4.0421,2.1017,13.9972,1078.31,0.1931,0.0,0.0,0.25,-0.00626,0.01512,0.02082,0.02082,3.3244,-0.2046,-0.5,0.0755,0.1995,1.1926,1.3683,-0.1393,-0.5062
aiming1_subject4,11972,239.44,50.0,0.4773,0.981,0.7036,0.2277,0.8935,5.2272,2.0045,26.8192,1191.0,0.3755,0.1793,0.3135,0.0461,0.00014,0.0212,0.08183,0.24547,2.368,-0.3934,-0.7764,0.0835,0.2583,1.2384,1.4458,-0.2449,-0.777
aiming2_subject2,15285,305.7,50.0,1.1809,3.1283,0.2874,0.0453,1.2074,6.4075,3.5046,17.6798,2236.92,0.4071,0.0,0.0007,0.1168,-0.0033,0.01812,0.02786,0.02786,5.0703,-0.2943,-0.5,0.1468,0.9321,1.5814,1.9964,-0.1759,-1.2062
aiming2_subject3,15285,305.7,50.0,0.682,1.7774,0.5212,0.0839,1.0343,8.0075,2.4184,13.7679,1415.01,0.4457,0.0,0.0437,0.2075,-0.03402,0.01871,0.05518,0.19536,3.3366,-0.3205,-0.5747,0.113,0.4271,1.3583,1.7798,-0.1585,-0.5302
aiming2_subject5,15285,305.7,50.0,0.9121,2.1308,0.4265,0.054,1.2241,5.5416,2.7815,15.8947,1521.27,0.4184,0.0,0.0003,0.108,-0.00671,0.01844,0.03379,0.03379,4.2035,-0.3099,-0.5248,0.1337,0.4694,1.3342,2.096,-0.1842,-0.7016
dance1_subject1,6574,131.48,50.0,0.7254,1.5101,0.628,0.0534,1.5431,23.7118,5.2602,41.3333,3510.49,0.2388,0.0008,0.0084,0.146,-0.01143,0.01483,0.06915,0.08027,5.2251,-0.237,-0.5335,0.173,0.9286,1.7594,2.3587,-0.2503,-3.2037
dance1_subject2,6574,131.48,50.0,0.4407,1.0107,0.5295,0.054,1.7649,34.8096,7.4566,50.5204,6464.9,0.374,0.0,0.012,0.1343,-0.02406,0.01551,0.05947,0.05947,4.7155,-0.2583,-0.5,0.2248,1.1803,1.5895,3.3159,-0.2786,-3.0344
dance1_subject3,6574,131.48,50.0,0.4461,1.0215,0.2895,0.0423,0.9384,17.7758,3.7629,36.0077,2396.88,0.6333,0.0,0.0005,0.0779,-0.00762,0.02323,0.01811,0.01811,2.6544,-0.3805,-0.53,0.1628,0.574,1.6031,2.2804,-0.2133,-0.5417
dance2_subject1,11284,225.68,50.0,0.6119,1.3905,0.7584,0.0628,1.7327,23.3301,5.8317,39.6958,4234.15,0.3586,0.0,0.0054,0.1334,-0.01472,0.01533,0.07732,0.07732,4.5463,-0.2816,-0.5122,0.2152,1.0235,1.8051,2.5706,-0.2472,-3.4662
dance2_subject2,11284,225.68,50.0,0.5156,1.0343,0.448,0.0567,1.5997,32.9511,6.0703,44.3614,4603.13,0.4695,0.0,0.0064,0.1341,-0.02032,0.01907,0.0743,0.0743,4.5108,-0.3049,-0.5,0.1772,0.902,1.7167,2.6314,-0.2379,-3.1524
dance2_subject3,11284,225.68,50.0,0.3516,0.7907,0.4918,0.0425,1.0435,16.7681,4.2917,36.3445,2681.66,0.571,0.0,0.0,0.0897,0.00408,0.02137,0.01928,0.01928,4.1608,-0.3497,-0.5048,0.1602,0.8029,1.9292,3.4614,-0.191,-0.7184
dance2_subject4,11284,225.68,50.0,0.3654,0.8711,0.8082,0.0674,1.3094,23.2222,5.5527,39.9388,4259.87,0.6865,0.0013,0.0067,0.0817,-0.00332,0.02497,0.08441,0.15332,3.6999,-0.397,-0.5,0.2146,1.1788,1.9505,3.3732,-0.1832,-0.7816
dance2_subject5,11284,225.68,50.0,0.5959,1.1726,0.3464,0.0462,1.1815,23.0022,4.1108,37.6415,2575.65,0.322,0.0,0.0004,0.1836,-0.00129,0.01707,0.03578,0.03578,5.6186,-0.267,-0.5,0.1531,0.799,1.9367,2.719,-0.1818,-0.7924
fallAndGetUp1_subject1,8410,168.2,50.0,0.6431,2.1821,0.7099,0.2614,1.3165,11.9051,4.0435,24.0497,2696.14,0.1535,0.0674,0.42,0.2979,-0.05773,0.01177,0.09259,0.16961,3.6445,-0.3366,-0.7323,0.1285,0.443,1.394,1.8861,-0.2785,-0.7744
fallAndGetUp1_subject4,8410,168.2,50.0,0.5269,2.3058,0.6674,0.2526,1.1807,29.6249,3.4893,48.9377,2854.52,0.2806,0.1019,0.541,0.3532,-0.13749,0.01455,0.2067,0.23112,2.7943,-0.349,-0.7126,0.1096,0.6521,1.3343,2.2429,-0.2662,-1.8897
fallAndGetUp1_subject5,8410,168.2,50.0,0.7647,2.5734,0.6821,0.2129,1.4071,8.4497,4.2144,35.7805,3233.86,0.3002,0.0737,0.4099,0.2732,-0.05549,0.01479,0.12435,0.19207,3.5493,-0.3123,-0.7024,0.1525,0.8204,1.3672,1.9574,-0.2565,-2.6477
fallAndGetUp2_subject2,8195,163.9,50.0,0.5663,3.0375,0.7306,0.26,1.164,8.7259,3.5097,19.0593,2838.61,0.2369,0.0776,0.4997,0.3664,-0.05051,0.01163,0.09082,0.16488,3.0567,-0.3381,-0.7369,0.0887,0.698,1.3872,2.4071,-0.3029,-1.4829
fallAndGetUp2_subject3,8195,163.9,50.0,0.2635,0.7924,0.8157,0.2608,0.9156,9.3525,2.3954,21.563,1872.83,0.2799,0.1373,0.6133,0.3513,-0.07467,0.01486,0.13984,0.16152,1.5192,-0.4355,-0.7456,0.0701,0.3984,1.2963,1.7645,-0.3896,-1.4247
fallAndGetUp3_subject1,5109,102.18,50.0,0.5226,1.3238,0.6828,0.2051,1.2238,21.7015,3.8333,45.0622,2825.16,0.1652,0.0211,0.2251,0.3228,-0.05137,0.01358,0.14069,0.41219,3.6015,-0.2285,-0.7049,0.1089,0.5755,1.4377,1.9952,-0.1874,-1.0808
fight1_subject2,12244,244.88,50.0,1.0323,2.3234,0.7595,0.0698,1.7363,38.9988,4.3511,36.3622,3370.01,0.5013,0.0,0.0106,0.1188,-0.02503,0.02004,0.05852,0.05852,5.1944,-0.3282,-0.5622,0.242,1.1636,1.8314,2.4596,-0.2026,-1.7483
fight1_subject3,12244,244.88,50.0,0.7331,2.0172,0.9959,0.0896,1.4861,33.4118,3.7886,63.2213,3082.94,0.6174,0.0071,0.0266,0.1505,-0.02416,0.02319,0.09604,0.09604,4.2674,-0.3821,-0.6897,0.2301,1.5444,1.8175,2.5899,-0.2797,-1.8328
fight1_subject5,12244,244.88,50.0,0.9387,1.767,0.617,0.0532,1.4408,16.993,3.697,36.5179,2522.82,0.2939,0.0,0.0032,0.1517,-0.01192,0.01581,0.06733,0.06733,5.4067,-0.273,-0.5259,0.2342,0.7987,1.5843,2.7208,-0.209,-0.9494
fightAndSports1_subject1,12257,245.14,50.0,0.864,2.1977,0.7365,0.0945,1.4253,9.5729,4.0563,35.428,2938.18,0.1828,0.0,0.0232,0.2635,-0.05327,0.00946,0.09629,0.09629,5.1032,-0.229,-0.559,0.2554,0.9819,1.8641,2.7525,-0.2223,-4.9183
fightAndSports1_subject4,12257,245.14,50.0,0.5633,1.3399,0.8571,0.0815,1.4845,34.306,4.0011,47.9046,2732.36,0.4654,0.0,0.0094,0.1532,-0.02561,0.01933,0.12984,0.12984,3.8427,-0.3263,-0.5539,0.1696,0.6536,1.5452,5.6817,-0.2178,-1.1703
ground1_subject1,7902,158.04,50.0,0.1781,0.5863,0.6793,0.1611,0.7115,5.9105,2.2205,29.8339,1090.89,0.0389,0.3035,0.925,0.058,-0.02183,0.00709,0.05139,0.17149,1.4553,-0.4422,-0.7507,0.0603,0.2185,1.1469,1.4494,-0.4139,-0.7674
ground1_subject4,7902,158.04,50.0,0.343,1.1674,0.6743,0.1732,0.8044,9.2346,2.71,24.7647,2040.54,0.1767,0.4074,0.7702,0.0881,-0.02109,0.0227,0.06538,0.11815,2.126,-0.4868,-0.7696,0.089,0.3931,1.2217,1.5461,-0.4622,-0.8468
ground1_subject5,7902,158.04,50.0,0.3892,0.9374,0.6547,0.1289,1.2246,5.9374,2.9985,17.5942,2351.99,0.0963,0.7264,0.8578,0.0468,-0.05329,0.03711,0.08414,0.16797,1.1769,-0.4711,-0.7147,0.1015,0.3331,1.214,1.5083,-0.3823,-0.8523
ground2_subject2,9249,184.98,50.0,0.4229,1.1384,0.9158,0.1577,1.6032,17.4215,3.5424,36.1972,2972.22,0.1151,0.0954,0.6723,0.4832,-0.06303,-0.00144,0.18638,0.27637,2.4435,-0.269,-0.6805,0.1286,0.6359,1.4211,2.2444,-0.2993,-6.5269
ground2_subject3,9249,184.98,50.0,0.3632,1.0507,0.8244,0.2004,1.1421,8.0166,2.5781,18.528,2094.92,0.1787,0.2465,0.7376,0.3218,-0.0593,0.01676,0.09087,0.18915,2.5516,-0.3753,-0.7169,0.1096,0.4608,1.3978,2.8715,-0.3019,-1.14
jumps1_subject1,12222,244.44,50.0,0.8647,1.8376,0.5004,0.0654,1.0951,16.8862,4.1402,32.6662,2669.61,0.3486,0.0,0.0,0.1818,-0.01138,0.01607,0.02668,0.02668,4.5819,-0.2684,-0.5,0.1665,0.8477,2.2332,3.4097,-0.1568,-0.7508
jumps1_subject2,12222,244.44,50.0,0.6484,1.7047,0.7912,0.2243,1.117,7.1541,3.0756,16.8453,2009.03,0.5285,0.0886,0.1795,0.0622,-0.02858,0.02277,0.07882,0.16567,3.2687,-0.4096,-0.7731,0.1361,0.7854,1.721,3.4198,-0.2817,-1.0473
jumps1_subject5,12222,244.44,50.0,0.645,1.5595,0.3386,0.0519,0.9567,5.1068,3.5753,18.3934,2348.79,0.6494,0.0,0.0,0.0435,0.00311,0.02347,0.00674,0.00674,3.1378,-0.3699,-0.5,0.149,1.0647,2.2133,3.4754,-0.1544,-0.4822
multipleActions1_subject1,7644,152.88,50.0,0.8573,2.7306,1.1077,0.2032,1.2937,33.0683,3.8638,38.6811,2062.95,0.2274,0.0043,0.1363,0.1868,-0.05852,0.01401,0.13568,0.15563,3.6303,-0.2852,-0.7244,0.127,0.8605,1.6451,2.8335,-0.2381,-0.9597
multipleActions1_subject2,7644,152.88,50.0,0.9858,2.5784,0.7116,0.1245,1.2973,5.9462,3.5168,15.6856,1988.08,0.5493,0.0033,0.0466,0.0739,-0.02716,0.02096,0.05851,0.17356,4.8077,-0.3622,-0.7138,0.1545,0.8715,1.4324,2.1318,-0.1838,-0.7806
multipleActions1_subject3,7644,152.88,50.0,1.1059,2.9317,0.7933,0.197,1.4162,9.2808,3.9339,23.7804,2440.32,0.7173,0.0122,0.1485,0.1189,-0.03624,0.02607,0.09236,0.14808,2.3613,-0.4376,-0.6774,0.1979,1.2227,1.588,2.8723,-0.3,-0.9698
multipleActions1_subject4,7644,152.88,50.0,0.4564,1.2617,0.8211,0.1686,0.8801,6.6329,2.5381,14.6062,1246.5,0.5357,0.0031,0.1033,0.1651,-0.07909,0.02098,0.13919,0.17108,2.3286,-0.3656,-0.7511,0.1035,0.4093,1.3344,1.7778,-0.1921,-0.7992
obstacles1_subject1,8984,179.68,50.0,0.741,1.4813,2.1532,0.4334,0.9968,5.7099,3.4379,16.6452,1891.45,0.5567,0.0,0.0,0.0336,-0.00561,0.02195,0.03536,0.03536,2.8106,-0.36,-0.5033,0.107,0.3251,1.4134,2.8101,-0.1976,-0.6473
obstacles1_subject2,8984,179.68,50.0,0.904,1.7475,1.299,0.3044,1.3391,6.0307,4.1283,21.6601,2447.76,0.7209,0.0,0.0,0.0306,0.0013,0.0304,0.00897,0.00897,3.2168,-0.4011,-0.5,0.1616,0.4999,1.6133,2.8262,-0.167,-0.5551
obstacles1_subject5,8984,179.68,50.0,0.6333,1.3444,1.2331,0.2583,1.221,16.1301,3.0794,39.1102,1590.01,0.7122,0.0,0.0003,0.0152,0.00198,0.14965,0.03274,0.03274,1.7976,-0.4122,-0.5,0.1296,0.3599,1.4974,2.9755,-0.1776,-0.4702
