clip,fps,frames,guard_s,guard_mode,min_seg_s,bin_frames,severity,source_screen_sha256,source_motion_sha256,reducer_sha256,airborne_frac,infeasible_frac,torque_infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m,n_feasible_segments,n_bins,n_bins_eligible,bin_eligible_frac,unsupported_ratio_p95
KIT_1229_flexion_with_help_02_poses_100_jpos,50.0,430,0.0,symmetric,0.0,50,severe,f41fe2a4f88ca9f1e8d87ddd86f43f04fcbaf0b8070daa9101068489942e5746,849d20ebd736ebd579763b3c072536224fac32af6cb94f01ec9aad717f97eb3b,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,9,9,1.0,0.0
KIT_1229_in_out_rotation_with_help_03_poses_100_jpos,50.0,307,0.0,symmetric,0.0,50,severe,1550d3b7a05d6df46997c312fc099e7ab91501e7d68c947082e333e4f06351d9,a083088ad1020cef2a4e76dd6128d403d14f1c7e23e6bd7d482722c375f47984,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,7,7,1.0,0.0
KIT_1229_hand_to_mouth_right_arm_03_poses_100_jpos,50.0,180,0.0,symmetric,0.0,50,severe,3dcd464cdf7d2de78c2f907f00da3cd7816ce0de9d52c400431d27dd7685c3db,63b4f03cba94d5d2884c3a7289fe06ff67ababdaf8436dce80ce771ef5195eb7,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,4,4,1.0,0.0
KIT_1747_displace_tilt_middle_23_poses_100_jpos,50.0,513,0.0,symmetric,0.0,50,severe,2ad89c2059fd66295edea888c3c7839ec6eb56bfe98c11abbc2ddfe48bae2026,db8526a9eb16fe92ea6be0519100749ffc3ff73a0af805e7f833d0dd72d8d420,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,11,11,1.0,0.0
KIT_1229_supination_with_help_03_poses_100_jpos,50.0,320,0.0,symmetric,0.0,50,severe,a8cec9c351fe9849127fa3fee69ad41ae9d19caf041cbd67a9ab1253189652aa,963ccd77e0c14d3d5c38fcb29bd7c7c5219428a8613477bd7be5f229684589b2,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,7,7,1.0,0.0
KIT_1229_washing_movement_with_help_02_poses_100_jpos,50.0,250,0.0,symmetric,0.0,50,severe,aaa6c4c2acdc73614927be7cf3ce3be389c71ebd595266c7cf08f1fb19daf0b7,af4a53a3cc5b0f31e9be64fe0cb1e51ab2300f99c525b341d729d70f0f9d4ab0,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,5,5,1.0,0.0
KIT_1747_displace_tilt_middle_12_poses_100_jpos,50.0,482,0.0,symmetric,0.0,50,severe,3e1381975e05f70bb1526797f617e1faa28942f8133032d4022f458db3e35a09,125c5d47a6d5a8cf29065ab191f04b421b34f578cc3e34bf5462f3c6adc5a0f5,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.0
KIT_1226_Trial_67_poses_100_jpos,50.0,567,0.0,symmetric,0.0,50,severe,04f484dacf31925c4a2ee8de1805dba2f4fdffcd21ab6335df4cd66d4a246dee,e01ef46421d832c7315ce40b2c1ccd079f11e056a6d80f76763feac0ab934925,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,12,12,1.0,0.0
KIT_1717_displace_tilt_middle_24_poses_100_jpos,50.0,475,0.0,symmetric,0.0,50,severe,53b258c98ffcacb311c97de6b81b9e19e5765445e8a966d8ca91e07d692b2765,9c85027aef4bd7ff7fa76d4384daeed3ec7a69c9fd961f83a4976ff98f54663a,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.0
KIT_1747_displace_tilt_side_24_poses_100_jpos,50.0,490,0.0,symmetric,0.0,50,severe,59a5814053fda847ca1e75a618e198479f85a41ea4b95e4f45401db5903b50ba,36e89f3cc1ad046b8deffa6857f704cb4b27bce012a8586e3a72a2b1c9eeaca9,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.0
KIT_1229_take_book_from_shelf_with_help_02_poses_100_jpos,50.0,298,0.0,symmetric,0.0,50,severe,c9eb03989288000bb124c3f8c79f4439b2a977f0feda176387f214635e590fff,3a9a7a9a0febae80ee0d4eb968d8a97fbf56f8524d39ff1c56fdc603981fbb59,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,6,6,1.0,0.0
KIT_1717_displace_tilt_middle_21_poses_100_jpos,50.0,475,0.0,symmetric,0.0,50,severe,3d13466f28073c09d8701c5adad2e840f4a3fd089845ee56122c397b0385c35a,313b5b87a5ef90f48a91da635d897bd82a17dc6e4f7dc58fbb8b97edd615a1c8,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.0
KIT_1717_displace_from_left_to_right_30_poses_100_jpos,50.0,244,0.0,symmetric,0.0,50,severe,d5b3d792d69f977730c7660423a622c412fd59bbfbc397231907153efe799896,06771ecc6340872e11f26864e4d7ceae6db519caea2a198d298a0d262ca90405,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,5,5,1.0,0.018909943245380353
KIT_572_wave_left10_poses_100_jpos,50.0,286,0.0,symmetric,0.0,50,severe,2be343045dce83bc4f83687391f8cedc2bc0fe91eda80b9d80c4c4d1a2798fe3,9b77a6bc22cdf18820360dda68a1c4f47e7eedbc3f32c7730a91455f1093ecf7,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,6,6,1.0,0.020484497937598767
KIT_1229_washing_movement_left_arm_03_poses_100_jpos,50.0,199,0.0,symmetric,0.0,50,severe,6b120d3964e8f8fbb99af041c4899c7d69b9d7fc9dde097ce13c53134cb46f00,a35620b19c7b569bae682f8043cbf3690b943ca2ba18aaee0ede845970b05739,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,4,4,1.0,0.0
KIT_1226_Trial_13_poses_100_jpos,50.0,374,0.0,symmetric,0.0,50,severe,636e4d369c9dbe0623dcf880dee1076e3ec0ac7d932374303b2241294a70ba9c,a34e5a30401fc21e03c2e386e1f4075bfa86d4726d8169e11a7ebdb1dd47fc6e,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,8,8,1.0,0.0
KIT_1717_displace_from_left_to_right_49_poses_100_jpos,50.0,261,0.0,symmetric,0.0,50,severe,37b47c07bc9fc3fc812ec8a5258ee83f0d9d3d2e1c03b7e73fba75e421fc879e,38dc2fa7b3d80635ae480f27b143704785be100f23785192e8e27c91746a67f0,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,6,6,1.0,0.009172163255641238
