true_hard_delta,paired_seed_sd,benefit_gate_probability,lower_ci_above_zero_probability,negative_for_SESOI_probability
0.0,0.005,1.986944684322808e-12,0.025000000000573938,0.9084887436859278
0.01,0.005,0.000249378238124363,0.4707477062005081,0.4707477062005081
0.02,0.005,0.4781721978648234,0.9084887436859278,0.025000000000573938
0.03,0.005,0.9948473448645251,0.99508907662368,1.7250854919573427e-06
0.04,0.005,0.9999182049042831,0.9999182049062367,4.3444533461686335e-15
0.06,0.005,0.9999999993216062,0.9999999993216063,0.0
0.0,0.01,0.0001396924783984392,0.025000000000573938,0.4707477062005081
0.01,0.01,0.023003350364461553,0.17861005525167792,0.17861005525167792
0.02,0.01,0.30888883512878085,0.4707477062005081,0.025000000000573938
0.03,0.01,0.7287367494463443,0.7452680066701087,0.000645338528550497
0.04,0.01,0.9083751757336083,0.9084887436859278,1.7250854919395552e-06
0.06,0.01,0.9950890766227216,0.99508907662368,4.3336009006759945e-15
0.0,0.02,0.009203351549165998,0.025000000000573938,0.17861005525167792
0.01,0.02,0.048034843855638595,0.07893147718817095,0.07893147718817095
0.02,0.02,0.14752752711850187,0.17861005525167792,0.025000000000573938
0.03,0.02,0.30052639794735236,0.31633641182862826,0.005175578710074171
0.04,0.02,0.466744179726594,0.4707477062005081,0.0006453385285505272
0.06,0.02,0.7452377744002152,0.7452680066701087,1.7250854919573427e-06
0.0,0.04,0.02129936008166807,0.025000000000573938,0.07893147718817095
0.01,0.04,0.04213985207270568,0.04658215471768126,0.04658215471768126
0.02,0.04,0.07448710927530443,0.07893147718817095,0.025000000000573938
0.03,0.04,0.11936362326492578,0.12306826258617433,0.01206187294129717
0.04,0.04,0.17603799289494015,0.17861005525167792,0.00517557871007416
0.06,0.04,0.3156208730933935,0.31633641182862826,0.000645338528550497
