iteration,progress_prior_weighted_mean,positive_excess_mass,excess_fraction_improving,excess_fraction_declining,excess_fraction_unchanged,unit_fraction_improving,unit_fraction_declining,unit_fraction_unchanged,rho_progress_failure,rho_progress_previous_snapshot,rho_progress_recent_attempt_count,D_fixed_history_counterfactual_tv,ledger_sha256,state_sha256
400,0.02107749311879321,0.06316811332221804,0.97300899653569,0.026991003464310003,0.0,0.5396959459459459,0.2491554054054054,0.21114864864864866,-0.32052818788273135,,,0.007430115529898078,cb3bed05129e345ee35462e34872dbcd503a80bd667637294946db8a7abea32f,e7362f562f678765cef736d68221ff10cc7ee3b75fddcdf769025d93b89277e6
500,0.027208260754573155,0.05717342716978531,0.9905812911225843,0.00941870887741573,0.0,0.6072635135135135,0.17229729729729729,0.2204391891891892,-0.3066694949517352,0.2560931002346426,0.3681841308477355,0.011297284967236204,d8c02d8e489ce6f1552bdaa80425ad00ee815be8f48e8711da6ccd578a59336f,893760154e8c6643007ff569edee31a29220cc34f89cf380828b286f0c0a949c
600,0.026562210792129785,0.05253367885405756,0.9871298268673315,0.012870173132668594,0.0,0.6385135135135135,0.13006756756756757,0.23141891891891891,-0.3191429944285048,0.20658415260867194,0.3871060167463649,0.016625683225705738,4cfcfb3430cbbccc0eae50f812e6ecf91f8871dc4174e22954898e3814dde697,96408ab767a05898786b903ec469ddbb52aa667b637c587940f38c37ad530abe
700,0.024648592080972656,0.048960607638450886,0.9863587306565085,0.013641269343491514,0.0,0.6461148648648649,0.11908783783783784,0.23479729729729729,-0.23592443474627478,0.2384782960156097,0.3590440361329533,0.02301794069987491,00972b7d445081c3c4bb460478f582fa8829b18b83f7c4f1b9c0f221c9ec564c,0fcb9bcb1f99a25552177c1c877adeb2c31856636423d326595ea0bdbf92abe3
800,0.018715416766778296,0.056402141853388224,0.9638936525581335,0.03610634744186646,0.0,0.6478040540540541,0.11908783783783784,0.23310810810810811,-0.1651770843529455,0.1706424168224668,0.33159470685596376,0.029645567108191502,38df3b3556b338647a90b4f2142c3632e15e466249c2080072fbe84472ea88ea,d9278ebc11176a5b259c3d79673e7b83ff55cc33adb513d8791eaaade2fa6bc4
900,0.015323206400536832,0.05644226278071746,0.936138541559206,0.06386145844079395,0.0,0.6317567567567568,0.13851351351351351,0.22972972972972974,-0.031907808941493,0.17052621799535544,0.29126422591533685,0.03777293064617604,cc5a543c24f333dd259017052c2e2b22f0d6321356428524b93732d48e52e55d,3730cd7ce9eff0af2aadbd0355e08ba5e7f9f9715c5c860612971f439c243b34
1000,0.012230317193183082,0.05904221296011553,0.8038826031802216,0.19611739681977847,0.0,0.5853040540540541,0.15878378378378377,0.25591216216216217,0.00661285008374511,0.21640319190615925,0.3623434363435081,0.046407434426568785,91eeb693b6c47def28d5042cc115a92dbcad7a9a7c7b533c47e21515f74fd355,7f567caa325ee7a0782b230dbb8e378292841393ae77dab97f40b07ff10fa70b
1100,0.010397186126308324,0.06116772511011498,0.7523062586417886,0.24769374135821146,0.0,0.597972972972973,0.16469594594594594,0.23733108108108109,0.11258938190153882,0.30063558848026284,0.35422276463672103,0.05463786935433291,abc6b0b276802f562ab1b88fe64547c31ae622f9afd8cfd8c9bb1959d9a93e3b,662ee3e32f09bd6fdac52e0b771d764494fb94412bcc0f3335154513ce5c4f16
1200,0.008490348734043118,0.07042470235263629,0.6679513921372902,0.3320486078627098,0.0,0.5692567567567568,0.18496621621621623,0.24577702702702703,0.13257095535583957,0.2645170813356276,0.3833999371047912,0.06293653166047995,43924c5a13a42b198edb560d6df2cfd3dbfe0c724d45307d1789b4adb418bf0e,cca0c1b7a44a76542fb7ffcc8bf75ece8bb01272ebee4e4d2287bf598faf38d7
1300,0.007853372454144957,0.07062838958499028,0.6270309051894918,0.3729690948105081,0.0,0.5869932432432432,0.17652027027027026,0.23648648648648649,0.2122968360373541,0.36408888758616437,0.3615419747944714,0.06978558263444545,ac2ec0af7b8e6e793c71e040d3b7d2f38ff3e948a25ceb93ebbfe4e8afb5a9d0,15fbaaed0e6160899f3c06fd5610860856640feb60b5b7260ac1516d6394b169
