clip,fps,frames,guard_s,min_seg_s,bin_frames,severity,airborne_frac,infeasible_frac,torque_infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m,n_feasible_segments,n_bins,n_bins_eligible,bin_eligible_frac,unsupported_ratio_p95
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,50.0,314,0.0,1.0,50,severe,0.20382165605095542,0.20382165605095542,0.0,0.20382165605095542,0.20382165605095542,0.7961783439490446,1,torque_limited,0.06,2,7,5,0.7142857142857143,1.1604162342874507
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,50.0,115,0.0,1.0,50,severe,0.1565217391304348,0.1565217391304348,0.0,0.1565217391304348,0.1565217391304348,0.6173913043478261,1,torque_limited,0.06,1,3,2,0.6666666666666666,0.897985356604796
BMLhandball_S07_Expert_Trial_upper_right_210_poses_120_jpos,50.0,582,0.0,1.0,50,severe,0.19072164948453607,0.19072164948453607,0.0,0.19072164948453607,0.19072164948453607,0.6890034364261168,4,torque_limited,0.06,2,12,8,0.6666666666666666,1.0290249956503905
BMLmovi_Subject_17_F_MoSh_Subject_17_F_14_poses_120_jpos,50.0,342,0.0,1.0,50,severe,0.34502923976608185,0.34502923976608185,0.0,0.34502923976608185,0.34502923976608185,0.5935672514619883,2,torque_limited,0.06,2,7,3,0.42857142857142855,1.0564650507235174
BMLmovi_Subject_1_F_MoSh_Subject_1_F_13_poses_120_jpos,50.0,285,0.0,1.0,50,severe,0.10877192982456141,0.10877192982456141,0.0,0.10877192982456141,0.10877192982456141,0.5333333333333333,6,torque_limited,0.06,2,6,1,0.16666666666666666,0.8052547860902631
BMLmovi_Subject_27_F_MoSh_Subject_27_F_5_poses_120_jpos,50.0,529,0.0,1.0,50,severe,0.19659735349716445,0.20793950850661624,0.0,0.20793950850661624,0.20793950850661624,0.7901701323251418,3,torque_limited,0.06,3,11,7,0.6363636363636364,1.0536369670530277
BMLmovi_Subject_3_F_MoSh_Subject_3_F_7_poses_120_jpos,50.0,224,0.0,1.0,50,severe,0.16071428571428573,0.16071428571428573,0.0,0.16071428571428573,0.16071428571428573,0.7589285714285714,4,torque_limited,0.06,3,5,1,0.2,1.0274504409581722
BMLmovi_Subject_41_F_MoSh_Subject_41_F_16_poses_120_jpos,50.0,185,0.0,1.0,50,severe,0.24864864864864866,0.15675675675675677,0.0,0.15675675675675677,0.15675675675675677,0.6756756756756757,3,torque_limited,0.06,2,4,2,0.5,1.45366558050906
BMLmovi_Subject_41_F_MoSh_Subject_41_F_17_poses_120_jpos,50.0,129,0.0,1.0,50,severe,0.3875968992248062,0.3875968992248062,0.0,0.3875968992248062,0.3875968992248062,0.0,1,torque_limited,0.06,0,3,0,0.0,1.0545541833785919
BMLmovi_Subject_48_F_MoSh_Subject_48_F_16_poses_120_jpos,50.0,522,0.0,1.0,50,severe,0.18582375478927204,0.19923371647509577,0.0,0.19923371647509577,0.19923371647509577,0.7988505747126436,3,torque_limited,0.06,3,11,7,0.6363636363636364,1.0444953776749053
BMLmovi_Subject_51_F_MoSh_Subject_51_F_5_poses_120_jpos,50.0,285,0.0,1.0,50,severe,0.21052631578947367,0.21052631578947367,0.0,0.21052631578947367,0.21052631578947367,0.5754385964912281,5,torque_limited,0.06,2,6,2,0.3333333333333333,1.0343142764611437
BMLmovi_Subject_53_F_MoSh_Subject_53_F_20_poses_120_jpos,50.0,435,0.0,1.0,50,severe,0.1724137931034483,0.15632183908045977,0.0,0.15632183908045977,0.15632183908045977,0.5172413793103449,12,torque_limited,0.06,3,9,3,0.3333333333333333,1.3254387381951958
BMLmovi_Subject_72_F_MoSh_Subject_72_F_6_poses_120_jpos,50.0,237,0.0,1.0,50,severe,0.1350210970464135,0.1350210970464135,0.0,0.1350210970464135,0.1350210970464135,0.8649789029535865,1,torque_limited,0.06,2,5,4,0.8,0.9946293834417359
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,50.0,299,0.0,1.0,50,severe,0.4180602006688963,0.4180602006688963,0.0,0.4180602006688963,0.4180602006688963,0.44816053511705684,2,torque_limited,0.06,2,6,1,0.16666666666666666,1.1760547726383195
CMU_02_02_08_poses_120_jpos,50.0,625,0.0,1.0,50,severe,0.1168,0.1168,0.0,0.1168,0.1168,0.8832,3,torque_limited,0.06,4,13,8,0.6153846153846154,1.0249586699403896
CMU_07_07_01_poses_120_jpos,50.0,132,0.0,1.0,50,severe,0.12121212121212122,0.15151515151515152,0.0,0.15151515151515152,0.15151515151515152,0.6439393939393939,4,torque_limited,0.06,1,3,1,0.3333333333333333,1.123528851061014
CMU_102_102_20_poses_120_jpos,50.0,253,0.0,1.0,50,severe,0.3201581027667984,0.30434782608695654,0.0,0.30434782608695654,0.30434782608695654,0.3438735177865613,8,torque_limited,0.06,1,6,1,0.16666666666666666,1.2255233064637434
CMU_108_108_13_poses_120_jpos,50.0,65,0.0,1.0,50,severe,0.06153846153846154,0.12307692307692308,0.0,0.12307692307692308,0.12307692307692308,0.8769230769230769,2,torque_limited,0.06,1,2,0,0.0,0.9788532626420319
CMU_114_114_04_poses_120_jpos,50.0,373,0.0,1.0,50,severe,0.2359249329758713,0.2359249329758713,0.0,0.2359249329758713,0.2359249329758713,0.7640750670241286,1,torque_limited,0.06,1,8,6,0.75,1.0291778650379846
CMU_114_114_06_poses_120_jpos,50.0,426,0.0,1.0,50,severe,0.3967136150234742,0.4154929577464789,0.0,0.4154929577464789,0.4154929577464789,0.5845070422535211,1,torque_limited,0.06,1,9,5,0.5555555555555556,1.0243777662675324
