clip,fps,frames,guard_s,min_seg_s,bin_frames,severity,airborne_frac,infeasible_frac,torque_infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m,n_feasible_segments,n_bins,n_bins_eligible,bin_eligible_frac,unsupported_ratio_p95
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,50.0,314,1.0,1.0,50,severe,0.20382165605095542,0.20382165605095542,0.0,0.20382165605095542,0.5222929936305732,0.47770700636942676,1,torque_limited,0.06,2,7,3,0.42857142857142855,1.1604162342874507
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,50.0,115,1.0,1.0,50,severe,0.1565217391304348,0.1565217391304348,0.0,0.1565217391304348,0.8173913043478261,0.0,1,torque_limited,0.06,0,3,0,0.0,0.897985356604796
BMLhandball_S07_Expert_Trial_upper_right_210_poses_120_jpos,50.0,582,1.0,1.0,50,severe,0.19072164948453607,0.19072164948453607,0.0,0.19072164948453607,0.48281786941580757,0.5171821305841925,4,torque_limited,0.06,2,12,6,0.5,1.0290249956503905
BMLmovi_Subject_17_F_MoSh_Subject_17_F_14_poses_120_jpos,50.0,342,1.0,1.0,50,severe,0.34502923976608185,0.34502923976608185,0.0,0.34502923976608185,0.6988304093567251,0.1871345029239766,2,torque_limited,0.06,1,7,1,0.14285714285714285,1.0564650507235174
BMLmovi_Subject_1_F_MoSh_Subject_1_F_13_poses_120_jpos,50.0,285,1.0,1.0,50,severe,0.10877192982456141,0.10877192982456141,0.0,0.10877192982456141,0.887719298245614,0.0,6,torque_limited,0.06,0,6,0,0.0,0.8052547860902631
BMLmovi_Subject_27_F_MoSh_Subject_27_F_5_poses_120_jpos,50.0,529,1.0,1.0,50,severe,0.19659735349716445,0.20793950850661624,0.0,0.20793950850661624,0.5879017013232514,0.34026465028355385,3,torque_limited,0.06,1,11,3,0.2727272727272727,1.0536369670530277
BMLmovi_Subject_3_F_MoSh_Subject_3_F_7_poses_120_jpos,50.0,224,1.0,1.0,50,severe,0.16071428571428573,0.16071428571428573,0.0,0.16071428571428573,0.9375,0.0,4,torque_limited,0.06,0,5,0,0.0,1.0274504409581722
BMLmovi_Subject_41_F_MoSh_Subject_41_F_16_poses_120_jpos,50.0,185,1.0,1.0,50,severe,0.24864864864864866,0.15675675675675677,0.0,0.15675675675675677,0.8648648648648649,0.0,3,torque_limited,0.06,0,4,0,0.0,1.45366558050906
BMLmovi_Subject_41_F_MoSh_Subject_41_F_17_poses_120_jpos,50.0,129,1.0,1.0,50,severe,0.3875968992248062,0.3875968992248062,0.0,0.3875968992248062,1.0,0.0,1,torque_limited,0.06,0,3,0,0.0,1.0545541833785919
BMLmovi_Subject_48_F_MoSh_Subject_48_F_16_poses_120_jpos,50.0,522,1.0,1.0,50,severe,0.18582375478927204,0.19923371647509577,0.0,0.19923371647509577,0.5842911877394636,0.32375478927203066,3,torque_limited,0.06,1,11,3,0.2727272727272727,1.0444953776749053
BMLmovi_Subject_51_F_MoSh_Subject_51_F_5_poses_120_jpos,50.0,285,1.0,1.0,50,severe,0.21052631578947367,0.21052631578947367,0.0,0.21052631578947367,0.9508771929824561,0.0,5,torque_limited,0.06,0,6,0,0.0,1.0343142764611437
BMLmovi_Subject_53_F_MoSh_Subject_53_F_20_poses_120_jpos,50.0,435,1.0,1.0,50,severe,0.1724137931034483,0.15632183908045977,0.0,0.15632183908045977,0.8482758620689655,0.13333333333333333,12,torque_limited,0.06,1,9,1,0.1111111111111111,1.3254387381951958
BMLmovi_Subject_72_F_MoSh_Subject_72_F_6_poses_120_jpos,50.0,237,1.0,1.0,50,severe,0.1350210970464135,0.1350210970464135,0.0,0.1350210970464135,0.5569620253164557,0.37130801687763715,1,torque_limited,0.06,1,5,2,0.4,0.9946293834417359
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,50.0,299,1.0,1.0,50,severe,0.4180602006688963,0.4180602006688963,0.0,0.4180602006688963,0.9464882943143813,0.0,2,torque_limited,0.06,0,6,0,0.0,1.1760547726383195
CMU_02_02_08_poses_120_jpos,50.0,625,1.0,1.0,50,severe,0.1168,0.1168,0.0,0.1168,0.5824,0.3968,3,torque_limited,0.06,2,13,4,0.3076923076923077,1.0249586699403896
CMU_07_07_01_poses_120_jpos,50.0,132,1.0,1.0,50,severe,0.12121212121212122,0.15151515151515152,0.0,0.15151515151515152,0.7348484848484849,0.0,4,torque_limited,0.06,0,3,0,0.0,1.123528851061014
CMU_102_102_20_poses_120_jpos,50.0,253,1.0,1.0,50,severe,0.3201581027667984,0.30434782608695654,0.0,0.30434782608695654,0.8537549407114624,0.0,8,torque_limited,0.06,0,6,0,0.0,1.2255233064637434
CMU_108_108_13_poses_120_jpos,50.0,65,1.0,1.0,50,severe,0.06153846153846154,0.12307692307692308,0.0,0.12307692307692308,1.0,0.0,2,torque_limited,0.06,0,2,0,0.0,0.9788532626420319
CMU_114_114_04_poses_120_jpos,50.0,373,1.0,1.0,50,severe,0.2359249329758713,0.2359249329758713,0.0,0.2359249329758713,0.3699731903485255,0.6300268096514745,1,torque_limited,0.06,1,8,5,0.625,1.0291778650379846
CMU_114_114_06_poses_120_jpos,50.0,426,1.0,1.0,50,severe,0.3967136150234742,0.4154929577464789,0.0,0.4154929577464789,0.5328638497652582,0.4671361502347418,1,torque_limited,0.06,1,9,4,0.4444444444444444,1.0243777662675324
CMU_114_114_09_poses_120_jpos,50.0,949,1.0,1.0,50,severe,0.41938883034773444,0.41938883034773444,0.0,0.41938883034773444,0.6301369863013698,0.3329820864067439,2,torque_limited,0.06,2,19,5,0.2631578947368421,1.1755044428429808
CMU_115_115_06_poses_60_jpos,50.0,297,1.0,1.0,50,severe,0.2053872053872054,0.2053872053872054,0.0,0.2053872053872054,0.5420875420875421,0.4377104377104377,1,torque_limited,0.06,1,6,2,0.3333333333333333,1.123406555550939
CMU_120_120_07_poses_120_jpos,50.0,464,1.0,1.0,50,severe,0.23922413793103448,0.17672413793103448,0.0,0.17672413793103448,0.790948275862069,0.14655172413793102,8,torque_limited,0.06,1,10,1,0.1,1.363457354889829
CMU_120_120_21_poses_120_jpos,50.0,1297,1.0,1.0,50,severe,0.2413261372397841,0.2413261372397841,0.0,0.2413261372397841,0.5728604471858134,0.4271395528141866,7,torque_limited,0.06,2,26,9,0.34615384615384615,1.0215955434133213
CMU_122_122_01_poses_120_jpos,50.0,264,1.0,1.0,50,severe,0.14393939393939395,0.21212121212121213,0.0,0.21212121212121213,0.6022727272727273,0.39015151515151514,3,torque_limited,0.06,1,6,2,0.3333333333333333,0.9878878434488394
CMU_122_122_09_poses_120_jpos,50.0,188,1.0,1.0,50,severe,0.3723404255319149,0.3723404255319149,0.0,0.3723404255319149,0.6382978723404256,0.3617021276595745,1,torque_limited,0.06,1,4,1,0.25,1.0076079944484684
CMU_122_122_34_poses_120_jpos,50.0,403,1.0,1.0,50,severe,0.4317617866004963,0.4317617866004963,0.0,0.4317617866004963,0.5558312655086849,0.4441687344913151,1,torque_limited,0.06,1,9,3,0.3333333333333333,1.1117579082162738
CMU_127_127_16_poses_120_jpos,50.0,108,1.0,1.0,50,severe,0.23148148148148148,0.2222222222222222,0.0,0.2222222222222222,1.0,0.0,4,torque_limited,0.06,0,3,0,0.0,1.3838042703785938
CMU_131_131_12_poses_120_jpos,50.0,320,1.0,1.0,50,severe,0.1625,0.165625,0.0,0.165625,0.703125,0.296875,4,torque_limited,0.06,1,7,1,0.14285714285714285,1.0225586205551636
CMU_13_13_32_poses_120_jpos,50.0,140,1.0,1.0,50,severe,0.37142857142857144,0.2357142857142857,0.0,0.2357142857142857,0.9571428571428572,0.0,3,torque_limited,0.06,0,3,0,0.0,1.9523866705957937
CMU_132_132_53_poses_120_jpos,50.0,2709,1.0,1.0,50,severe,0.15725359911406422,0.2517534145441122,0.0,0.2517534145441122,0.8416389811738649,0.14876338132152087,49,torque_limited,0.06,6,55,5,0.09090909090909091,0.9752455450948139
CMU_135_135_02_poses_120_jpos,50.0,2168,1.0,1.0,50,severe,0.27075645756457567,0.2878228782287823,0.00507380073800738,0.29289667896678967,0.8745387453874539,0.11023985239852399,57,torque_limited,0.06,2,44,5,0.11363636363636363,1.1360947147212428
CMU_136_136_06_poses_120_jpos,50.0,393,1.0,1.0,50,severe,0.10687022900763359,0.17557251908396945,0.0,0.17557251908396945,0.7353689567430025,0.26463104325699743,8,torque_limited,0.06,1,8,2,0.25,0.9882088691627869
CMU_136_136_27_poses_120_jpos,50.0,453,1.0,1.0,50,severe,0.2141280353200883,0.2163355408388521,0.0,0.2163355408388521,0.7373068432671082,0.26048565121412803,8,torque_limited,0.06,1,10,2,0.2,1.0073481164895584
CMU_137_137_08_poses_120_jpos,50.0,808,1.0,1.0,50,severe,0.1150990099009901,0.1150990099009901,0.0,0.1150990099009901,0.6658415841584159,0.30198019801980197,9,torque_limited,0.06,2,17,5,0.29411764705882354,1.0197916846397115
CMU_138_138_25_poses_120_jpos,50.0,149,1.0,1.0,50,severe,0.08053691275167785,0.12080536912751678,0.0,0.12080536912751678,0.8322147651006712,0.0,3,torque_limited,0.06,0,3,0,0.0,0.9167271435238226
CMU_139_139_15_poses_60_jpos,50.0,898,1.0,1.0,50,severe,0.2505567928730512,0.2594654788418708,0.0,0.2594654788418708,0.9643652561247216,0.0,13,torque_limited,0.06,0,18,0,0.0,1.0175139307645606
CMU_143_143_09_poses_60_jpos,50.0,454,1.0,1.0,50,severe,0.18502202643171806,0.10572687224669604,0.0,0.10572687224669604,0.7158590308370044,0.24669603524229075,8,torque_limited,0.06,1,10,3,0.3,1.287068521909095
CMU_144_144_05_poses_120_jpos,50.0,1161,1.0,1.0,50,severe,0.29285099052540914,0.32127476313522824,0.0,0.32127476313522824,0.9509043927648578,0.04478897502153316,22,torque_limited,0.06,1,24,1,0.041666666666666664,1.0395118356393402
CMU_144_144_17_poses_120_jpos,50.0,1175,1.0,1.0,50,severe,0.19063829787234043,0.34808510638297874,0.0,0.34808510638297874,0.9285106382978724,0.0,21,torque_limited,0.06,0,24,0,0.0,1.008815662610461
CMU_16_16_35_poses_120_jpos,50.0,68,1.0,1.0,50,severe,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,1.0,0.0,2,torque_limited,0.06,0,2,0,0.0,1.066187543774497
CMU_18_19_Justin_18_07_poses_120_jpos,50.0,121,1.0,1.0,50,severe,0.1487603305785124,0.1487603305785124,0.0,0.1487603305785124,0.9008264462809917,0.0,2,torque_limited,0.06,0,3,0,0.0,1.058161900925811
CMU_18_19_Justin_18_15_poses_120_jpos,50.0,640,1.0,1.0,50,severe,0.109375,0.11875,0.0,0.11875,0.4703125,0.5296875,4,torque_limited,0.06,3,13,5,0.38461538461538464,1.1173682147409747
CMU_36_36_04_poses_120_jpos,50.0,1553,1.0,1.0,50,severe,0.2755956213779781,0.27945911139729557,0.0,0.27945911139729557,0.7128139085640696,0.2762395363811977,8,torque_limited,0.06,4,32,6,0.1875,1.0099774699561754
CMU_36_36_18_poses_120_jpos,50.0,1793,1.0,1.0,50,severe,0.35861684327941995,0.35973229224762965,0.0,0.35973229224762965,0.6480758505298383,0.3424428332403793,8,torque_limited,0.06,3,36,10,0.2777777777777778,1.0673340641814522
CMU_54_54_21_poses_120_jpos,50.0,2912,1.0,1.0,50,severe,0.11778846153846154,0.11778846153846154,0.0,0.11778846153846154,0.5113324175824175,0.4646291208791209,27,torque_limited,0.06,4,59,25,0.423728813559322,0.9955924605835781
CMU_54_54_22_poses_120_jpos,50.0,1056,1.0,1.0,50,severe,0.13920454545454544,0.13920454545454544,0.0,0.13920454545454544,0.5331439393939394,0.44886363636363635,11,torque_limited,0.06,2,22,8,0.36363636363636365,1.015587776480876
CMU_60_60_09_poses_60_jpos,50.0,2145,1.0,1.0,50,severe,0.2573426573426573,0.26666666666666666,0.0,0.26666666666666666,0.7906759906759907,0.18834498834498833,37,torque_limited,0.06,2,43,7,0.16279069767441862,1.0804808315145378
CMU_78_78_31_poses_120_jpos,50.0,333,1.0,1.0,50,severe,0.2912912912912913,0.32732732732732733,0.003003003003003003,0.3303303303303303,1.0,0.0,12,torque_limited,0.06,0,7,0,0.0,0.9548833426672905
CMU_82_82_07_poses_120_jpos,50.0,499,1.0,1.0,50,severe,0.056112224448897796,0.35070140280561124,0.0,0.35070140280561124,0.8857715430861723,0.11422845691382766,11,torque_limited,0.06,1,10,1,0.1,0.9467506912472882
CMU_83_83_15_poses_120_jpos,50.0,218,1.0,1.0,50,severe,0.4954128440366973,0.4954128440366973,0.0,0.4954128440366973,0.7247706422018348,0.27522935779816515,1,torque_limited,0.06,1,5,1,0.2,1.0031747822082415
CMU_83_83_16_poses_120_jpos,50.0,213,1.0,1.0,50,severe,0.40375586854460094,0.4084507042253521,0.0,0.4084507042253521,0.647887323943662,0.352112676056338,2,torque_limited,0.06,1,5,2,0.4,1.003495807922189
