clip,fps,frames,guard_s,guard_mode,min_seg_s,bin_frames,severity,source_screen_sha256,reducer_sha256,airborne_frac,infeasible_frac,torque_infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m,n_feasible_segments,n_bins,n_bins_eligible,bin_eligible_frac,unsupported_ratio_p95
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,50.0,314,0.0,symmetric,0.0,50,severe,d52f5a5a6638e93f6ef4d01143f72a1edb3df2980c660d3f0417db85bbc29b8f,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.20382165605095542,0.20382165605095542,0.0,0.20382165605095542,0.20382165605095542,0.7961783439490446,1,torque_limited,0.06,2,7,5,0.7142857142857143,1.1604162342874507
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,50.0,115,0.0,symmetric,0.0,50,severe,8572356897299b28003128f3af499907bdbec3d7029fc8d991c75c81430eb1fa,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.1565217391304348,0.1565217391304348,0.0,0.1565217391304348,0.1565217391304348,0.8434782608695652,1,torque_limited,0.06,2,3,2,0.6666666666666666,0.897985356604796
BMLhandball_S07_Expert_Trial_upper_right_210_poses_120_jpos,50.0,582,0.0,symmetric,0.0,50,severe,4846ab5b61d8eded0165961a8967ce975c6659b943ba80d055ef3361451baac0,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.19072164948453607,0.19072164948453607,0.0,0.19072164948453607,0.19072164948453607,0.8092783505154639,4,torque_limited,0.06,5,12,8,0.6666666666666666,1.0290249956503905
BMLmovi_Subject_17_F_MoSh_Subject_17_F_14_poses_120_jpos,50.0,342,0.0,symmetric,0.0,50,severe,3008ff27ab9405f4eaa45a984156cf43b9a307fcd34237f68f290a285fdc429d,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.34502923976608185,0.34502923976608185,0.0,0.34502923976608185,0.34502923976608185,0.6549707602339181,2,torque_limited,0.06,3,7,3,0.42857142857142855,1.0564650507235174
BMLmovi_Subject_1_F_MoSh_Subject_1_F_13_poses_120_jpos,50.0,285,0.0,symmetric,0.0,50,severe,64e49a026469bb5c48d9ed6a76115c5c3fa2591e591432aa190c9524886207e5,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.10877192982456141,0.10877192982456141,0.0,0.10877192982456141,0.10877192982456141,0.8912280701754386,6,torque_limited,0.06,7,6,1,0.16666666666666666,0.8052547860902631
BMLmovi_Subject_27_F_MoSh_Subject_27_F_5_poses_120_jpos,50.0,529,0.0,symmetric,0.0,50,severe,f5eb17d5149902de48fd24947675246eff59ed8a63675542b87888f4b624a962,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.19659735349716445,0.20793950850661624,0.0,0.20793950850661624,0.20793950850661624,0.7920604914933838,3,torque_limited,0.06,4,11,7,0.6363636363636364,1.0536369670530277
BMLmovi_Subject_3_F_MoSh_Subject_3_F_7_poses_120_jpos,50.0,224,0.0,symmetric,0.0,50,severe,18e7e283c88c333acce3aa470b068761972d33a79a4cd3f576456a2eb6e61f94,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.16071428571428573,0.16071428571428573,0.0,0.16071428571428573,0.16071428571428573,0.8392857142857143,4,torque_limited,0.06,4,5,1,0.2,1.0274504409581722
BMLmovi_Subject_41_F_MoSh_Subject_41_F_16_poses_120_jpos,50.0,185,0.0,symmetric,0.0,50,severe,40f626129591cd43b25bef79ea9f806df6ef6539aba104eca9f70cf8dc85c9ea,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.24864864864864866,0.15675675675675677,0.0,0.15675675675675677,0.15675675675675677,0.8432432432432433,3,torque_limited,0.06,4,4,2,0.5,1.45366558050906
BMLmovi_Subject_41_F_MoSh_Subject_41_F_17_poses_120_jpos,50.0,129,0.0,symmetric,0.0,50,severe,0d50194d2728baf074a6f52019992985aea31922ec472cd692662188e15a7b6a,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.3875968992248062,0.3875968992248062,0.0,0.3875968992248062,0.3875968992248062,0.6124031007751938,1,torque_limited,0.06,2,3,1,0.3333333333333333,1.0545541833785919
BMLmovi_Subject_48_F_MoSh_Subject_48_F_16_poses_120_jpos,50.0,522,0.0,symmetric,0.0,50,severe,14cd98e996b460e97d869d33a70712285c882dfb3b3ea2dabbbbeaf02bf016bc,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.18582375478927204,0.19923371647509577,0.0,0.19923371647509577,0.19923371647509577,0.8007662835249042,3,torque_limited,0.06,4,11,7,0.6363636363636364,1.0444953776749053
