clip,category,knn100,knn800,logdens100,logdens800,catmass100,catmass800,dlogdens,dknn
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,locomotion,4.829606310167665,3.790140133353033,-3.7448899718810087,-5.3578177179834805,0.622638813930601,0.5265756817306684,-1.6129277461024718,-1.0394661768146318
CMU_102_102_29_poses_120_jpos,locomotion,2.8168000476087527,2.7232832564684974,-2.6856394064051603,-4.406653362736978,0.622638813930601,0.5265756817306684,-1.7210139563318174,-0.09351679114025524
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,locomotion,2.487911461118375,1.7578925634512124,-2.2947990256852107,-2.331875211324645,0.622638813930601,0.5265756817306684,-0.03707618563943438,-0.7300188976671627
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,quiet,3.027342514111318,3.2063169636476543,-2.396321951317708,-4.7549451692038405,0.22745166513222648,0.44739122063919934,-2.3586232178861324,0.17897444953633634
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,dynamic,2.8468875869813584,2.1280007929263127,-2.5401031889200776,-2.6932402124795463,0.11817835486840857,0.019325182903350023,-0.15313702355946868,-0.7188867940550456
CMU_35_35_24_poses_120_jpos,dynamic,2.2297618390396785,4.067031938632563,-5.275042856136227,-8.593200308634547,0.11817835486840857,0.019325182903350023,-3.31815745249832,1.8372700995928843
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,locomotion,2.325084282457713,2.6150537838109154,-2.1998432435939788,-3.757662739632054,0.622638813930601,0.5265756817306684,-1.5578194960380753,0.2899695013532022
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,quiet,3.880568342963099,3.196302205062688,-3.193510906920987,-4.228112394625211,0.22745166513222648,0.44739122063919934,-1.034601487704224,-0.6842661379004111
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,dynamic,3.163530389079999,2.728034403192171,-2.6047626931155525,-3.8310119099770867,0.11817835486840857,0.019325182903350023,-1.2262492168615342,-0.43549598588782823
CMU_127_127_13_poses_120_jpos,dynamic,3.0653530141917487,4.141100778327649,-5.1811353349808495,-8.01432861986363,0.11817835486840857,0.019325182903350023,-2.83319328488278,1.0757477641359006
CMU_35_35_20_poses_120_jpos,dynamic,2.0093784152618297,3.6433484472352347,-5.217888702544718,-8.322020799362654,0.11817835486840857,0.019325182903350023,-3.1041320968179367,1.633970031973405
CMU_18_19_Justin_18_03_poses_120_jpos,locomotion,3.4669619087066623,3.3825788199571156,-4.694774427324805,-5.39219178614404,0.622638813930601,0.5265756817306684,-0.6974173588192354,-0.0843830887495467
CMU_16_16_35_poses_120_jpos,dynamic,3.7463800567452443,3.6894686047625824,-6.0658199797210175,-8.246436708955123,0.11817835486840857,0.019325182903350023,-2.1806167292341057,-0.0569114519826619
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,dynamic,3.0053885124687865,3.5814874446354343,-3.0042662075420847,-5.265751030267876,0.11817835486840857,0.019325182903350023,-2.2614848227257913,0.5760989321666479
CMU_20_21_rory1_20_10_poses_120_jpos,dynamic,2.747840320298318,3.565524148547129,-3.0518186778574523,-5.100093796789193,0.11817835486840857,0.019325182903350023,-2.0482751189317407,0.817683828248811
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,locomotion,2.6000702983978607,3.3661203912660467,-2.7273517397752904,-5.689538553249268,0.622638813930601,0.5265756817306684,-2.962186813473978,0.7660500928681859
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,locomotion,3.5753826970748137,2.692279693572143,-3.4080523178616065,-4.000770287253417,0.622638813930601,0.5265756817306684,-0.5927179693918103,-0.8831030035026708
CMU_138_138_25_poses_120_jpos,locomotion,2.1609897187186506,2.260757060549628,-2.442868203511876,-2.88000425242675,0.622638813930601,0.5265756817306684,-0.4371360489148741,0.09976734183097724
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,dynamic,3.2640731021455913,4.504989683156203,-3.6327314383930442,-6.3465255420123095,0.11817835486840857,0.019325182903350023,-2.713794103619265,1.2409165810106115
CMU_88_88_10_poses_60_jpos,locomotion,4.67929279536703,4.563279141166999,-4.39866806143393,-6.232249889988917,0.622638813930601,0.5265756817306684,-1.833581828554987,-0.11601365420003162
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,locomotion,2.4415619128900152,2.1012928652474954,-2.1503983791929238,-3.2573496812041234,0.622638813930601,0.5265756817306684,-1.1069513020111996,-0.34026904764251986
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,dynamic,3.1996500891711666,3.478409119364985,-2.8089598060134326,-5.1645333425139,0.11817835486840857,0.019325182903350023,-2.3555735365004677,0.27875903019381854
CMU_93_93_08_poses_60_jpos,locomotion,2.1433661178141703,2.3103114785485594,-2.0124122515921994,-3.317311206374481,0.622638813930601,0.5265756817306684,-1.3048989547822818,0.16694536073438915
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,dynamic,2.9644745584613394,3.4968874337505094,-2.8989640568583166,-5.144155108915224,0.11817835486840857,0.019325182903350023,-2.2451910520569074,0.5324128752891699
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,locomotion,1.8295649026489422,1.7681860193165573,-2.0716342448978207,-2.5032872700769464,0.622638813930601,0.5265756817306684,-0.43165302517912574,-0.06137888333238495
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,quiet,3.526387096466402,4.843940402518644,-4.35442996277407,-8.098088933895806,0.22745166513222648,0.44739122063919934,-3.743658971121736,1.317553306052242
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,locomotion,2.0098041528062596,1.9542900407590273,-2.0999667068655237,-2.668987586428068,0.622638813930601,0.5265756817306684,-0.5690208795625442,-0.05551411204723222
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,dynamic,1.8221574978809343,2.0412030463478503,-2.2612246825099955,-3.2091298467576403,0.11817835486840857,0.019325182903350023,-0.9479051642476448,0.21904554846691604
CMU_35_35_18_poses_120_jpos,dynamic,2.8407936335558612,3.486868070252659,-5.3091035108943725,-8.161356784872158,0.11817835486840857,0.019325182903350023,-2.8522532739777855,0.6460744366967979
CMU_35_35_26_poses_120_jpos,dynamic,2.4286295017232584,4.340858664245707,-5.565501315269274,-8.814847276028363,0.11817835486840857,0.019325182903350023,-3.249345960759089,1.9122291625224488
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,locomotion,3.9191916903948103,3.8710074558044405,-4.41575278267865,-5.5450079573915305,0.622638813930601,0.5265756817306684,-1.1292551747128803,-0.0481842345903698
CMU_108_108_18_poses_120_jpos,dynamic,3.062338644547404,3.477278908502187,-3.371423891743466,-5.447646957502072,0.11817835486840857,0.019325182903350023,-2.0762230657586063,0.414940263954783
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,locomotion,2.5061809564726625,1.995572195296362,-2.2920794555099855,-2.9088938446238757,0.622638813930601,0.5265756817306684,-0.6168143891138902,-0.5106087611763004
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,quiet,3.6766702693952356,3.846485782326641,-4.9602506288209725,-7.761707141738429,0.22745166513222648,0.44739122063919934,-2.801456512917457,0.16981551293140562
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,dynamic,2.6794816548048788,2.442387965175212,-2.0751099965965873,-3.059859386274469,0.11817835486840857,0.019325182903350023,-0.9847493896778818,-0.23709368962966693
CMU_91_91_04_poses_120_jpos,dynamic,1.8767917650979045,1.8712083094031193,-2.14762575723144,-2.7949267276467444,0.11817835486840857,0.019325182903350023,-0.6473009704153045,-0.005583455694785133
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,dynamic,3.074920212311902,2.435250590067499,-2.853674551456434,-3.2666781950949044,0.11817835486840857,0.019325182903350023,-0.4130036436384703,-0.6396696222444027
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,quiet,3.238162601987855,3.9214761113653496,-3.8943565743126864,-7.285190098470749,0.22745166513222648,0.44739122063919934,-3.3908335241580625,0.6833135093774945
CMU_138_138_10_poses_120_jpos,locomotion,2.4581825241570363,2.458458212718704,-2.4474873424730115,-3.2344951488011002,0.622638813930601,0.5265756817306684,-0.7870078063280888,0.00027568856166748645
CMU_106_106_04_poses_60_jpos,dynamic,3.0877368888563113,2.9289321771161427,-2.484791506522154,-3.9423212001837364,0.11817835486840857,0.019325182903350023,-1.4575296936615825,-0.15880471174016852
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,quiet,2.3288865532630103,2.139603887035718,-2.2429538917056524,-3.7239709406918866,0.22745166513222648,0.44739122063919934,-1.4810170489862342,-0.1892826662272924
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,locomotion,2.379367714167684,1.5703387019426063,-2.279367260551025,-2.1753103581116635,0.622638813930601,0.5265756817306684,0.10405690243936139,-0.8090290122250776
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,quiet,3.7327122635460745,4.113235640515293,-3.955946387553302,-7.018289745272095,0.22745166513222648,0.44739122063919934,-3.062343357718793,0.38052337696921823
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,locomotion,3.7606246614400987,2.1673368910254593,-4.084321053528633,-3.8898388696629804,0.622638813930601,0.5265756817306684,0.19448218386565275,-1.5932877704146393
ACCAD_s007_QkWalk1_poses_120_jpos,dynamic,3.5739566928085518,4.93780528558303,-4.931699172462324,-7.856276227547747,0.11817835486840857,0.019325182903350023,-2.9245770550854235,1.3638485927744783
CMU_78_78_31_poses_120_jpos,locomotion,3.34426211067746,3.075197205073707,-2.9864067627125506,-4.614753477449796,0.622638813930601,0.5265756817306684,-1.628346714737245,-0.26906490560375307
CMU_76_76_03_poses_120_jpos,locomotion,2.888993575814674,2.7512939408987265,-2.2539723586278058,-3.0232448997399195,0.622638813930601,0.5265756817306684,-0.7692725411121137,-0.1376996349159474
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,locomotion,2.9273215359803344,2.2908550915687425,-2.6465701473864747,-2.439634002557184,0.622638813930601,0.5265756817306684,0.20693614482929057,-0.636466444411592
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,locomotion,3.204468349890385,2.7955649282772814,-2.4402599455929055,-3.335124982842987,0.622638813930601,0.5265756817306684,-0.8948650372500815,-0.40890342161310356
CMU_108_108_16_poses_120_jpos,dynamic,2.635500523049381,4.469935881663972,-4.0959020940091655,-7.618096816122322,0.11817835486840857,0.019325182903350023,-3.5221947221131567,1.8344353586145905
