clip,knn_dist,support_density,category,category_mass,duration_s
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,2.0804,0.02340,dynamic,0.1182,4.26
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.1707,0.14995,locomotion,0.6226,3.58
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,2.3701,0.00903,locomotion,0.6226,2.30
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,1.8987,0.03666,dynamic,0.1182,5.50
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,1.8664,0.04294,dynamic,0.1182,5.50
ACCAD_s007_QkWalk1_poses_120_jpos,2.1199,0.00810,dynamic,0.1182,2.56
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,1.7181,0.03619,locomotion,0.6226,8.74
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0518,0.11836,locomotion,0.6226,9.14
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,2.1526,0.02257,quiet,0.2275,2.88
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0756,0.10382,dynamic,0.1182,7.80
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.9982,0.01405,quiet,0.2275,4.74
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,2.2610,0.00493,quiet,0.2275,3.70
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.7409,0.05552,locomotion,0.6226,9.30
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.2519,0.10528,locomotion,0.6226,7.78
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.7548,0.08484,quiet,0.2275,3.74
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,2.2895,0.01186,locomotion,0.6226,8.48
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.9562,0.06285,quiet,0.2275,4.38
CMU_102_102_29_poses_120_jpos,1.8667,0.04934,locomotion,0.6226,6.66
CMU_106_106_04_poses_60_jpos,1.9227,0.07554,dynamic,0.1182,9.10
CMU_106_106_13_poses_60_jpos,1.2655,0.07660,quiet,0.2275,6.12
CMU_108_108_16_poses_120_jpos,1.6231,0.01374,dynamic,0.1182,2.94
CMU_108_108_18_poses_120_jpos,1.7814,0.03551,dynamic,0.1182,2.06
CMU_122_122_03_poses_120_jpos,1.2948,0.12721,locomotion,0.6226,5.58
CMU_122_122_15_poses_120_jpos,1.1445,0.10110,locomotion,0.6226,4.36
CMU_122_122_55_poses_120_jpos,2.1246,0.02477,locomotion,0.6226,6.14
CMU_127_127_13_poses_120_jpos,1.7914,0.00616,dynamic,0.1182,1.54
CMU_137_137_36_poses_120_jpos,1.8744,0.03004,locomotion,0.6226,21.30
CMU_138_138_10_poses_120_jpos,1.3801,0.08572,locomotion,0.6226,3.64
CMU_138_138_25_poses_120_jpos,1.2259,0.08414,locomotion,0.6226,2.98
CMU_139_139_11_poses_60_jpos,1.7890,0.05305,dynamic,0.1182,5.32
CMU_144_144_04_poses_120_jpos,1.1586,0.08930,locomotion,0.6226,32.28
CMU_16_16_35_poses_120_jpos,2.3436,0.00131,dynamic,0.1182,1.36
CMU_18_19_Justin_18_03_poses_120_jpos,2.0554,0.00725,locomotion,0.6226,4.94
CMU_20_21_rory1_20_10_poses_120_jpos,1.5965,0.04904,dynamic,0.1182,4.32
CMU_35_35_18_poses_120_jpos,1.5806,0.00490,dynamic,0.1182,1.46
CMU_35_35_20_poses_120_jpos,1.1501,0.00517,dynamic,0.1182,1.36
CMU_35_35_24_poses_120_jpos,1.2857,0.00479,dynamic,0.1182,1.26
CMU_35_35_26_poses_120_jpos,1.3705,0.00378,dynamic,0.1182,1.16
CMU_76_76_03_poses_120_jpos,1.8625,0.08330,locomotion,0.6226,9.02
CMU_78_78_31_poses_120_jpos,2.2416,0.03125,locomotion,0.6226,6.66
CMU_88_88_10_poses_60_jpos,2.7180,0.00988,locomotion,0.6226,7.78
CMU_91_91_04_poses_120_jpos,1.1707,0.10447,dynamic,0.1182,18.02
CMU_93_93_08_poses_60_jpos,1.2206,0.13028,locomotion,0.6226,9.28
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,1.3455,0.10331,quiet,0.2275,2.76
DFaust_67_50020_50020_punching_poses_60_jpos,2.4121,0.02446,quiet,0.2275,3.38
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,2.5388,0.02011,quiet,0.2275,4.10
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,2.1332,0.02424,locomotion,0.6226,182.64
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,1.5509,0.10624,locomotion,0.6226,30.00
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,1.4269,0.09238,locomotion,0.6226,30.00
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,1.5467,0.08938,locomotion,0.6226,30.00
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,1.0831,0.11382,locomotion,0.6226,29.76
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,1.8731,0.05500,dynamic,0.1182,30.00
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,1.6329,0.05731,locomotion,0.6226,30.00
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,1.6267,0.11313,dynamic,0.1182,29.76
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,3.1075,0.01622,locomotion,0.6226,30.00
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,1.9586,0.07775,locomotion,0.6226,30.00
