clip,knn_dist,support_density,category,category_mass,duration_s
KIT_572_wave_left10_poses_100_jpos,0.4594,0.12484,quiet,0.2275,5.72
KIT_1747_displace_tilt_side_13_poses_100_jpos,0.3758,0.14175,quiet,0.2275,9.30
KIT_1226_Trial_45_poses_100_jpos,0.4233,0.13011,quiet,0.2275,5.98
KIT_572_violin_left08_poses_100_jpos,0.4013,0.14471,quiet,0.2275,7.52
BMLmovi_Subject_76_F_MoSh_Subject_76_F_7_poses_120_jpos,0.6146,0.11153,quiet,0.2275,4.08
KIT_950_Wipe_Head_Horizontal_01_poses_100_jpos,1.4153,0.05263,quiet,0.2275,10.48
GRAB_s8_fryingpan_cook_2,0.6377,0.14725,quiet,0.2275,7.96
KIT_883_wipe_leg_bigcircle01_poses_100_jpos,1.4097,0.04898,quiet,0.2275,8.52
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,0.7813,0.13007,quiet,0.2275,6.00
GRAB_s2_stanfordbunny_pick_all,0.6294,0.16166,quiet,0.2275,25.22
KIT_3_wave_left05_poses_100_jpos,0.6556,0.17787,quiet,0.2275,3.86
BMLmovi_Subject_3_F_MoSh_Subject_3_F_10_poses_120_jpos,0.7180,0.15485,quiet,0.2275,3.28
BMLmovi_Subject_81_F_MoSh_Subject_81_F_20_poses_120_jpos,0.7940,0.16061,quiet,0.2275,6.44
GRAB_s4_banana_pass_1,0.6990,0.14356,locomotion,0.6226,7.50
KIT_551_mixing_bowl_big03_poses_100_jpos,0.7308,0.12881,locomotion,0.6226,6.90
KIT_9_LeftTurn06_poses_100_jpos,0.7621,0.13410,locomotion,0.6226,4.82
Eyes_Japan_Dataset_hamada_gesture_etc-02-set_2-hamada_poses_120_jpos,0.8352,0.17098,locomotion,0.6226,29.78
GRAB_s5_cylinderlarge_inspect_1,0.6089,0.17482,locomotion,0.6226,9.16
Eyes_Japan_Dataset_kaiwa_accident-05-damage_right_arm-kaiwa_poses_120_jpos,0.7466,0.18195,quiet,0.2275,30.00
GRAB_s6_alarmclock_see_1,0.6600,0.14069,locomotion,0.6226,6.26
Eyes_Japan_Dataset_hamada_gesture_etc-14-apologize-hamada_poses_120_jpos,0.9329,0.16905,locomotion,0.6226,29.76
GRAB_s10_lightbulb_pass_1,0.9690,0.16303,quiet,0.2275,5.76
KIT_3_stomp_right02_poses_100_jpos,0.9110,0.17531,quiet,0.2275,5.16
CMU_74_74_10_poses_60_jpos,1.5672,0.05140,locomotion,0.6226,5.58
Eyes_Japan_Dataset_kudo_greeting-09-certificate-kudo_poses_250_jpos,0.7110,0.17473,locomotion,0.6226,33.00
CMU_79_79_55_poses_60_jpos,0.9776,0.17770,quiet,0.2275,10.66
KIT_674_dry_front02_poses_100_jpos,0.8210,0.13090,locomotion,0.6226,13.12
Eyes_Japan_Dataset_kaiwa_gesture_etc-48-medium_drum-kaiwa_poses_120_jpos,1.0299,0.14222,quiet,0.2275,30.00
KIT_3_walk_with_support04_poses_100_jpos,0.8277,0.13840,locomotion,0.6226,6.74
GRAB_s6_hammer_use_2,0.8191,0.15027,locomotion,0.6226,8.44
GRAB_s3_mug_drink_2,0.8424,0.12234,locomotion,0.6226,6.86
