clip,knn_dist,support_density,category,category_mass,duration_s
KIT_1229_flexion_with_help_02_poses_100_jpos,0.3553,0.03567,quiet,0.4474,8.60
KIT_1229_in_out_rotation_with_help_03_poses_100_jpos,0.2957,0.04863,quiet,0.4474,6.14
KIT_1229_hand_to_mouth_right_arm_03_poses_100_jpos,0.3019,0.06800,quiet,0.4474,3.60
KIT_1747_displace_tilt_middle_23_poses_100_jpos,0.2226,0.08669,quiet,0.4474,10.26
KIT_1229_supination_with_help_03_poses_100_jpos,0.3641,0.03311,quiet,0.4474,6.40
KIT_1229_washing_movement_with_help_02_poses_100_jpos,0.3192,0.06826,quiet,0.4474,5.00
KIT_1747_displace_tilt_middle_12_poses_100_jpos,0.1884,0.09711,quiet,0.4474,9.64
KIT_1226_Trial_67_poses_100_jpos,0.2803,0.06640,quiet,0.4474,11.34
KIT_1717_displace_tilt_middle_24_poses_100_jpos,0.1709,0.09166,quiet,0.4474,9.50
KIT_1747_displace_tilt_side_24_poses_100_jpos,0.2027,0.09948,quiet,0.4474,9.80
KIT_1229_take_book_from_shelf_with_help_02_poses_100_jpos,0.2535,0.06370,quiet,0.4474,5.96
KIT_1717_displace_tilt_middle_21_poses_100_jpos,0.2000,0.09141,quiet,0.4474,9.50
KIT_1717_displace_from_left_to_right_30_poses_100_jpos,0.2012,0.09346,quiet,0.4474,4.88
KIT_572_wave_left10_poses_100_jpos,0.2757,0.08774,quiet,0.4474,5.72
KIT_1229_washing_movement_left_arm_03_poses_100_jpos,0.3237,0.07600,quiet,0.4474,3.98
KIT_1226_Trial_13_poses_100_jpos,0.2727,0.09409,quiet,0.4474,7.48
KIT_1717_displace_from_left_to_right_49_poses_100_jpos,0.2693,0.09221,quiet,0.4474,5.22
KIT_1717_displace_from_left_to_right_21_poses_100_jpos,0.2397,0.09006,quiet,0.4474,4.56
KIT_1229_take_of_t-shirt_with_help_05_poses_100_jpos,0.2558,0.06206,quiet,0.4474,7.12
KIT_1717_displace_from_left_to_right_33_poses_100_jpos,0.2409,0.09216,quiet,0.4474,4.24
KIT_3_bow_slight03_poses_100_jpos,0.4652,0.05143,quiet,0.4474,5.46
KIT_1717_displace_tilt_middle_11_poses_100_jpos,0.1687,0.09861,quiet,0.4474,9.06
KIT_572_wipe_circular_right05_poses_100_jpos,0.3243,0.07164,quiet,0.4474,5.26
KIT_3_bow_slight02_poses_100_jpos,0.5126,0.05278,quiet,0.4474,4.50
KIT_1747_displace_tilt_side_05_poses_100_jpos,0.2205,0.10335,quiet,0.4474,9.60
KIT_1717_displace_tilt_side_08_poses_100_jpos,0.2501,0.10393,quiet,0.4474,9.28
CMU_114_114_01_poses_120_jpos,0.5554,0.02726,quiet,0.4474,2.68
KIT_572_wave_both07_poses_100_jpos,0.3194,0.06624,quiet,0.4474,9.10
CMU_105_105_06_poses_120_jpos,0.4819,0.03458,quiet,0.4474,1.14
KIT_1717_displace_from_left_to_right_39_poses_100_jpos,0.2119,0.09701,quiet,0.4474,4.10
KIT_1226_Trial_75_poses_100_jpos,0.2845,0.07743,quiet,0.4474,10.74
KIT_572_wave_left04_poses_100_jpos,0.3749,0.07454,quiet,0.4474,5.82
KIT_1226_Trial_44_poses_100_jpos,0.2416,0.08223,quiet,0.4474,6.48
KIT_969_Trial_18_poses_100_jpos,0.2540,0.07734,quiet,0.4474,18.32
KIT_1226_Trial_06_poses_100_jpos,0.2636,0.10292,quiet,0.4474,7.98
KIT_969_Trial_76_poses_100_jpos,0.2782,0.08307,quiet,0.4474,13.08
KIT_572_wave_left15_poses_100_jpos,0.2846,0.09097,quiet,0.4474,9.06
KIT_969_Trial_79_poses_100_jpos,0.3567,0.08153,quiet,0.4474,15.44
KIT_572_stir_right15_poses_100_jpos,0.3251,0.08890,quiet,0.4474,9.90
KIT_572_stir_right14_poses_100_jpos,0.3209,0.08601,quiet,0.4474,9.48
KIT_969_Trial_33_poses_100_jpos,0.2996,0.08379,quiet,0.4474,12.04
KIT_572_wave_both13_poses_100_jpos,0.8728,0.01609,quiet,0.4474,11.24
KIT_969_Trial_60_poses_100_jpos,0.2120,0.08242,quiet,0.4474,10.20
KIT_1747_displace_tilt_side_21_poses_100_jpos,0.2311,0.10021,quiet,0.4474,9.22
KIT_969_Trial_62_poses_100_jpos,0.2633,0.07343,quiet,0.4474,10.56
KIT_1717_displace_tilt_side_26_poses_100_jpos,0.2200,0.09883,quiet,0.4474,10.94
KIT_1226_Trial_24_poses_100_jpos,0.2981,0.10119,quiet,0.4474,7.70
KIT_969_Trial_41_poses_100_jpos,0.3214,0.09104,quiet,0.4474,12.44
KIT_969_Trial_24_poses_100_jpos,0.2547,0.09012,quiet,0.4474,16.50
KIT_1747_displace_tilt_side_04_poses_100_jpos,0.2304,0.10470,quiet,0.4474,9.48
KIT_1226_Trial_19_poses_100_jpos,0.3036,0.10706,quiet,0.4474,8.76
KIT_1717_displace_tilt_side_42_poses_100_jpos,0.3054,0.08981,quiet,0.4474,10.02
KIT_1226_Trial_78_poses_100_jpos,0.3444,0.08606,quiet,0.4474,17.94
KIT_1226_Trial_03_poses_100_jpos,0.3879,0.08617,quiet,0.4474,111.58
KIT_572_guitar_left13_poses_100_jpos,0.2948,0.06166,quiet,0.4474,7.50
KIT_572_stir_left09_poses_100_jpos,0.2437,0.08894,quiet,0.4474,6.14
KIT_572_guitar_left10_poses_100_jpos,0.2473,0.07829,quiet,0.4474,5.70
KIT_572_guitar_left17_poses_100_jpos,0.2518,0.07790,quiet,0.4474,7.00
KIT_1747_displace_tilt_side_02_poses_100_jpos,0.3543,0.09097,quiet,0.4474,9.36
KIT_1229_take_of_t-shirt_left_arm_05_poses_100_jpos,0.5713,0.08888,quiet,0.4474,3.38
KIT_572_guitar_left18_poses_100_jpos,0.3700,0.05720,quiet,0.4474,7.02
KIT_969_Trial_40_poses_100_jpos,0.3045,0.09167,quiet,0.4474,11.04
KIT_441_drinking05_poses_100_jpos,0.4102,0.05875,quiet,0.4474,13.98
BMLmovi_Subject_70_F_MoSh_Subject_70_F_19_poses_120_jpos,0.3391,0.06780,quiet,0.4474,2.54
BMLmovi_Subject_64_F_MoSh_Subject_64_F_14_poses_120_jpos,0.3352,0.06567,quiet,0.4474,3.94
KIT_969_Trial_69_poses_100_jpos,0.2972,0.09685,quiet,0.4474,13.74
BMLmovi_Subject_30_F_MoSh_Subject_30_F_5_poses_120_jpos,0.3529,0.06559,quiet,0.4474,3.78
CMU_111_111_37_poses_120_jpos,0.6165,0.03499,quiet,0.4474,2.70
HUMAN4D_Subject3_Medhi_RGB_Talking_S3_01_poses_120_jpos,0.5367,0.07889,quiet,0.4474,20.90
BMLmovi_Subject_64_F_MoSh_Subject_64_F_19_poses_120_jpos,0.5025,0.04182,quiet,0.4474,4.00
KIT_948_Wipe_Back_Dabbing_01_poses_100_jpos,0.3740,0.01243,quiet,0.4474,10.48
CMU_13_13_07_poses_120_jpos,0.4450,0.07311,quiet,0.4474,12.10
BMLmovi_Subject_5_F_MoSh_Subject_5_F_9_poses_120_jpos,0.5422,0.04037,quiet,0.4474,2.38
HumanEva_S1_Gestures_3_poses_120_jpos,0.6052,0.02440,quiet,0.4474,17.74
CMU_84_84_09_poses_120_jpos,0.4455,0.03874,quiet,0.4474,1.66
KIT_950_Wipe_Head_Small_Circle_01_poses_100_jpos,0.3416,0.01229,quiet,0.4474,9.36
BMLmovi_Subject_64_F_MoSh_Subject_64_F_13_poses_120_jpos,0.4860,0.05989,quiet,0.4474,3.88
BMLmovi_Subject_22_F_MoSh_Subject_22_F_10_poses_120_jpos,0.3534,0.07667,quiet,0.4474,2.54
Eyes_Japan_Dataset_aita_pose-18-applause-aita_poses_120_jpos,0.5282,0.06448,quiet,0.4474,30.00
KIT_950_Wipe_Head_Dabbing_01_poses_100_jpos,0.3593,0.01213,quiet,0.4474,9.50
BMLmovi_Subject_41_F_MoSh_Subject_41_F_5_poses_120_jpos,0.5735,0.02327,quiet,0.4474,3.64
TCD_handMocap_ExperimentDatabase_graspLumbrical001_1_poses_120_jpos,0.6528,0.00994,quiet,0.4474,5.00
BMLmovi_Subject_62_F_MoSh_Subject_62_F_7_poses_120_jpos,0.3779,0.09334,quiet,0.4474,3.94
BMLmovi_Subject_85_F_MoSh_Subject_85_F_7_poses_120_jpos,0.3893,0.08387,quiet,0.4474,3.64
BMLmovi_Subject_67_F_MoSh_Subject_67_F_17_poses_120_jpos,0.5084,0.05399,quiet,0.4474,4.30
BMLmovi_Subject_62_F_MoSh_Subject_62_F_8_poses_120_jpos,0.5648,0.02947,quiet,0.4474,3.94
CMU_74_74_09_poses_120_jpos,0.4918,0.03493,quiet,0.4474,1.66
KIT_883_wipe_leg_vertical07_poses_100_jpos,0.3240,0.01375,quiet,0.4474,7.44
BMLmovi_Subject_79_F_MoSh_Subject_79_F_10_poses_120_jpos,0.4739,0.06116,quiet,0.4474,3.98
KIT_883_wipe_head_vertical03_poses_100_jpos,0.3963,0.01146,quiet,0.4474,20.16
BMLmovi_Subject_48_F_MoSh_Subject_48_F_11_poses_120_jpos,0.4839,0.06085,quiet,0.4474,4.64
BMLmovi_Subject_17_F_MoSh_Subject_17_F_20_poses_120_jpos,0.5621,0.06463,quiet,0.4474,3.40
KIT_883_wipe_back_dabbing03_poses_100_jpos,0.4381,0.01328,quiet,0.4474,9.02
TCD_handMocap_ExperimentDatabase_TypingA_poses_120_jpos,0.8687,0.00888,quiet,0.4474,5.00
KIT_950_Wipe_Leg_Dabbing_01_poses_100_jpos,0.3118,0.01187,quiet,0.4474,4.86
BMLmovi_Subject_55_F_MoSh_Subject_55_F_3_poses_120_jpos,0.5606,0.02332,quiet,0.4474,3.64
BMLmovi_Subject_55_F_MoSh_Subject_55_F_10_poses_120_jpos,0.7509,0.01161,quiet,0.4474,3.64
GRAB_s8_fryingpan_cook_2,0.6362,0.08975,quiet,0.4474,7.96
BMLmovi_Subject_27_F_MoSh_Subject_27_F_19_poses_120_jpos,0.7935,0.00633,quiet,0.4474,4.18
TCD_handMocap_ExperimentDatabase_TalkingC_poses_120_jpos,0.5678,0.00857,quiet,0.4474,5.00
KIT_950_Wipe_Leg_Dabbing_02_poses_100_jpos,0.3031,0.01259,quiet,0.4474,6.54
CMU_85_85_09_poses_120_jpos,0.9937,0.00936,quiet,0.4474,2.10
BMLmovi_Subject_22_F_MoSh_Subject_22_F_12_poses_120_jpos,0.4470,0.07617,quiet,0.4474,3.38
BMLmovi_Subject_17_F_MoSh_Subject_17_F_10_poses_120_jpos,0.9215,0.00501,quiet,0.4474,2.30
BMLmovi_Subject_74_F_MoSh_Subject_74_F_11_poses_120_jpos,0.3797,0.07708,quiet,0.4474,4.58
GRAB_s8_cubesmall_pick_all,0.4341,0.09971,locomotion,0.5266,14.00
KIT_955_wipe_head_vertical01_poses_100_jpos,0.3554,0.01114,quiet,0.4474,9.60
BMLmovi_Subject_83_F_MoSh_Subject_83_F_21_poses_120_jpos,0.4191,0.08254,quiet,0.4474,3.80
KIT_952_wipe_back_biglcircles02_poses_100_jpos,0.4774,0.01280,quiet,0.4474,12.28
BMLmovi_Subject_39_F_MoSh_Subject_39_F_17_poses_120_jpos,0.5279,0.05212,quiet,0.4474,4.14
KIT_1721_RecoveryStepping_30_0_03_poses_100_jpos,0.7352,0.04612,quiet,0.4474,4.74
KIT_883_wipe_leg_dabbing03_poses_100_jpos,0.3370,0.01240,quiet,0.4474,9.26
KIT_883_wipe_arm_vertical01_poses_100_jpos,0.4147,0.01157,quiet,0.4474,9.98
BMLmovi_Subject_79_F_MoSh_Subject_79_F_15_poses_120_jpos,0.5970,0.03966,quiet,0.4474,4.28
KIT_955_wipe_leg_bigcircles01_poses_100_jpos,0.4296,0.01303,quiet,0.4474,11.04
GRAB_s4_spherelarge_pass_1,0.5960,0.04826,quiet,0.4474,5.42
KIT_3_Drinking09_poses_100_jpos,0.4722,0.09952,quiet,0.4474,7.98
BMLmovi_Subject_55_F_MoSh_Subject_55_F_13_poses_120_jpos,0.6104,0.03026,quiet,0.4474,4.14
BMLmovi_Subject_39_F_MoSh_Subject_39_F_20_poses_120_jpos,0.4534,0.10612,quiet,0.4474,4.18
CMU_89_89_02_poses_120_jpos,1.0924,0.01258,quiet,0.4474,3.00
